method,videos,frames,duration_seconds,base_bits,enhancement_bits,total_bits,base_kbps,enhancement_kbps,total_kbps,estimated_enhancement_bits,actual_minus_estimated_bits,bpp,psnr,ms_ssim,lpips,error_temporal_mse,transmittable
base_only_b_train2,2,32,1.0672,197744,0,197744,185.29235382308846,0.0,185.29235382308846,0.0,0.0,0.0029800829475308643,23.78818111815132,0.8300306872193599,0.2938862075097859,0.0014922140348062384,True
base_only_c_train2,2,32,1.0672,197744,0,197744,185.29235382308846,0.0,185.29235382308846,0.0,0.0,0.0029800829475308643,23.809426086031756,0.837405015708862,0.2644612514413893,0.0015155070352193432,True
base_only_d_val6,6,96,3.3066649999999997,470832,0,470832,142.3887814459584,0.0,142.3887814459584,0.0,0.0,0.002365210262345679,26.380958431305757,0.8099703700822135,0.30838708905503154,0.002281177409733775,True
continuous_b_train2,2,32,1.0672,197744,0,197744,185.29235382308846,0.0,185.29235382308846,0.0,0.0,0.0029800829475308643,23.760704009035948,0.828511800947989,0.2912844275124371,0.0014909052971537069,False
continuous_c_train2,2,32,1.0672,197744,0,197744,185.29235382308846,0.0,185.29235382308846,0.0,0.0,0.0029800829475308643,23.70470206349924,0.8365463064618414,0.2641746001318097,0.0015183289406801729,False
continuous_d_val6,6,96,3.3066649999999997,470832,0,470832,142.3887814459584,0.0,142.3887814459584,0.0,0.0,0.002365210262345679,26.420066014044135,0.8102845109923762,0.305433154416581,0.002280528276686608,False
original_train2,2,32,1.0672,197744,0,197744,185.29235382308846,0.0,185.29235382308846,0.0,0.0,0.0029800829475308643,21.835283643668376,0.8278283449735137,0.19109692191705108,0.0023758737118138623,True
original_train2_q1,2,32,1.0672,239424,0,239424,224.34782608695653,0.0,224.34782608695653,0.0,0.0,0.0036082175925925926,22.263683431861892,0.8471305896039933,0.173979836050421,0.002244019226054661,True
original_train2_q2,2,32,1.0672,297040,0,297040,278.33583208395805,0.0,278.33583208395805,0.0,0.0,0.004476514274691358,22.746013809573792,0.864482592208115,0.15957365930080414,0.0020484604494413364,True
original_train2_q3,2,32,1.0672,366376,0,366376,343.30584707646176,0.0,343.30584707646176,0.0,0.0,0.005521436149691358,23.093859402783394,0.8784081846458528,0.1465571008156985,0.0019004540037713014,True
original_val6_q0,6,96,3.3066649999999997,470832,0,470832,142.3887814459584,0.0,142.3887814459584,0.0,0.0,0.002365210262345679,23.716277908259826,0.7913625604770941,0.23594094820631048,0.002830364424476607,True
original_val6_q1,6,96,3.3066649999999997,607152,0,607152,183.61460867671812,0.0,183.61460867671812,0.0,0.0,0.0030500096450617282,24.18505750544054,0.81049208012896,0.21731441149798533,0.002694023745263823,True
original_val6_q2,6,96,3.3066649999999997,798544,0,798544,241.4952830117354,0.0,241.4952830117354,0.0,0.0,0.004011461548353909,24.60634683318376,0.82780365265052,0.19902663076451668,0.0025749783194138824,True
original_val6_q3,6,96,3.3066649999999997,1034824,0,1034824,312.9509641889941,0.0,312.9509641889941,0.0,0.0,0.0051984069573045265,24.930078667932378,0.8416171924651743,0.18495467712637037,0.0024839501725283397,True
quantized_c_train2_l0,2,32,1.0672,197744,546648,744392,185.29235382308846,512.2263868065967,697.5187406296852,538024.986328125,8623.013671875,0.011218291859567901,23.713862127490504,0.8365748011223672,0.26392747135832906,0.0015181545280938734,True
quantized_c_train2_l1,2,32,1.0672,197744,304008,501752,185.29235382308846,284.86506746626685,470.1574212893554,295413.625,8594.375,0.0075616078317901235,23.72002813917993,0.8366443744874572,0.26478326180949807,0.0015173584390140605,True
quantized_c_train2_l2,2,32,1.0672,197744,84768,282512,185.29235382308846,79.43028485757122,264.7226386806597,76150.75927734375,8617.24072265625,0.00425757137345679,23.72079723012773,0.8365855073640354,0.26542390370741487,0.0015164039092875705,True
quantized_d_val6_l0,6,96,3.3066649999999997,470832,1575488,2046320,142.3887814459584,476.45830466648425,618.8470861124426,1549750.955078125,25737.044921875,0.010279626414609054,26.42331494622974,0.810291252153398,0.3057892075739801,0.0022799814632485827,True
quantized_d_val6_l1,6,96,3.3066649999999997,470832,848752,1319584,142.3887814459584,256.679161632642,399.0679430786004,823005.5615234375,25746.4384765625,0.0066288901748971195,26.442035208752106,0.8103143525380551,0.3059892311381797,0.002279231934921376,True
quantized_d_val6_l2,6,96,3.3066649999999997,470832,215424,686256,142.3887814459584,65.1484199336794,207.53720137963782,189586.0986328125,25837.9013671875,0.003447386188271605,26.450357387621523,0.8103940248437373,0.3059831166174263,0.002278175412680462,True
reference_fp32_train2,2,32,1.0672,197744,0,197744,185.29235382308846,0.0,185.29235382308846,0.0,0.0,0.0029800829475308643,21.835958632953393,0.8278273805307934,0.19107537250965834,0.002376043481975406,True
reference_fp32_val6,6,96,3.3066649999999997,470832,0,470832,142.3887814459584,0.0,142.3887814459584,0.0,0.0,0.002365210262345679,23.71697613459207,0.7913523872093419,0.23592701507732272,0.002830641556970982,True
