method,video,frame,type,qp,base_bits,estimated_enh_bits,psnr,ms_ssim,lpips
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,28184,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,37360,0.0,18.307926113866483,0.7696554858790875,0.4110477566719055
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,7800,0.0,18.330313899899036,0.7748141307683308,0.4078429341316223
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,2632,0.0,18.360676761901587,0.777369034163347,0.4057047367095947
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,2576,0.0,18.23550711543834,0.7745604761531343,0.4168137311935425
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,1912,0.0,18.3721274741743,0.7765954017469962,0.40400806069374084
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,2224,0.0,18.30620708395977,0.7749453006935489,0.40997931361198425
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,1224,0.0,18.40895370675905,0.7748560791981411,0.4032178521156311
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,1272,0.0,18.190228657552098,0.7707397068326429,0.42040330171585083
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,1512,0.0,18.393198343302068,0.7717310587066999,0.40251120924949646
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,704,0.0,18.174001068824154,0.7668555480301381,0.41499441862106323
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,1,576,0.0,18.28983522371185,0.7653884309556384,0.4049353003501892
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,0,2952,0.0,18.138124785263628,0.7646653253776542,0.42767074704170227
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,1,816,0.0,18.2704435053957,0.7640048363931132,0.41331416368484497
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,0,664,0.0,18.106531473307324,0.7594610065142983,0.4210456609725952
base_only_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,1,552,0.0,18.147355097769836,0.756649457659051,0.41379299759864807
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,0,30848,0.0,26.363741227929843,0.8150404964666441,0.22730228304862976
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,2,43848,0.0,29.435786159313505,0.8965357108068769,0.18731826543807983
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,0,9160,0.0,29.667582327968113,0.8991641287096536,0.17945754528045654
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,1,2248,0.0,29.759552007665047,0.9016321925660068,0.17175990343093872
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,0,3888,0.0,29.700814289539093,0.9014428568791347,0.18292202055454254
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,1,1928,0.0,29.845764745978613,0.9046381497021333,0.1767999529838562
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,0,2688,0.0,29.84649269512541,0.903686962077248,0.17938444018363953
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,1,1600,0.0,29.9749609013637,0.9066032876357012,0.17203307151794434
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,0,1152,0.0,29.70861233454663,0.9025683986039889,0.18722505867481232
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,2,1456,0.0,29.894986323137005,0.9059584052686631,0.1750139445066452
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,0,576,0.0,29.674154345543453,0.9018150540960793,0.1878821849822998
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,1,1192,0.0,29.625516823986253,0.9009484810963095,0.18561671674251556
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,0,1840,0.0,29.658532523344995,0.9007456485624025,0.18437138199806213
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,1,1160,0.0,29.70891940402991,0.9019528112774439,0.17886832356452942
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,0,632,0.0,29.477065116818892,0.8979734126465813,0.19023984670639038
base_only_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,1,568,0.0,29.41498748556073,0.8971114901191463,0.18830357491970062
