method,video,frame,type,qp,base_bits,estimated_enh_bits,psnr,ms_ssim,lpips
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,28184,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,37360,0.0,18.433447429010993,0.783766235131746,0.36778345704078674
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,7800,0.0,18.510536989314602,0.7895078995783794,0.364210844039917
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,2632,0.0,18.536025181739177,0.7918422667018622,0.36429721117019653
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,2576,0.0,18.420153876193556,0.7894498042331679,0.3733166754245758
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,1912,0.0,18.55666067775358,0.7911719603164276,0.3631811738014221
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,2224,0.0,18.49898345453886,0.7899859653022849,0.36718738079071045
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,1224,0.0,18.59845017122342,0.7895178552794847,0.362723171710968
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,1272,0.0,18.367944525943592,0.7855932395945736,0.3779688775539398
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,1512,0.0,18.573642748402435,0.7863822039044704,0.3633019030094147
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,704,0.0,18.33741781383755,0.7814553640456103,0.37408941984176636
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,1,576,0.0,18.452490598235176,0.7798846566782967,0.3654539883136749
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,0,2952,0.0,18.2873338819242,0.7788179315561155,0.3853663206100464
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,1,816,0.0,18.4312639036804,0.7779593493477561,0.3729265630245209
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,0,664,0.0,18.240490788334508,0.7726347964838457,0.38038700819015503
base_only_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,1,552,0.0,18.278142112698564,0.7695017737219224,0.37488749623298645
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,0,30848,0.0,26.363741227929843,0.8150404964666441,0.22730228304862976
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,2,43848,0.0,29.28545061216623,0.8971886803137253,0.1679004728794098
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,0,9160,0.0,29.57970709381921,0.9003495724905349,0.15840640664100647
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,1,2248,0.0,29.60829032292967,0.9028082581395833,0.1527167111635208
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,0,3888,0.0,29.493267025733605,0.9028629499566786,0.1590089201927185
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,1,1928,0.0,29.657279102663857,0.9061758579249605,0.15572147071361542
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,0,2688,0.0,29.738735061138456,0.9053847731388105,0.1575988382101059
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,1,1600,0.0,29.8316637251478,0.908088161132028,0.15255475044250488
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,0,1152,0.0,29.534161960501457,0.9039479908022153,0.16333872079849243
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,2,1456,0.0,29.75784049442787,0.9074368536619399,0.15629491209983826
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,0,576,0.0,29.556967255919204,0.903343251354872,0.16466781497001648
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,1,1192,0.0,29.554731111834922,0.9024419997806324,0.1635437160730362
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,0,1840,0.0,29.646536702241395,0.9022687014718201,0.1626293659210205
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,1,1160,0.0,29.611094862964258,0.9033863908718334,0.15945565700531006
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,0,632,0.0,29.364147314652243,0.8993722218421675,0.16631145775318146
base_only_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,1,568,0.0,29.36213996824972,0.8985198160255169,0.16564911603927612
