method,video,frame,type,qp,base_bits,estimated_enh_bits,psnr,ms_ssim,lpips
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,28184,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,37360,0.0,18.28181118115507,0.7666503967379569,0.4108312129974365
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,7800,0.0,18.302147922525776,0.7718229288341774,0.4072418510913849
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,2632,0.0,18.331499296918498,0.7743103525777012,0.405671089887619
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,2576,0.0,18.20594387772338,0.7714990367437925,0.41616082191467285
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,1912,0.0,18.342246773521953,0.773523380464232,0.40393179655075073
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,2224,0.0,18.276876817271418,0.7720706787393178,0.40895113348960876
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,1224,0.0,18.380089437909024,0.7719100388131582,0.4029284119606018
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,1272,0.0,18.163618772788357,0.7681197891427844,0.4190848469734192
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,1512,0.0,18.364731977778476,0.7689852905563374,0.4017364978790283
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,704,0.0,18.147748089921585,0.7642633255231521,0.4137710630893707
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,1,576,0.0,18.26261394040891,0.7627816434203635,0.40377527475357056
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,0,2952,0.0,18.113065506152516,0.7623280891953558,0.4256340563297272
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,1,816,0.0,18.244867369328375,0.7616880425343583,0.41138237714767456
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,0,664,0.0,18.08290240666392,0.7572295212984687,0.4189707934856415
continuous_b_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,1,552,0.0,18.12182985257636,0.7543317301330864,0.4121153652667999
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,0,30848,0.0,26.363741227929843,0.8150404964666441,0.22730228304862976
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,2,43848,0.0,29.406035659544955,0.8959803931162482,0.1830727905035019
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,0,9160,0.0,29.639720413345213,0.8986945295889849,0.17491787672042847
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,1,2248,0.0,29.729024247568454,0.9009408452262441,0.1678130179643631
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,0,3888,0.0,29.671450681547647,0.9008488566225473,0.17824681103229523
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,1,1928,0.0,29.818321806506564,0.9041364278908345,0.17209595441818237
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,0,2688,0.0,29.81712788316935,0.9031912656661562,0.17458400130271912
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,1,1600,0.0,29.94725059963827,0.9060955587689788,0.16788169741630554
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,0,1152,0.0,29.681413816051432,0.9020411442452918,0.1827755868434906
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,2,1456,0.0,29.869771097826675,0.9055442116760175,0.1709507554769516
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,0,576,0.0,29.64325763244223,0.9013100255067962,0.18333552777767181
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,1,1192,0.0,29.597906604505383,0.9005552015661031,0.1806943118572235
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,0,1840,0.0,29.61841892360369,0.9001611476606776,0.17987346649169922
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,1,1160,0.0,29.669426100812416,0.9014106233490672,0.17434479296207428
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,0,632,0.0,29.437979696992752,0.8973857670622841,0.18542185425758362
continuous_b_train2,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,1,568,0.0,29.376791917155902,0.8966536657748508,0.18302641808986664
