method,video,frame,type,qp,base_bits,estimated_enh_bits,psnr,ms_ssim,lpips
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,28184,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,37360,0.0,18.397886623203334,0.7820249816582652,0.36789587140083313
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,7800,0.0,18.47504628379187,0.7878511525167674,0.36371567845344543
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,2632,0.0,18.497227434542225,0.7898881492749416,0.3647342622280121
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,2576,0.0,18.384277043906906,0.7875863753398967,0.37409883737564087
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,1912,0.0,18.517295371983636,0.7891549925627839,0.36410877108573914
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,2224,0.0,18.460806334391403,0.7880406219451791,0.36783087253570557
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,1224,0.0,18.55816382621002,0.7875133029579152,0.36356037855148315
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,1272,0.0,18.326873519261152,0.7835928157774411,0.37791675329208374
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,1512,0.0,18.53082973031531,0.7842110454082706,0.3636034429073334
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,704,0.0,18.294568817222697,0.7792960308895122,0.3739374279975891
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,1,576,0.0,18.410739514607357,0.7777274255299353,0.365688681602478
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,0,2952,0.0,18.245889778172387,0.7769408597124761,0.38457179069519043
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,1,816,0.0,18.392845541597833,0.7761466618144542,0.37279602885246277
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,0,664,0.0,18.201630557327782,0.7708829195569015,0.3800831139087677
continuous_c_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,1,552,0.0,18.241917672910333,0.7677632655787564,0.37498152256011963
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,0,30848,0.0,26.363741227929843,0.8150404964666441,0.22730228304862976
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,2,43848,0.0,29.058254279950866,0.8976544640154982,0.1654449850320816
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,0,9160,0.0,29.4079419224432,0.900891921622204,0.1556723564863205
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,1,2248,0.0,29.404742042963044,0.9027827615164856,0.15144489705562592
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,0,3888,0.0,29.29223058369677,0.9029202270329154,0.15754356980323792
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,1,1928,0.0,29.441871849647757,0.9061490808188616,0.15474310517311096
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,0,2688,0.0,29.567770370097094,0.9054561486783074,0.15664246678352356
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,1,1600,0.0,29.6289010340956,0.908092293934188,0.15222875773906708
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,0,1152,0.0,29.341369853621234,0.9040929651117389,0.16285499930381775
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,2,1456,0.0,29.55967758686036,0.9074201786667029,0.15659376978874207
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,0,576,0.0,29.372330406813134,0.9033754155903178,0.16428184509277344
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,1,1192,0.0,29.396952270827903,0.9026107938409992,0.16291649639606476
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,0,1840,0.0,29.50893633141144,0.9022971713578666,0.16218391060829163
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,1,1160,0.0,29.44213649750065,0.9033171794940661,0.1593836396932602
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,0,632,0.0,29.183904248770816,0.8992944457503863,0.1666097640991211
continuous_c_train2,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,1,568,0.0,29.210810718035923,0.8985924369245627,0.1656389832496643
