method,video,frame,type,qp,base_bits,estimated_enh_bits,psnr,ms_ssim,lpips
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,28184,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,37360,0.0,16.274988160611247,0.7762355467989318,0.23075935244560242
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,7800,0.0,16.173490246076064,0.7795369140586709,0.22644343972206116
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,2632,0.0,16.205031702606117,0.7808554678000932,0.22313058376312256
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,2576,0.0,16.112955174292175,0.7780273063366937,0.22398751974105835
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,1912,0.0,16.197583871483044,0.7786976344926478,0.2224130630493164
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,2224,0.0,16.148838802364544,0.7766300971466262,0.22373083233833313
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,1224,0.0,16.197407129322457,0.7752689133436567,0.22396190464496613
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,1272,0.0,16.043891266708997,0.7712777032088379,0.22749063372612
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,1512,0.0,16.165915600926603,0.7710153937404062,0.2278517484664917
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,704,0.0,16.00917574959835,0.7665649667440535,0.23080646991729736
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,1,576,0.0,16.088028643150817,0.7649109025480593,0.22887609899044037
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,0,2952,0.0,15.99182792836833,0.7649480313946949,0.23022815585136414
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,1,816,0.0,16.054900556987153,0.7632231916428047,0.23063084483146667
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,0,664,0.0,15.956948784247189,0.7584717813102756,0.2334516942501068
original_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,1,552,0.0,15.990408953576816,0.7553930912871633,0.23378120362758636
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,0,30848,0.0,26.363741227929843,0.8150404964666441,0.22730228304862976
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,2,43848,0.0,27.89267631918431,0.8950286784978264,0.1515224575996399
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,0,9160,0.0,27.86585419141722,0.8967685583083108,0.14480450749397278
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,1,2248,0.0,27.851580255342373,0.896668765084395,0.14313392341136932
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,0,3888,0.0,27.900330736892755,0.8979849934065492,0.14103977382183075
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,1,1928,0.0,27.898562217748854,0.899642108850259,0.1405213326215744
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,0,2688,0.0,27.88167109855906,0.8987771398290229,0.14094655215740204
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,1,1600,0.0,27.85018736051754,0.8994062542958424,0.14249646663665771
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,0,1152,0.0,27.71149799227669,0.8961344110409882,0.14562664926052094
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,2,1456,0.0,27.715446848712254,0.8977149600324718,0.1457241177558899
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,0,576,0.0,27.63281325045704,0.8954651684385003,0.14759138226509094
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,1,1192,0.0,27.5335196396074,0.8941866296310869,0.14863809943199158
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,0,1840,0.0,27.510749173326236,0.8938388057342713,0.14878074824810028
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,1,1160,0.0,27.453871089902982,0.8930662075636029,0.1507471203804016
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,0,632,0.0,27.34156224187922,0.889627832003883,0.1530001014471054
original_train2,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,1,568,0.0,27.280723625448534,0.889225862681485,0.1531044989824295
