method,video,frame,type,qp,base_bits,estimated_enh_bits,psnr,ms_ssim,lpips
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,3,60144,0.0,16.619493583021196,0.7763619163033931,0.20215058326721191
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,5,55400,0.0,17.188380863651854,0.8339267654057587,0.18713626265525818
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,3,13576,0.0,17.104238979793735,0.8365064879827978,0.18413807451725006
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,4,7448,0.0,17.11036275608112,0.8369993582224401,0.18432778120040894
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,3,6344,0.0,17.022828864247924,0.8355976360153895,0.18342113494873047
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,4,6896,0.0,17.123234184263907,0.8368330093996442,0.18304520845413208
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,3,5752,0.0,17.077915061316318,0.8355797758340201,0.18297824263572693
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,4,3784,0.0,17.129637760198236,0.8345780808010774,0.18361994624137878
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,3,2832,0.0,16.96698731345834,0.8307792116912674,0.18413856625556946
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,5,4952,0.0,17.089061333163215,0.8305644942134869,0.1865052729845047
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,3,1664,0.0,16.92288181077007,0.8264018873641753,0.18897680938243866
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,4,1272,0.0,17.00260148046692,0.8247979759937928,0.18955788016319275
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,3,6392,0.0,16.91336276367477,0.8250267692375925,0.1884905844926834
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,4,2632,0.0,16.992754227047406,0.8238803102387541,0.19013875722885132
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,3,2536,0.0,16.911390895685113,0.82136363539793,0.18994659185409546
original_train2_q3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,4,1552,0.0,16.94328787238512,0.8189933525561358,0.19369590282440186
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,3,63232,0.0,28.261021934283633,0.8958677526086586,0.13846755027770996
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,5,58168,0.0,29.08127924723346,0.9311659785177134,0.10424275696277618
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,3,13024,0.0,29.192783821526497,0.9317818823121433,0.10057610273361206
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,4,5096,0.0,29.39315547115943,0.9333022085002715,0.09954565763473511
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,3,7664,0.0,29.413734140987348,0.9336750427272121,0.09987883269786835
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,4,6648,0.0,29.422301407324984,0.9356048065521828,0.09793572127819061
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,3,4976,0.0,29.380564434408928,0.9347510489113763,0.09850925207138062
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,4,4480,0.0,29.36923896399545,0.9352030656270977,0.09980671107769012
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,3,3528,0.0,29.370988348939626,0.9334196621162493,0.10361169278621674
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,5,4528,0.0,29.340405766050036,0.9343467020338014,0.10176815837621689
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,3,1104,0.0,29.348026007788143,0.9328459662381771,0.10553894937038422
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,4,1824,0.0,29.14069174403877,0.9315142359465924,0.10631808638572693
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,3,4680,0.0,29.168783967415763,0.9310914453172261,0.1050153598189354
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,4,2160,0.0,29.043343897917847,0.9302308741694967,0.1067253053188324
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,3,1208,0.0,29.008496886292733,0.9281384002440948,0.10965672135353088
original_train2_q3,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,4,880,0.0,28.950265100480767,0.9279321701873403,0.10996276885271072
