method,video,frame,type,qp,base_bits,estimated_enh_bits,psnr,ms_ssim,lpips
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,28184,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,37360,2538.358642578125,18.40409796592119,0.7820928741899502,0.37016910314559937
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,7800,2538.358642578125,18.475703704734592,0.7879282641421717,0.3661983609199524
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,2632,2538.358642578125,18.50067846845018,0.7900495967688306,0.3667922019958496
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,2576,2538.358642578125,18.38479604102396,0.7877027985085872,0.37619417905807495
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,1912,2538.358642578125,18.519214653723264,0.7892889153196707,0.3659174144268036
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,2224,2538.358642578125,18.46066312303708,0.7881645304852064,0.36943358182907104
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,1224,2538.358642578125,18.559601848111846,0.7876319747016866,0.36488357186317444
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,1272,2538.358642578125,18.327746275373624,0.7837258187864312,0.37969109416007996
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,1512,2538.358642578125,18.532967299150215,0.7843660525008834,0.3646371364593506
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,704,2538.358642578125,18.296867331992065,0.7794642326177024,0.375192254781723
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,1,576,2538.358642578125,18.413322637441564,0.7778729440896749,0.36661532521247864
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,0,2952,2538.358642578125,18.25018078317505,0.7771271282164185,0.3860401511192322
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,1,816,2538.358642578125,18.395501587181528,0.7763589748404112,0.3736840784549713
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,0,664,2538.358642578125,18.206697895486478,0.7711157830716027,0.3812118172645569
quantized_c_train2_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,1,552,2538.358642578125,18.245946491288677,0.767967303153089,0.37604618072509766
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,0,30848,0.0,26.363741227929843,0.8150404964666441,0.22730228304862976
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,2,43848,2538.358642578125,29.086622894103783,0.8974796639420926,0.16660435497760773
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,0,9160,2538.358642578125,29.437113801911764,0.9007487725834696,0.15683983266353607
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,1,2248,2538.358642578125,29.437747727428338,0.9027335750870136,0.1523597240447998
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,0,3888,2538.358642578125,29.32381134957724,0.9028028789044878,0.15895764529705048
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,1,1928,2538.358642578125,29.473318131610196,0.9060650372078113,0.15586188435554504
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,0,2688,2538.358642578125,29.59697368147711,0.905368184562921,0.15773600339889526
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,1,1600,2538.358642578125,29.66239947622043,0.9080589285284933,0.15308493375778198
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,0,1152,2538.358642578125,29.374424346846155,0.9040466175058484,0.16422638297080994
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,2,1456,2538.358642578125,29.595514047873653,0.9074168320243743,0.1574602574110031
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,0,576,2538.358642578125,29.404808580169878,0.9033374812680134,0.1655636876821518
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,1,1192,2538.358642578125,29.428315829739176,0.9025597642319246,0.16412226855754852
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,0,1840,2538.358642578125,29.538338315021786,0.9022662861492444,0.16323421895503998
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,1,1160,2538.358642578125,29.476561863034444,0.9033028513973981,0.1602649837732315
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,0,632,2538.358642578125,29.217284132321062,0.8992557989881041,0.16787101328372955
quantized_c_train2_l2,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,1,568,2538.358642578125,29.241653094865296,0.898522649975293,0.16679105162620544
