method,video,frame,type,qp,base_bits,estimated_enh_bits,psnr,ms_ssim,lpips
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,28184,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,37360,0.0,16.275004872193602,0.7762273740968038,0.23075713217258453
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,7800,0.0,16.171781927513734,0.7795393538721728,0.22643356025218964
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,2632,0.0,16.20401730630005,0.7808415113165933,0.2231125831604004
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,2576,0.0,16.11250683081292,0.7780156598522813,0.2239689975976944
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,1912,0.0,16.198324968504302,0.7786918960902351,0.22241076827049255
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,2224,0.0,16.14906777442339,0.7766326824095738,0.22371041774749756
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,1224,0.0,16.196236586549393,0.7752546449377643,0.22396348416805267
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,1272,0.0,16.043979363225894,0.7712749480525359,0.22748331725597382
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,1512,0.0,16.16584771349766,0.7710049494844459,0.22784462571144104
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,704,0.0,16.00883221651465,0.7665520232015389,0.23081371188163757
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,1,576,0.0,16.087018914557298,0.7648980711968295,0.228884756565094
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,0,2952,0.0,15.992874110098525,0.7649476350849831,0.2302067130804062
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,1,816,0.0,16.056147425882884,0.76323091845032,0.23063643276691437
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,0,664,0.0,15.956041462739455,0.7584536135657695,0.2334466278553009
reference_fp32_train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,1,552,0.0,15.989681101084422,0.7553841903185615,0.2337779998779297
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,0,30848,0.0,26.363741227929843,0.8150404964666441,0.22730228304862976
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,2,43848,0.0,27.89699404825978,0.8950533698429773,0.15142159163951874
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,0,9160,0.0,27.86452335262869,0.8967561466749484,0.14474886655807495
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,1,2248,0.0,27.85293108584025,0.8966705173290141,0.14308136701583862
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,0,3888,0.0,27.901012941171793,0.8979924245908656,0.14099891483783722
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,1,1928,0.0,27.902388126355415,0.899647127157473,0.14047223329544067
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,0,2688,0.0,27.890163423796576,0.8988237172593049,0.14087684452533722
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,1,1600,0.0,27.84700096198629,0.8993879462679174,0.14244599640369415
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,0,1152,0.0,27.714984912335346,0.8961471063505005,0.14560239017009735
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,2,1456,0.0,27.721197413351657,0.897741967569731,0.14565220475196838
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,0,576,0.0,27.632244506718557,0.8954589093635316,0.14759716391563416
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,1,1192,0.0,27.528380649754144,0.8941685306111795,0.14864030480384827
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,0,1840,0.0,27.51253308965253,0.8938448782829518,0.14876572787761688
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,1,1160,0.0,27.455092091593663,0.8930629636676937,0.15069431066513062
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,0,632,0.0,27.341037587475586,0.8896119357325896,0.15301671624183655
reference_fp32_train2,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,1,568,0.0,27.286191503894365,0.8892454424539795,0.15306593477725983
