video,frame,type,qp,level,delta,mode,checkpoint,diagnostic_intervention,formal_enhancement_bits,rate_field_scope,psnr,ms_ssim,lpips,I_unchanged,psnr_minus_zero,ms_ssim_minus_zero,lpips_minus_zero,psnr_minus_real,ms_ssim_minus_real,lpips_minus_real,psnr_minus_wrong_source,ms_ssim_minus_wrong_source,lpips_minus_wrong_source,delta_ell_mean,delta_ell_std,delta_ell_l2,delta_ell_rms,delta_ell_max_abs,symbol_nonzero_fraction,u_hat_mean,u_hat_std,u_hat_l2,u_hat_rms,u_hat_max_abs,donor_video,source_available_to_synthesis,zero_uses_same_D_G
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,-1,,ORIGINAL_FP16,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,-1,,REFERENCE_FP32,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,-1,,BASE_ONLY,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,0,0.125,REAL,run_v1/stage_d/checkpoint.pt,False,262352,whole sequence for REAL only,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,0,0.125,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,0,0.125,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,0,0.125,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,1,0.5,REAL,run_v1/stage_d/checkpoint.pt,False,140784,whole sequence for REAL only,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,1,0.5,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,1,0.5,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,1,0.5,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,2,2.0,REAL,run_v1/stage_d/checkpoint.pt,False,35904,whole sequence for REAL only,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,2,2.0,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,2,2.0,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,0,I,0,2,2.0,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,22.24485420393664,0.684387439483468,0.3089025616645813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,-1,,ORIGINAL_FP16,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,22.292515414567433,0.7246954213762052,0.29369714856147766,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,-1,,REFERENCE_FP32,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,22.29434154687032,0.7246762124613562,0.2936422526836395,,,,,,,,,,,,,,,,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,-1,,BASE_ONLY,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,24.338737394261063,0.752058133234518,0.4825802445411682,,,,,,,,,,,-0.03844549678982143,0.11708062971696975,47.22826918177647,0.12323120578140243,0.5621176958084106,,,,,,,,,
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,0,0.125,REAL,run_v1/stage_d/checkpoint.pt,False,262352,whole sequence for REAL only,24.29673234192012,0.7517583538234257,0.47205832600593567,,-0.007050307100890052,-1.762354077938788e-05,-0.0008324682712554932,0.0,0.0,0.0,-0.008939768362445477,-0.0004102473919056493,0.0025892555713653564,-0.03678508494374668,0.11054077251404282,44.64879422982848,0.11650066464325438,0.5313540101051331,0.13725490868091583,-0.029564950980392156,0.08075259175709343,5.4928931356799575,0.08599457774744164,0.25,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,0,0.125,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.30378264902101,0.7517759773642051,0.47289079427719116,,0.0,0.0,0.0,0.007050307100890052,1.762354077938788e-05,0.0008324682712554932,-0.0018894612615554252,-0.0003926238511262614,0.0034217238426208496,-0.03781241379359161,0.11192720341494343,45.277746138411985,0.11814176865608504,0.5292107462882996,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,0,0.125,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.305672110282565,0.7521686012153314,0.4694690704345703,,0.0018894612615554252,0.0003926238511262614,-0.0034217238426208496,0.008939768362445477,0.0004102473919056493,-0.0025892555713653564,0.0,0.0,0.0,-0.035895834269208365,0.10924747230887243,44.07120128448867,0.11499356992354103,0.5326635837554932,0.34191176295280457,-0.03915441176470588,0.09409017722974364,6.509608283145768,0.1019118708088744,0.25,66d34721-a96d-4a92-9042-0847e057f3ba,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,0,0.125,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,24.30328520129677,0.7519153161383546,0.4704235792160034,,-0.0004974477242392084,0.00013933877414951112,-0.002467215061187744,0.006552859376650844,0.000156962314928899,-0.001634746789932251,-0.0023869089857946335,-0.0002532850769767503,0.0009545087814331055,-0.036450019693366836,0.11001193804956966,44.415978300148716,0.11589318551610006,0.52996426820755,,-0.031732139194811645,0.0703698187707504,4.930726864364441,0.07719352337927811,0.26983320713043213,,False,False
30884276-8cb2-485e-b0ca-a22605c1801f,1,P,2,1,0.5,REAL,run_v1/stage_d/checkpoint.pt,False,140784,whole sequence for REAL only,24.30364172398731,0.7517732138070196,0.4728866219520569,,-0.00014092503369766973,-2.763557185536669e-06,-4.172325134277344e-06,0.0,0.0,0.0,0.0032121088371823703,4.128212229836947e-06,0.0003947615623474121,-0.03780706414509635,0.1119253561680232,45.276419253286775,0.11813830645734802,0.5292107462882996,0.00024509805371053517,-0.00012254901960784314,0.007826844290115572,0.5,0.00782780363856437,0.5,,False,False
