video,frame,type,qp,level,delta,mode,checkpoint,diagnostic_intervention,formal_enhancement_bits,rate_field_scope,psnr,ms_ssim,lpips,I_unchanged,psnr_minus_zero,ms_ssim_minus_zero,lpips_minus_zero,psnr_minus_real,ms_ssim_minus_real,lpips_minus_real,psnr_minus_wrong_source,ms_ssim_minus_wrong_source,lpips_minus_wrong_source,delta_ell_mean,delta_ell_std,delta_ell_l2,delta_ell_rms,delta_ell_max_abs,symbol_nonzero_fraction,u_hat_mean,u_hat_std,u_hat_l2,u_hat_rms,u_hat_max_abs,donor_video,source_available_to_synthesis,zero_uses_same_D_G
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,-1,,ORIGINAL_FP16,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,,,,,,,,,,,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,-1,,REFERENCE_FP32,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,,,,,,,,,,,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,-1,,BASE_ONLY,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,,,,,,,,,,,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,0,0.125,REAL,run_v1/stage_d/checkpoint.pt,False,262584,whole sequence for REAL only,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,0,0.125,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,0,0.125,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,0,0.125,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,1,0.5,REAL,run_v1/stage_d/checkpoint.pt,False,141384,whole sequence for REAL only,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,1,0.5,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,1,0.5,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,1,0.5,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,2,2.0,REAL,run_v1/stage_d/checkpoint.pt,False,35904,whole sequence for REAL only,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,2,2.0,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,2,2.0,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,0,I,0,2,2.0,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,25.711514879340566,0.8277158677630808,0.223200261592865,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,1,P,2,-1,,ORIGINAL_FP16,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,24.7847338525074,0.8567303525201201,0.19655579328536987,,,,,,,,,,,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,1,P,2,-1,,REFERENCE_FP32,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,24.78443308402695,0.8567257765571131,0.1965894103050232,,,,,,,,,,,,,,,,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,1,P,2,-1,,BASE_ONLY,run_v1/stage_d/checkpoint.pt,False,,no diagnostic RD rate,27.87018458334329,0.8773529598517839,0.26422959566116333,,,,,,,,,,,-0.02668028568296827,0.10391653453653535,41.11763441266088,0.10728692275486211,0.5201897025108337,,,,,,,,,
66d34721-a96d-4a92-9042-0847e057f3ba,1,P,2,0,0.125,REAL,run_v1/stage_d/checkpoint.pt,False,262584,whole sequence for REAL only,27.831377857161588,0.8771390877859461,0.25847557187080383,,0.004177074658301194,-9.61458256477643e-05,-0.000577777624130249,0.0,0.0,0.0,0.00023308675782374166,1.7765493110832864e-05,0.000646740198135376,-0.02178347996882859,0.09897932600621138,38.84156529111182,0.10134804870443352,0.49427878856658936,0.34191176295280457,-0.03915441176470588,0.09409017722974364,6.509608283145768,0.1019118708088744,0.25,,False,False
66d34721-a96d-4a92-9042-0847e057f3ba,1,P,2,0,0.125,ZERO,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,27.827200782503287,0.8772352336115938,0.2590533494949341,,0.0,0.0,0.0,-0.004177074658301194,9.61458256477643e-05,0.000577777624130249,-0.0039439879004774525,0.00011391131875859717,0.001224517822265625,-0.024068728360536074,0.09963993207013103,39.28523657255737,0.10250570592817553,0.500639796257019,0.0,0.0,0.0,0.0,0.0,0.0,,False,True
66d34721-a96d-4a92-9042-0847e057f3ba,1,P,2,0,0.125,WRONG_SOURCE,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,27.831144770403764,0.8771213222928352,0.25782883167266846,,0.0039439879004774525,-0.00011391131875859717,-0.001224517822265625,-0.00023308675782374166,-1.7765493110832864e-05,-0.000646740198135376,0.0,0.0,0.0,-0.02217124008869986,0.09847382599005243,38.68475319756935,0.10093888394563265,0.4954116642475128,0.2973039150238037,-0.032567401960784316,0.09145572627638134,6.201058377406231,0.09708133465922111,0.25,b3d4cebf-21ab-41e1-b79a-729d35794681,False,False
66d34721-a96d-4a92-9042-0847e057f3ba,1,P,2,0,0.125,CONTINUOUS,run_v1/stage_d/checkpoint.pt,True,,no diagnostic RD rate,27.837079886327956,0.8771322785700383,0.25802361965179443,,0.0098791038246695,-0.00010295504155555246,-0.0010297298431396484,0.005702029166368305,-6.8092159077881576e-06,-0.0004519522190093994,0.005935115924192047,1.0956277203044706e-05,0.00019478797912597656,-0.02178121842216361,0.09865828489428334,38.72122437028717,0.10103404700513373,0.49461060762405396,,-0.04221801029788741,0.08796862564694564,6.23257772725202,0.09757478922203722,0.2969123423099518,,False,False
66d34721-a96d-4a92-9042-0847e057f3ba,1,P,2,1,0.5,REAL,run_v1/stage_d/checkpoint.pt,False,141384,whole sequence for REAL only,27.808987448865864,0.8771050129966929,0.25949907302856445,,-0.018213333637422835,-0.0001302206149009777,0.0004457235336303711,0.0,0.0,0.0,-0.010677800051603015,-6.478420692024311e-05,0.00042241811752319336,-0.023171745533475473,0.09989608959702312,39.30156945507668,0.10254832279391317,0.49675461649894714,0.040441177785396576,-0.02022058823529412,0.09849579650455009,6.422616289332565,0.10054995831748047,0.5,,False,False
