sample,video,frame,mode,qp,mse,psnr,ms_ssim,lpips
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,ORIGINAL_FP16,2,0.023577686519407757,16.274988108247527,0.7762355469619671,0.23075933754444122
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,REFERENCE_FP32,2,0.023577595796089666,16.275004819264613,0.7762273742593582,0.23075713217258453
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,BASE_ONLY_C,2,0.014343504881564844,18.433447144466722,0.7837662299861788,0.36778345704078674
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,ZERO_START_C_DELTA2,2,0.014440766016754236,18.40409768814457,0.78209286898127,0.37016910314559937
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,ORIGINAL_FP16,0,0.024866283592519144,16.04389117659992,0.7712777039324986,0.22749066352844238
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,REFERENCE_FP32,0,0.024865779185983688,16.04397927307642,0.77127494878029,0.227483332157135
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,BASE_ONLY_C,0,0.014561482178863223,18.36794416963921,0.7855932347447001,0.3779688775539398
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,ZERO_START_C_DELTA2,0,0.01469688877315357,18.327745925756183,0.7837258139076623,0.37969109416007996
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,ORIGINAL_FP16,1,0.025174399179814583,15.990408856603374,0.7553930917111679,0.23378121852874756
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,REFERENCE_FP32,1,0.025178618618793135,15.989681003874969,0.7553841907416862,0.23377802968025208
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,BASE_ONLY_C,1,0.014865715721050768,18.278141765215963,0.769501768928801,0.37488749623298645
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,ZERO_START_C_DELTA2,1,0.014976329462775035,18.24594614499978,0.7679672982551721,0.37604621052742004
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,ORIGINAL_FP16,2,0.001624547307298471,27.89267637350987,0.8950286769975947,0.1515224426984787
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,REFERENCE_FP32,2,0.001622932994237485,27.896994104471112,0.8950533683446825,0.15142160654067993
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,BASE_ONLY_C,2,0.0011788401535529056,29.28545079668517,0.8971886764696119,0.1679004728794098
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,ZERO_START_C_DELTA2,2,0.0012340639898723643,29.086623202639245,0.8974796602454872,0.16660435497760773
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,ORIGINAL_FP16,0,0.001693753477034068,27.71149800236038,0.8961344104640162,0.14562666416168213
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,REFERENCE_FP32,0,0.0016923941201515294,27.714984921980943,0.8961471057730718,0.14560239017009735
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,BASE_ONLY_C,0,0.0011132271455286072,29.534162121389787,0.9039479873212463,0.16333872079849243
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,ZERO_START_C_DELTA2,0,0.0011549349868008128,29.374424622379294,0.9040466142039335,0.16422641277313232
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,ORIGINAL_FP16,1,0.0018703704967208325,27.280723567021226,0.889225862008289,0.1531045138835907
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,REFERENCE_FP32,1,0.0018680171349392501,27.286191443931664,0.8892454417784305,0.15306593477725983
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,BASE_ONLY_C,1,0.0011582064936448355,29.362140044637624,0.898519812289628,0.1656491458415985
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,ZERO_START_C_DELTA2,1,0.0011907886091400328,29.241653283848095,0.8985226464372825,0.16679106652736664
