initialization,objective,step,samples,psnr,ms_ssim,lpips,delta_latent_l2,delta_latent_max_abs,relative_delta_l2
ORIGINAL_START,MSE_ONLY,0,6,21.86780592776662,0.8305554049462532,0.19035140424966812,0.0,0.0,0.0
ORIGINAL_START,MSE_ONLY,25,6,23.23500475178244,0.8460229991959293,0.18480336417754492,8.239524681139903,0.026645032378534477,0.05349465563300992
ORIGINAL_START,MSE_ONLY,50,6,24.0194721583885,0.8570533645295638,0.18371987094481787,14.103698138644829,0.058896382028857865,0.0916512358734173
ORIGINAL_START,MSE_ONLY,100,6,25.01718311569616,0.8748075247953561,0.18189496795336405,22.28293864740557,0.12829775363206863,0.14490564533682324
ORIGINAL_START,MSE_ONLY,150,6,25.70552759072619,0.888629834962999,0.17852051183581352,28.478511251938574,0.197269173959891,0.18518802169126755
ORIGINAL_START,MSE_LPIPS,0,6,21.86780592776662,0.8305554049462532,0.19035140424966812,0.0,0.0,0.0
ORIGINAL_START,MSE_LPIPS,25,6,23.234555190314797,0.8461832710839724,0.18102921297152838,8.234546067629372,0.026669764891266823,0.05346266659041856
ORIGINAL_START,MSE_LPIPS,50,6,24.021543768793098,0.857449381129265,0.17520858099063238,14.12012851262214,0.058838057021299996,0.09175541955817118
ORIGINAL_START,MSE_LPIPS,100,6,25.02176752436385,0.875378408422446,0.16493582477172217,22.486293710279096,0.1279285786052545,0.14620343130248836
ORIGINAL_START,MSE_LPIPS,150,6,25.71544458459046,0.8892989733774619,0.15522720416386923,28.89028295219531,0.19888442009687424,0.1878183003801567
ZERO_START,MSE_ONLY,0,6,23.780081811294526,0.8389724836718012,0.2705880403518677,0.0,0.0,0.0
ZERO_START,MSE_ONLY,25,6,24.499207548328844,0.8535857655197036,0.26399845878283185,6.997460155189125,0.026462264048556488,0.04463937547202577
ZERO_START,MSE_ONLY,50,6,24.952724389481812,0.8671673809041672,0.2548471714059512,12.259603987908648,0.05702811169127623,0.0783460198321471
ZERO_START,MSE_ONLY,100,6,25.71606710680477,0.8894554049523021,0.23545672992865244,21.74379333183666,0.1287193906803926,0.13910631994053896
ZERO_START,MSE_ONLY,150,6,26.373131269340295,0.9062805056941737,0.2177655374010404,30.098641703151955,0.19876074542601904,0.19266134841842986
ZERO_START,MSE_LPIPS,0,6,23.780081811294526,0.8389724836718012,0.2705880403518677,0.0,0.0,0.0
ZERO_START,MSE_LPIPS,25,6,24.499212204531744,0.8540159691772505,0.2551939735809962,7.076569454823339,0.026444163794318836,0.04513720363315338
ZERO_START,MSE_LPIPS,50,6,24.95374907860857,0.8676348587689736,0.23841440429290137,12.526856288941309,0.05733597526947657,0.0800238276436556
ZERO_START,MSE_LPIPS,100,6,25.72222398078164,0.8897991756275876,0.2083029660085837,22.390904252257943,0.1283809021115303,0.14317004229902278
ZERO_START,MSE_LPIPS,150,6,26.386325890865283,0.9065148713333869,0.18374655892451605,31.051467854650713,0.201231117049853,0.19864054643578474
