video,frame,delta,packet_bytes,header_bits,estimated_float_bits,ideal_quantized_cdf_bits,symbol_coding_bits,deferred_symbol_bits_at_flush,termination_decision_bits,lookahead_bits,alignment_bits,arithmetic_payload_bits,replay_matches_file
026aa77c-d036-41b7-a998-83c1911fe2bf,1,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,2,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,3,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,4,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,5,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,6,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,7,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,8,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,9,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,10,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,11,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,12,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,13,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,14,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
026aa77c-d036-41b7-a998-83c1911fe2bf,15,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,1,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,2,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,3,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,4,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,5,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,6,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,7,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,8,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,9,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,10,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,11,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,12,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,13,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,14,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
30884276-8cb2-485e-b0ca-a22605c1801f,15,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,1,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,2,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,3,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,4,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,5,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,6,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,7,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,8,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,9,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,10,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,11,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,12,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,13,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,14,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
66d34721-a96d-4a92-9042-0847e057f3ba,15,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,1,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,2,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,3,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,4,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,5,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,6,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,7,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,8,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,9,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,10,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,11,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,12,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,13,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,14,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
b3d4cebf-21ab-41e1-b79a-729d35794681,15,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,1,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
46da3cc3-6beb-425c-a870-c8d7bae89311,2,2.0,292,192,2106.51220703125,2106.529437112357,2106,0,2,32,4,2144,True
