video,scope,level,delta,mode,frames,diagnostic_intervention,formal_rate_kbps,input_statistics_scope,psnr,ms_ssim,lpips,symbol_nonzero_fraction,u_hat_mean,u_hat_std,u_hat_l2,u_hat_rms,u_hat_max_abs,delta_ell_mean,delta_ell_std,delta_ell_l2,delta_ell_rms,delta_ell_max_abs,psnr_minus_zero,ms_ssim_minus_zero,lpips_minus_zero,psnr_minus_real,ms_ssim_minus_real,lpips_minus_real,psnr_minus_wrong_source,ms_ssim_minus_wrong_source,lpips_minus_wrong_source
026aa77c-d036-41b7-a998-83c1911fe2bf,P,-1,,BASE_ONLY,15,False,,P frames only; missing on I frames,33.31458308750712,0.9678779133803149,0.06992987593015035,,,,,,,-0.0017150271653426491,0.10320978209955319,39.560846594885675,0.10322484630671094,0.4869953036308289,,,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,-1,,BASE_ONLY,16,False,,P frames only; missing on I frames,33.10452545274703,0.9660842218684402,0.07152252178639174,,,,,,,-0.0017150271653426491,0.10320978209955319,39.560846594885675,0.10322484630671094,0.4869953036308289,,,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf,P,-1,,ORIGINAL_FP16,15,False,,P frames only; missing on I frames,29.59932673286145,0.9489548035285772,0.07700860251983006,,,,,,,,,,,,,,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,-1,,ORIGINAL_FP16,16,False,,P frames only; missing on I frames,29.621472620266722,0.948343806382436,0.07815882796421647,,,,,,,,,,,,,,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf,P,-1,,REFERENCE_FP32,15,False,,P frames only; missing on I frames,29.606821655046822,0.9490059611140196,0.07696059842904408,,,,,,,,,,,,,,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,-1,,REFERENCE_FP32,16,False,,P frames only; missing on I frames,29.6284991098155,0.9483917666187883,0.07811382412910461,,,,,,,,,,,,,,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf,P,0,0.125,CONTINUOUS,15,True,,P frames only; missing on I frames,33.32755337200028,0.9676355023542922,0.07028948764006297,,-0.034117939093895294,0.09642730868780755,6.533520026243934,0.10228622366813088,0.36156404415766397,0.005013791549193162,0.10225381480127936,39.23615741157281,0.10237764524986463,0.51719797650973,-0.07003654368130299,-0.00014705163656233053,0.0005567575494448344,-0.00039625830777225703,-1.4463393885740435e-06,-3.9505958557128904e-05,-0.06834031812322129,-0.00011070439061973136,0.000372372567653656
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,0,0.125,CONTINUOUS,16,True,,P frames only; missing on I frames,33.11668509445937,0.9658569615315438,0.07185965776443481,,-0.034117939093895294,0.09642730868780755,6.533520026243934,0.10228622366813088,0.36156404415766397,0.005013791549193162,0.10225381480127936,39.23615741157281,0.10237764524986463,0.51719797650973,-0.06565925970122155,-0.00013786090927718486,0.0005219602026045322,-0.00037149216353649095,-1.3559431767881658e-06,-3.703683614730835e-05,-0.06406904824051995,-0.00010378536620599815,0.0003490992821753025
026aa77c-d036-41b7-a998-83c1911fe2bf,P,0,0.125,REAL,15,False,410.475,P frames only; missing on I frames,33.32794963030805,0.9676369486936806,0.07032899359862009,0.38566993474960326,-0.03439338235294118,0.1040777534362556,7.001678675693193,0.10961553162729945,0.375,0.00512285014278152,0.10240942337821683,39.297778038021484,0.10253842997117317,0.5158687214056651,-0.06964028537353073,-0.00014560529717375648,0.0005962635080019633,0.0,0.0,0.0,-0.06794405981544903,-0.00010925805123115731,0.0004118785262107849
026aa77c-d036-41b7-a998-83c1911fe2bf,IP,0,0.125,REAL,16,False,410.475,P frames only; missing on I frames,33.117056586622894,0.9658583174747205,0.07189669460058212,0.38566993474960326,-0.03439338235294118,0.1040777534362556,7.001678675693193,0.10961553162729945,0.375,0.00512285014278152,0.10240942337821683,39.297778038021484,0.10253842997117317,0.5158687214056651,-0.06528776753768506,-0.0001365049661003967,0.0005589970387518406,0.0,0.0,0.0,-0.06369755607698346,-0.00010242942302920999,0.00038613611832261086
