method,kind,video,scope,frames,delta,target_P_frames,duration_seconds,base_bits,enhancement_bits,base_kbps,enhancement_kbps,total_kbps,total_bpp,actual_enhancement_fraction,diagnostic,rate_scope,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,ms_ssim_gain_vs_ZERO_D,lpips_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_minus_ORIGINAL,lpips_minus_ORIGINAL,cohort
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,ALL,TARGET_P,6,,6,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,21.867805966832233,0.8305554051858932,0.19035139431556067,-1.9590154043595671,-0.009007083767446744,-0.0914858082930247,0.0021082471978024486,6.189600021004142e-06,-2.9404958089192707e-05,Train6_sparse
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,ALL,P,30,,6,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,21.898467942290427,0.8331520818361692,0.18715105652809144,-2.053587582489871,-0.010117601666335008,-0.08992041647434235,0.0007199885706815105,-1.0287389014688545e-06,-2.2986034552256265e-05,Train6_sparse
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,ALL,IP,32,,6,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,21.835958632953393,0.8278273805307934,0.19107537250965834,-1.925238358584254,-0.00948525156218907,-0.08430039044469595,0.0006749892850139161,-9.644427201270511e-07,-2.154940739274025e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,ALL,TARGET_P,6,,6,1.0672,239424,0,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,False,complete I/P sequence,22.29658507439653,0.8498731028973742,0.17348401496807733,-1.5302362967952732,0.010310613944034189,-0.10835318764050801,0.0030768720120194124,1.3124590796313266e-05,-2.9499332110087078e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,ALL,P,30,,6,1.0672,239424,0,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,False,complete I/P sequence,22.32278429287744,0.8517986444358709,0.17070520669221878,-1.6292712319028582,0.008528960933367207,-0.106366266310215,0.0018612575469020953,4.9187290047584636e-06,-2.400179704030355e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,ALL,IP,32,,6,1.0672,239424,0,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,False,complete I/P sequence,22.265428360812113,0.8471352009124353,0.17395733436569571,-1.495768630725535,0.009822568819452784,-0.10141842858865857,0.0017449289502207144,4.6113084419610595e-06,-2.2501684725284576e-05,Train6_sparse
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,ALL,TARGET_P,6,,6,1.0672,297040,0,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,False,complete I/P sequence,22.748039652108798,0.8662180972108132,0.1595021424194177,-1.0787817190830016,0.02665560825747339,-0.12233506018916766,0.0017429456090714741,3.4823365477702297e-06,-8.927037318547567e-06,Train6_sparse
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,ALL,P,30,,6,1.0672,297040,0,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,False,complete I/P sequence,22.805379196322747,0.868304124181744,0.15706290900707245,-1.1466763284575496,0.025034440679240065,-0.12000856399536133,0.0018708310899724504,9.331873737083995e-07,-1.2923777103424072e-05,Train6_sparse
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,ALL,IP,32,,6,1.0672,297040,0,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,False,complete I/P sequence,22.74776771372064,0.8644834670712778,0.15956154325976968,-1.013429277817004,0.027170834978295238,-0.11581421969458461,0.0017539041468491723,8.748631628516246e-07,-1.2116041034460068e-05,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,ALL,TARGET_P,6,,6,1.0672,366376,0,343.30584707646176,0.0,343.30584707646176,0.005521436149691358,0.0,False,complete I/P sequence,23.0823272538821,0.8793616337110031,0.14713991930087408,-0.7444941173097052,0.039799144757663274,-0.13469728330771127,-0.0012042038094310925,-7.889701407711355e-06,8.594244718551636e-06,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,ALL,P,30,,6,1.0672,366376,0,343.30584707646176,0.0,343.30584707646176,0.005521436149691358,0.0,False,complete I/P sequence,23.138878561392062,0.8812276179698503,0.14496839841206868,-0.8131769633882373,0.037957934467346306,-0.1321030745903651,0.0014457156666000041,-1.233553243958537e-07,-5.238006512324015e-06,Train6_sparse
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,ALL,IP,32,,6,1.0672,366376,0,343.30584707646176,0.0,343.30584707646176,0.005521436149691358,0.0,False,complete I/P sequence,23.095214761220834,0.8784080690002363,0.1465521901845932,-0.6659822303168134,0.04109543690725361,-0.12882357276976109,0.0013553584374375038,-1.1564561662111283e-07,-4.910631105303764e-06,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,ALL,TARGET_P,6,,6,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,21.865697719634436,0.8305492155858721,0.19038079927364984,-1.9611236515573696,-0.009013273367467748,-0.0914564033349355,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,ALL,P,30,,6,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,21.897747953719747,0.8331531105750704,0.1871740425626437,-2.0543075710605527,-0.010116572927433539,-0.0898974304397901,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q0,ORIGINAL,ALL,IP,32,,6,1.0672,197744,0,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,False,complete I/P sequence,21.835283643668376,0.8278283449735137,0.19109692191705108,-1.9259133478692678,-0.009484287119468943,-0.08427884103730321,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,ALL,TARGET_P,6,,6,1.0672,239424,0,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,False,complete I/P sequence,22.293508202384512,0.8498599783065778,0.17351351430018744,-1.5333131688072925,0.010297489353237876,-0.10832368830839793,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,ALL,P,30,,6,1.0672,239424,0,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,False,complete I/P sequence,22.320923035330534,0.8517937257068662,0.17072920848925907,-1.6311324894497603,0.008524042204362448,-0.10634226451317469,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q1,ORIGINAL,ALL,IP,32,,6,1.0672,239424,0,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,False,complete I/P sequence,22.263683431861892,0.8471305896039933,0.173979836050421,-1.4975135596757556,0.009817957511010823,-0.10139592690393329,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,ALL,TARGET_P,6,,6,1.0672,297040,0,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,False,complete I/P sequence,22.74629670649973,0.8662146148742655,0.15951106945673624,-1.0805246646920732,0.026652125920925623,-0.1223261331518491,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,ALL,P,30,,6,1.0672,297040,0,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,False,complete I/P sequence,22.803508365232776,0.8683031909943703,0.15707583278417586,-1.148547159547522,0.025033507491866357,-0.1199956402182579,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q2,ORIGINAL,ALL,IP,32,,6,1.0672,297040,0,278.33583208395805,0.0,278.33583208395805,0.004476514274691358,0.0,False,complete I/P sequence,22.746013809573792,0.864482592208115,0.15957365930080414,-1.0151831819638533,0.027169960115132386,-0.11580210365355015,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q3,ORIGINAL,ALL,TARGET_P,6,,6,1.0672,366376,0,343.30584707646176,0.0,343.30584707646176,0.005521436149691358,0.0,False,complete I/P sequence,23.083531457691524,0.8793695234124108,0.14713132505615553,-0.7432899135002741,0.03980703445907099,-0.13470587755242983,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q3,ORIGINAL,ALL,P,30,,6,1.0672,366376,0,343.30584707646176,0.0,343.30584707646176,0.005521436149691358,0.0,False,complete I/P sequence,23.13743284572546,0.8812277413251746,0.14497363641858102,-0.8146226790548373,0.037958057822670706,-0.13209783658385277,0.0,0.0,0.0,Train6_sparse
train2_ORIGINAL_q3,ORIGINAL,ALL,IP,32,,6,1.0672,366376,0,343.30584707646176,0.0,343.30584707646176,0.005521436149691358,0.0,False,complete I/P sequence,23.093859402783394,0.8784081846458528,0.1465571008156985,-0.6673375887542509,0.04109555255287023,-0.12881866213865578,0.0,0.0,0.0,Train6_sparse
train2_full_CODED_l0,LEARNED,ALL,TARGET_P,30,1.1303311586380005,30,1.0672,197744,605744,185.29235382308846,567.6011994003,752.8935532233884,0.012108892746913581,3.063273727647868,False,complete I/P sequence,24.57349187849059,0.865665727412363,0.22387588620185853,0.6214363537102925,0.022396043909859095,-0.053195586800575255,2.6757439247708446,0.03251261683729263,0.03670184363921483,Train2_full
train2_full_CODED_l0,LEARNED,ALL,P,30,1.1303311586380005,30,1.0672,197744,605744,185.29235382308846,567.6011994003,752.8935532233884,0.012108892746913581,3.063273727647868,False,complete I/P sequence,24.57349187849059,0.865665727412363,0.22387588620185853,0.6214363537102925,0.022396043909859095,-0.053195586800575255,2.6757439247708446,0.03251261683729263,0.03670184363921483,Train2_full
train2_full_CODED_l0,LEARNED,ALL,IP,32,1.1303311586380005,30,1.0672,197744,605744,185.29235382308846,567.6011994003,752.8935532233884,0.012108892746913581,3.063273727647868,False,complete I/P sequence,24.343793573141046,0.8583089232584755,0.22550490032881498,0.5825965816033992,0.0209962911654929,-0.0498708626255393,2.508509929472667,0.030480578284961844,0.034407978411763906,Train2_full
train2_full_CODED_l1,LEARNED,ALL,TARGET_P,30,2.260662317276001,30,1.0672,197744,488872,185.29235382308846,458.088455772114,643.3808095952024,0.010347583912037037,2.472246945545756,False,complete I/P sequence,24.57110568094088,0.8656165837661227,0.2239479238788287,0.6190501561605847,0.022346900263618772,-0.05312354912360509,2.6733577272211373,0.03246347319105231,0.036773881316184996,Train2_full
train2_full_CODED_l1,LEARNED,ALL,P,30,2.260662317276001,30,1.0672,197744,488872,185.29235382308846,458.088455772114,643.3808095952024,0.010347583912037037,2.472246945545756,False,complete I/P sequence,24.57110568094088,0.8656165837661227,0.2239479238788287,0.6190501561605847,0.022346900263618772,-0.05312354912360509,2.6733577272211373,0.03246347319105231,0.036773881316184996,Train2_full
train2_full_CODED_l1,LEARNED,ALL,IP,32,2.260662317276001,30,1.0672,197744,488872,185.29235382308846,458.088455772114,643.3808095952024,0.010347583912037037,2.472246945545756,False,complete I/P sequence,24.341556512938197,0.8582628510901251,0.2255724356509745,0.5803595214005481,0.020950218997142597,-0.049803327303379774,2.506272869269816,0.03043450611661154,0.034475513733923435,Train2_full
