method,kind,video,scope,frames,delta,target_P_frames,base_bits,enhancement_bits,duration_seconds,rate_scope,base_kbps,enhancement_kbps,total_kbps,total_bpp,actual_enhancement_fraction,zero_increment_exact_frames,diagnostic,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,ms_ssim_gain_vs_ZERO_D,lpips_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_minus_ORIGINAL,lpips_minus_ORIGINAL,cohort
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,TARGET_P,3,,3,92960,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",174.3001089375681,0.0,174.3001089375681,0.0028018904320987656,0.0,0,False,16.102888445501303,0.7676288374893004,0.230672816435496,-2.168571746789746,-0.012949587427170006,-0.15126537283261618,-0.0002076814643808452,-6.60960901059197e-06,-4.246830940246582e-06,Train6_sparse
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15,,3,92960,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",174.3001089375681,0.0,174.3001089375681,0.0028018904320987656,0.0,0,False,16.107157504926544,0.7707299647953608,0.22783007522424062,-2.2227313116597043,-0.014050816289108582,-0.15075041949748993,-0.0002686664281151015,-7.164661547132134e-06,-6.161133448282877e-06,Train6_sparse
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16,,3,92960,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",174.3001089375681,0.0,174.3001089375681,0.0028018904320987656,0.0,0,False,16.065016208235253,0.7651139185852556,0.23062681686133146,-2.0838106046809726,-0.013172640271039295,-0.1413285182788968,-0.00025187477635790767,-6.716870200436376e-06,-5.776062607765198e-06,Train6_sparse
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,TARGET_P,3,,3,104784,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",196.2736037252724,0.0,196.2736037252724,0.003158275462962963,0.0,0,False,27.632723488163162,0.8934819728824858,0.1500299721956253,-1.7494590619293884,-0.005064580107723482,-0.03170624375343323,0.004424175859985742,1.8988809052600253e-05,-5.456308523813883e-05,Train6_sparse
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,P,15,,3,104784,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",196.2736037252724,0.0,196.2736037252724,0.003158275462962963,0.0,0,False,27.689778379654307,0.8955741988769773,0.14647203783194224,-1.8844438533200383,-0.006184387043561434,-0.029090413451194765,0.0017086435694781226,5.107183744194425e-06,-3.981093565622965e-05,Train6_sparse
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16,,3,104784,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",196.2736037252724,0.0,196.2736037252724,0.003158275462962963,0.0,0,False,27.606901057671532,0.8905408424763313,0.1515239281579852,-1.7666661124875358,-0.005797862853338845,-0.02727226261049509,0.0016018533463857398,4.787984760182273e-06,-3.73227521777153e-05,Train6_sparse
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,ALL,TARGET_P,6,,6,197744,0,1.0672,complete I/P sequence,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,,False,21.867805966832233,0.8305554051858932,0.19035139431556067,-1.9590154043595671,-0.009007083767446744,-0.0914858082930247,0.0021082471978024486,6.189600021004142e-06,-2.9404958089192707e-05,Train6_sparse
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,ALL,P,30,,6,197744,0,1.0672,complete I/P sequence,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,,False,21.898467942290427,0.8331520818361692,0.18715105652809144,-2.053587582489871,-0.010117601666335008,-0.08992041647434235,0.0007199885706815105,-1.0287389014688545e-06,-2.2986034552256265e-05,Train6_sparse
train2_ORIGINAL_FP32_q0,ORIGINAL_FP32,ALL,IP,32,,6,197744,0,1.0672,complete I/P sequence,185.29235382308846,0.0,185.29235382308846,0.0029800829475308643,0.0,,False,21.835958632953393,0.8278273805307934,0.19107537250965834,-1.925238358584254,-0.00948525156218907,-0.08430039044469595,0.0006749892850139161,-9.644427201270511e-07,-2.154940739274025e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,TARGET_P,3,,3,115496,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",216.55513534695962,0.0,216.55513534695962,0.003481143904320988,0.0,0,False,16.45453147686818,0.7926227114596571,0.2153050055106481,-1.816928715422873,0.012044286543186641,-0.16663318375746408,-0.0007841124916415273,-4.812000261182152e-06,8.046627044677734e-07,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15,,3,115496,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",216.55513534695962,0.0,216.55513534695962,0.003481143904320988,0.0,0,False,16.44269671522055,0.7945895805061636,0.213171257575353,-1.8871921013656987,0.009808799421694384,-0.16540923714637756,-0.001138775197493184,-1.0379111141249156e-05,1.975893974304199e-06,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16,,3,115496,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",216.55513534695962,0.0,216.55513534695962,0.003481143904320988,0.0,0,False,16.40136165396013,0.7893678168945879,0.21551631391048431,-1.7474651589560963,0.011081258038293032,-0.15643902122974396,-0.00106760174764986,-9.730416694921085e-06,1.8524006009101868e-06,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,TARGET_P,3,,3,123928,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",232.13272219485378,0.0,232.13272219485378,0.0037352912808641977,0.0,0,False,28.138638671924877,0.907123494335091,0.1316630244255066,-1.2435438781676733,0.008576941344881739,-0.05007319152355194,0.006937856515680352,3.1061181853808684e-05,-5.980332692464193e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,P,15,,3,123928,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",232.13272219485378,0.0,232.13272219485378,0.0037352912808641977,0.0,0,False,28.202871870534334,0.9090077083655785,0.12823915580908457,-1.3713503624400174,0.007249122445040028,-0.04732329547405243,0.004861290291297375,2.0216569150766085e-05,-4.9979488054911295e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16,,3,123928,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",232.13272219485378,0.0,232.13272219485378,0.0037352912808641977,0.0,0,False,28.129495067664095,0.9049025849302827,0.13239835482090712,-1.2440721024949732,0.008563879600612535,-0.046397835947573185,0.004557459648091289,1.8953033578843204e-05,-4.685577005147934e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,ALL,TARGET_P,6,,6,239424,0,1.0672,complete I/P sequence,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,,False,22.29658507439653,0.8498731028973742,0.17348401496807733,-1.5302362967952732,0.010310613944034189,-0.10835318764050801,0.0030768720120194124,1.3124590796313266e-05,-2.9499332110087078e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,ALL,P,30,,6,239424,0,1.0672,complete I/P sequence,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,,False,22.32278429287744,0.8517986444358709,0.17070520669221878,-1.6292712319028582,0.008528960933367207,-0.106366266310215,0.0018612575469020953,4.9187290047584636e-06,-2.400179704030355e-05,Train6_sparse
