cohort,video,method,kind,delta,base_bits,actual_enhancement_bits,budget_fraction,budget_bits,actual_fraction,actual_minus_budget_bits,within_budget,IP_PSNR_gain_vs_ZERO_D,IP_LPIPS_gain_vs_ZERO_D
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_CODED_l0,LEARNED,1.1303311586380005,92960,361144,0.1,9296.0,3.8849397590361447,351848.0,False,0.5226272528968934,-0.05938822962343693
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_CODED_l0,LEARNED,1.1303311586380005,92960,361144,0.25,23240.0,3.8849397590361447,337904.0,False,0.5226272528968934,-0.05938822962343693
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_CODED_l0,LEARNED,1.1303311586380005,92960,361144,0.5,46480.0,3.8849397590361447,314664.0,False,0.5226272528968934,-0.05938822962343693
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_CODED_l0,LEARNED,1.1303311586380005,104784,244600,0.1,10478.400000000001,2.334325851275004,234121.6,False,0.6425659103099051,-0.04035349562764168
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_CODED_l0,LEARNED,1.1303311586380005,104784,244600,0.25,26196.0,2.334325851275004,218404.0,False,0.6425659103099051,-0.04035349562764168
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_CODED_l0,LEARNED,1.1303311586380005,104784,244600,0.5,52392.0,2.334325851275004,192208.0,False,0.6425659103099051,-0.04035349562764168
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_CODED_l1,LEARNED,2.260662317276001,92960,304632,0.1,9296.0,3.277022375215146,295336.0,False,0.5214016603625382,-0.059341199696063995
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_CODED_l1,LEARNED,2.260662317276001,92960,304632,0.25,23240.0,3.277022375215146,281392.0,False,0.5214016603625382,-0.059341199696063995
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_CODED_l1,LEARNED,2.260662317276001,92960,304632,0.5,46480.0,3.277022375215146,258152.0,False,0.5214016603625382,-0.059341199696063995
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_CODED_l1,LEARNED,2.260662317276001,104784,184240,0.1,10478.400000000001,1.7582837074362498,173761.6,False,0.6393173824385581,-0.04026545491069555
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_CODED_l1,LEARNED,2.260662317276001,104784,184240,0.25,26196.0,1.7582837074362498,158044.0,False,0.6393173824385581,-0.04026545491069555
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_CODED_l1,LEARNED,2.260662317276001,104784,184240,0.5,52392.0,1.7582837074362498,131848.0,False,0.6393173824385581,-0.04026545491069555
