cohort,video,method,total_bpp,reference,interpolation,within_sampled_overlap,reference_min_bpp,reference_max_bpp,psnr_original_interpolated,psnr_minus_original_interpolated,ms_ssim_original_interpolated,ms_ssim_minus_original_interpolated,lpips_original_interpolated,lpips_minus_original_interpolated
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_CODED_l0,0.013687065972222223,"original GVC-RT actual QP 0-3 streams, matched FP32 P generator / unchanged FP16 I","per-video piecewise linear metric vs log(total bpp), no extrapolation",False,,,,,,,,
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_CODED_l0,0.010530719521604939,"original GVC-RT actual QP 0-3 streams, matched FP32 P generator / unchanged FP16 I","per-video piecewise linear metric vs log(total bpp), no extrapolation",False,,,,,,,,
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_CODED_l1,0.011983748070987654,"original GVC-RT actual QP 0-3 streams, matched FP32 P generator / unchanged FP16 I","per-video piecewise linear metric vs log(total bpp), no extrapolation",False,,,,,,,,
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_CODED_l1,0.00871141975308642,"original GVC-RT actual QP 0-3 streams, matched FP32 P generator / unchanged FP16 I","per-video piecewise linear metric vs log(total bpp), no extrapolation",False,,,,,,,,
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_CODED_l2,0.010164930555555556,"original GVC-RT actual QP 0-3 streams, matched FP32 P generator / unchanged FP16 I","per-video piecewise linear metric vs log(total bpp), no extrapolation",False,,,,,,,,
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_CODED_l2,0.006962046682098765,"original GVC-RT actual QP 0-3 streams, matched FP32 P generator / unchanged FP16 I","per-video piecewise linear metric vs log(total bpp), no extrapolation",False,,,,,,,,
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_CODED_l3,0.008314766589506173,"original GVC-RT actual QP 0-3 streams, matched FP32 P generator / unchanged FP16 I","per-video piecewise linear metric vs log(total bpp), no extrapolation",False,,,,,,,,
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_CODED_l3,0.005343605324074074,"original GVC-RT actual QP 0-3 streams, matched FP32 P generator / unchanged FP16 I","per-video piecewise linear metric vs log(total bpp), no extrapolation",True,0.003158275462962963,0.005521797839506173,29.10757538942141,0.8435654312435226,0.9282970000639085,-0.02165376930006191,0.10767457514797617,0.03225630548055004
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l0,0.29257691936728397,"original GVC-RT actual QP 0-3 streams, matched FP32 P generator / unchanged FP16 I","per-video piecewise linear metric vs log(total bpp), no extrapolation",False,,,,,,,,
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l0,0.2547248746141975,"original GVC-RT actual QP 0-3 streams, matched FP32 P generator / unchanged FP16 I","per-video piecewise linear metric vs log(total bpp), no extrapolation",False,,,,,,,,
