sample,video,frame,mode,psnr,ms_ssim,lpips,mse
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,ORIGINAL,16.274988108247527,0.7762355469619671,0.23075933754444122,0.023577686519407757
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,ZERO_D,18.380774084844518,0.7843452553097912,0.3777421712875366,0.014518528168263446
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,CONTROL_C,18.433447144466722,0.7837662299861788,0.36778345704078674,0.014343504881564844
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,TEACHER,20.023840001151765,0.870163815891346,0.2697720527648926,0.00994525675896065
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,ORIGINAL,16.04389117659992,0.7712777039324986,0.22749066352844238,0.024866283592519144
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,ZERO_D,18.258255314628165,0.7864553587050874,0.3857608735561371,0.014933942283403598
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,CONTROL_C,18.36794416963921,0.7855932347447001,0.3779688775539398,0.014561482178863223
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,TEACHER,19.881828014654264,0.8694557865833851,0.2780449092388153,0.010275836807452057
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,ORIGINAL,15.990408856603374,0.7553930917111679,0.23378121852874756,0.025174399179814583
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,ZERO_D,18.175349578679636,0.7709346461417427,0.38231155276298523,0.01522176602678956
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,CONTROL_C,18.278141765215963,0.769501768928801,0.37488749623298645,0.014865715721050768
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,TEACHER,19.877160085238813,0.8602201965743733,0.28020521998405457,0.010286887527705808
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,ORIGINAL,27.89267637350987,0.8950286769975947,0.1515224426984787,0.001624547307298471
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,ZERO_D,29.214791825806202,0.8948575140545686,0.18397662043571472,0.0011981765550642131
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,CONTROL_C,29.28545079668517,0.8971886764696119,0.1679004728794098,0.0011788401535529056
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,TEACHER,32.757682213391604,0.9443647124610549,0.09183868765830994,0.0005299461954664854
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,ORIGINAL,27.71149800236038,0.8961344104640162,0.14562666416168213,0.001693753477034068
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,ZERO_D,29.62624904022592,0.9031067629130028,0.17986352741718292,0.0010898709980745817
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,CONTROL_C,29.534162121389787,0.9039479873212463,0.16333872079849243,0.0011132271455286072
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,TEACHER,32.93876896662334,0.9480177935971904,0.09029051661491394,0.0005083035037744181
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,ORIGINAL,27.280723567021226,0.889225862008289,0.1531045138835907,0.0018703704967208325
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,ZERO_D,29.30550569071717,0.8976753691216395,0.18136849999427795,0.0011734090432676113
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,CONTROL_C,29.362140044637624,0.898519812289628,0.1656491458415985,0.0011582064936448355
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,TEACHER,32.83867606413192,0.9468669228929723,0.09232796728610992,0.0005201545401773419
