method,kind,video,frame,type,qp,target_available,delta,diagnostic,symbol_nonzero_fraction,residual_hat_l2,estimated_enhancement_symbol_bits,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_gain_vs_ZERO_D,ms_ssim_minus_ORIGINAL,lpips_gain_vs_ZERO_D,lpips_minus_ORIGINAL
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,3,False,,False,,0.0,0.0,16.619493583021196,0.7763619163033931,0.20215058326721191,1.186596825155302,0.0,0.0954886908697119,0.0,-0.07042735815048218,0.0
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,5,True,,False,,0.0,0.0,17.189000097883916,0.8339309957585591,0.18713831901550293,-1.191774487365631,0.0006192342320616717,0.04958573532776567,4.230352800393966e-06,-0.1906038522720337,2.0563602447509766e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,3,False,,False,,0.0,0.0,17.10290685536262,0.8364846035190716,0.18413427472114563,-1.2950191803830151,-0.0013321244311157443,0.04633342372654925,-2.1884463726196124e-05,-0.18855708837509155,-3.7997961044311523e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,4,False,,False,,0.0,0.0,17.109291358423462,0.836993964527931,0.18433544039726257,-1.3258848655418767,-0.0010713976576575135,0.04442434101163395,-5.39369450913707e-06,-0.1889464557170868,7.659196853637695e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,3,False,,False,,0.0,0.0,17.022943488228993,0.8356038710326551,0.18342415988445282,-1.2830543372846996,0.00011462398106942828,0.045421981279054946,6.235017265598941e-06,-0.19906027615070343,3.0249357223510742e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,4,False,,False,,0.0,0.0,17.12175938955118,0.836824912700083,0.18304896354675293,-1.3210541238573121,-0.0014747947127276007,0.04480729911883807,-8.09669956125525e-06,-0.18930760025978088,3.7550926208496094e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,3,False,,False,,0.0,0.0,17.07668269994543,0.8355666292374204,0.182967409491539,-1.2974220918826376,-0.0012323613708886683,0.04475015384829162,-1.3146596599677984e-05,-0.19264410436153412,-1.0833144187927246e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,4,False,,False,,0.0,0.0,17.129030193913565,0.834572009755069,0.1835867166519165,-1.3504640000709216,-0.0006075662846711793,0.044062296913677135,-6.071046008471193e-06,-0.18758520483970642,-3.3229589462280273e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,3,True,,False,,0.0,0.0,16.966351195425982,0.8307768334132439,0.1841556280851364,-1.2919046738876432,-0.0006361180323573024,0.04432147000665798,-2.378278023518199e-06,-0.20160521566867828,1.7061829566955566e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,5,False,,False,,0.0,0.0,17.08853210585671,0.8305595989989962,0.18653148412704468,-1.3685631106792684,-0.0005292273065045094,0.043313333177957936,-4.895214490652222e-06,-0.18504035472869873,2.6211142539978027e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,3,False,,False,,0.0,0.0,16.922802915149234,0.8263988794304046,0.18898546695709229,-1.3084446258457803,-7.88956208346292e-05,0.04417486233729073,-3.007933770726723e-06,-0.19279277324676514,8.657574653625488e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,4,False,,False,,0.0,0.0,17.00083758241452,0.8247811094395744,0.18956607580184937,-1.3420889678612618,-0.0017638980524026238,0.04412248941551433,-1.6866554218397667e-05,-0.18453460931777954,8.195638656616211e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,3,False,,False,,0.0,0.0,16.91234167158332,0.8250104331461777,0.18850365281105042,-1.2896634571999002,-0.0010210920914488497,0.04488604102442206,-1.6336091414825837e-05,-0.20270714163780212,1.3068318367004395e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,4,False,,False,,0.0,0.0,16.990658930668882,0.8238642404010169,0.19014404714107513,-1.3284136006510359,-0.002095296378524125,0.04449417570009806,-1.606983773716486e-05,-0.18969763815402985,5.289912223815918e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,3,False,,False,,0.0,0.0,16.910534489013596,0.8213578077080985,0.18994447588920593,-1.2355576305513587,-0.0008564066715166518,0.047251220825544116,-5.827689831483518e-06,-0.19684743881225586,-2.115964889526367e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,4,True,,False,,0.0,0.0,16.943716863954734,0.8189965199379889,0.19369426369667053,-1.2316332583552487,0.0004289915696134017,0.048061869025957105,3.167381853130813e-06,-0.1886172890663147,-1.6391277313232422e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,3,False,,False,,0.0,0.0,28.261021934283633,0.8958677526086586,0.13846755027770996,1.89728070635379,0.0,0.08082725614201447,0.0,-0.0888347327709198,0.0
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,5,True,,False,,0.0,0.0,29.079088532479673,0.9311586640330404,0.10421650856733322,-0.13570356713276865,-0.002190714753787404,0.036301145459943784,-7.314484673059951e-06,-0.0797601118683815,-2.6248395442962646e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,3,False,,False,,0.0,0.0,29.197869622203715,0.9317880322522462,0.1005394235253334,-0.24079590359370684,0.005085800677218089,0.03312016079906788,6.149940102839757e-06,-0.07376997917890549,-3.6679208278656006e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,4,False,,False,,0.0,0.0,29.393469912670046,0.933303877664276,0.09951227903366089,-0.19506555091956557,0.0003144415106142162,0.03184057294106579,1.6691640045696232e-06,-0.06654219329357147,-3.337860107421875e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,3,False,,False,,0.0,0.0,29.416441001569503,0.9336833128531735,0.09988667815923691,-0.12521051064263133,0.0027068605821547465,0.03249905414006804,8.270125961384878e-06,-0.07567434757947922,7.845461368560791e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,4,False,,False,,0.0,0.0,29.426259276581025,0.9356158178202377,0.09790828078985214,-0.314465590594029,0.0039578692560411355,0.030743271820961038,1.1011268054916812e-05,-0.07210523635149002,-2.744048833847046e-05
