method,kind,video,frame,type,qp,target_available,delta,diagnostic,symbol_nonzero_fraction,residual_hat_l2,estimated_enhancement_symbol_bits,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_gain_vs_ZERO_D,ms_ssim_minus_ORIGINAL,lpips_gain_vs_ZERO_D,lpips_minus_ORIGINAL
train2_ORIGINAL_q3,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,3,False,,False,,0.0,0.0,16.619493583021196,0.7763619163033931,0.20215058326721191,1.186596825155302,0.0,0.0954886908697119,0.0,-0.07042735815048218,0.0
train2_ORIGINAL_q3,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,5,True,,False,,0.0,0.0,17.188380863651854,0.8339267654057587,0.18713626265525818,-1.1923937215976927,0.0,0.049581504974965274,0.0,-0.19060590863227844,0.0
train2_ORIGINAL_q3,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,3,False,,False,,0.0,0.0,17.104238979793735,0.8365064879827978,0.18413807451725006,-1.2936870559518994,0.0,0.046355308190275446,0.0,-0.18855328857898712,0.0
train2_ORIGINAL_q3,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,4,False,,False,,0.0,0.0,17.11036275608112,0.8369993582224401,0.18432778120040894,-1.3248134678842192,0.0,0.04442973470614309,0.0,-0.18895411491394043,0.0
train2_ORIGINAL_q3,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,3,False,,False,,0.0,0.0,17.022828864247924,0.8355976360153895,0.18342113494873047,-1.283168961265769,0.0,0.04541574626178935,0.0,-0.19906330108642578,0.0
train2_ORIGINAL_q3,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,4,False,,False,,0.0,0.0,17.123234184263907,0.8368330093996442,0.18304520845413208,-1.3195793291445845,0.0,0.04481539581839933,0.0,-0.18931135535240173,0.0
train2_ORIGINAL_q3,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,3,False,,False,,0.0,0.0,17.077915061316318,0.8355797758340201,0.18297824263572693,-1.296189730511749,0.0,0.044763300444891296,0.0,-0.1926332712173462,0.0
train2_ORIGINAL_q3,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,4,False,,False,,0.0,0.0,17.129637760198236,0.8345780808010774,0.18361994624137878,-1.3498564337862504,0.0,0.044068367959685606,0.0,-0.18755197525024414,0.0
train2_ORIGINAL_q3,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,3,True,,False,,0.0,0.0,16.96698731345834,0.8307792116912674,0.18413856625556946,-1.2912685558552859,0.0,0.0443238482846815,0.0,-0.20162227749824524,0.0
train2_ORIGINAL_q3,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,5,False,,False,,0.0,0.0,17.089061333163215,0.8305644942134869,0.1865052729845047,-1.3680338833727639,0.0,0.04331822839244859,0.0,-0.1850665658712387,0.0
