method,kind,video,frame,type,qp,target_available,delta,diagnostic,symbol_nonzero_fraction,residual_hat_l2,estimated_enhancement_symbol_bits,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_gain_vs_ZERO_D,ms_ssim_minus_ORIGINAL,lpips_gain_vs_ZERO_D,lpips_minus_ORIGINAL
train2_full_CODED_l3,LEARNED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,False,9.042649269104004,False,,0.0,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941,0.0,0.0,0.0,0.0,0.0,0.0
train2_full_CODED_l3,LEARNED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,True,9.042649269104004,False,0.5328431129455566,32.77455520629883,10158.6669921875,18.904279739431175,0.8178872572377184,0.3121979236602783,0.5235051541816276,2.6292915788199274,0.033541996806924934,0.04165171043878657,-0.0655442476272583,0.0814385712146759
train2_full_CODED_l3,LEARNED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,True,9.042649269104004,False,0.5477941036224365,32.95882034301758,10358.767578125,18.87400831779102,0.8206039467668717,0.3095458745956421,0.47608228204538605,2.7005180717149564,0.030452766974349288,0.04106703270820078,-0.06314548850059509,0.08310243487358093
train2_full_CODED_l3,LEARNED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,True,9.042649269104004,False,0.5397058725357056,33.53354263305664,10421.974609375,18.916715028221667,0.8222054022363151,0.3106668293476105,0.4815388042563278,2.7116833256155495,0.029635778720018102,0.041349934436221925,-0.06261506676673889,0.08753624558448792
train2_full_CODED_l3,LEARNED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,True,9.042649269104004,False,0.5634803771972656,33.288639068603516,10572.4072265625,18.799487110251096,0.820394980512026,0.3189241886138916,0.4934892847374037,2.6865319359589215,0.03021309075842582,0.04236767417533227,-0.06356024742126465,0.09493666887283325
train2_full_CODED_l3,LEARNED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,True,9.042649269104004,False,0.5482842922210693,33.75057601928711,10556.2890625,18.963885407460424,0.8224856357212849,0.3093213737010956,0.5210718940519321,2.76630153597738,0.030468022140039963,0.04378800122863702,-0.06303519010543823,0.08690831065177917
train2_full_CODED_l3,LEARNED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,True,9.042649269104004,False,0.5561274290084839,33.631927490234375,10769.64453125,18.92588800873163,0.822366288772268,0.31247174739837646,0.5517832169035621,2.777049206367085,0.031549813383139225,0.0457361916256418,-0.06313976645469666,0.08874091506004333
train2_full_CODED_l3,LEARNED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,True,9.042649269104004,False,0.5514705777168274,33.9142951965332,10869.958984375,19.06511733607467,0.8227321675886844,0.308359831571579,0.585623142090185,2.867710206752214,0.03222245474729257,0.04746325424502773,-0.06281208992004395,0.08439792692661285
train2_full_CODED_l3,LEARNED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,True,9.042649269104004,False,0.5529412031173706,33.58966064453125,10807.302734375,18.84879478205433,0.8200491150690404,0.32299840450286865,0.5905389127407048,2.804903515345334,0.033593751662454485,0.04877141186020251,-0.06276243925094604,0.09550777077674866
train2_full_CODED_l3,LEARNED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,True,9.042649269104004,False,0.5558823347091675,34.03901290893555,10952.337890625,19.04061501407941,0.8194781835214365,0.3105311989784241,0.5835197975434312,2.8746994131528076,0.03223191770039824,0.04846278978103036,-0.061040639877319336,0.08267945051193237
train2_full_CODED_l3,LEARNED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,True,9.042649269104004,False,0.5561274290084839,33.714637756347656,10831.08984375,18.761079420692987,0.8137863273091538,0.3206433355808258,0.5298318796979729,2.751903671094638,0.031562310216039946,0.04722136056510029,-0.061134904623031616,0.08983686566352844
