method,kind,video,frame,type,qp,target_available,delta,diagnostic,symbol_nonzero_fraction,residual_hat_l2,estimated_enhancement_symbol_bits,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_gain_vs_ZERO_D,ms_ssim_minus_ORIGINAL,lpips_gain_vs_ZERO_D,lpips_minus_ORIGINAL
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,False,,True,,0.0,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941,0.0,0.0,0.0,0.0,0.0,0.0
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,True,,True,,32.46630859375,0.0,18.928176961736174,0.8189736284981967,0.31090542674064636,0.5474023764866267,2.6531888011249265,0.034628368067403215,0.04273808169926485,-0.06683674454689026,0.08014607429504395
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,True,,True,,32.616119384765625,0.0,18.899114450769883,0.82185456321964,0.30892863869667053,0.5011884150242487,2.725624204693819,0.03170338342711765,0.04231764916096914,-0.06376272439956665,0.08248519897460938
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,True,,True,,33.15401077270508,0.0,18.938469863616515,0.8234958470355815,0.31026631593704224,0.5032936396511758,2.7334381610103975,0.030926223519284535,0.04264037923548836,-0.06301558017730713,0.08713573217391968
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,True,,True,,32.857479095458984,0.0,18.821996694981046,0.8216858522664016,0.31831157207489014,0.515998869467353,2.7090415206888707,0.03150396251280141,0.04365854592970786,-0.06417286396026611,0.09432405233383179
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,True,,True,,33.327850341796875,0.0,18.98935128027412,0.8236632443710716,0.3086977005004883,0.5465377668656295,2.7917674087910775,0.03164563078982674,0.044965609878423796,-0.06365886330604553,0.08628463745117188
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,True,,True,,33.103458404541016,0.0,18.95419401357254,0.8234840301597309,0.3117419183254242,0.5800892217444726,2.8053552112079956,0.032667554770602125,0.0468539330131047,-0.06386959552764893,0.08801108598709106
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,True,,True,,33.42778778076172,0.0,19.091422601916225,0.8239615389771117,0.30704793334007263,0.6119284079317389,2.894015472593768,0.03345182613571984,0.048692625633455,-0.06412398815155029,0.0830860286951065
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,True,,True,,33.23992156982422,0.0,18.876227023432563,0.8213040009983267,0.3216656744480133,0.617971154118937,2.832335756723566,0.03484863759174073,0.05002629778948875,-0.06409516930580139,0.09417504072189331
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,True,,True,,33.59894561767578,0.0,19.06906095050112,0.8208107995593689,0.30880090594291687,0.6119657339651425,2.903145349574519,0.03356453373833057,0.04979540581896269,-0.06277093291282654,0.08094915747642517
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,True,,True,,33.36515808105469,0.0,18.788517976764837,0.8151243788263441,0.31980112195014954,0.5572704357698228,2.779342227166488,0.0329003617332303,0.04855941208229064,-0.061977118253707886,0.08899465203285217
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,1,True,,True,,33.3629035949707,0.0,18.9014640350801,0.8133183989694611,0.3128751814365387,0.5585374848043188,2.813435391929282,0.03265977894540106,0.04840749642140185,-0.06122550368309021,0.08399908244609833
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,0,True,,True,,32.898826599121094,0.0,18.705988777998915,0.8118009244531135,0.32901260256767273,0.5039836492156944,2.7141608496305842,0.03167653233135781,0.046852893058418554,-0.06219819188117981,0.0987844467163086
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,1,True,,True,,32.826805114746094,0.0,18.87555658945221,0.8118074985555391,0.3170124590396881,0.5564840581322912,2.820656032465056,0.03243743385462028,0.04858430691273441,-0.06282922625541687,0.08638161420822144
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,0,True,,True,,32.99958801269531,0.0,18.702332596288997,0.8072683892775393,0.32400086522102356,0.5562404767240423,2.7453838120418084,0.033161802394984896,0.048796607967263705,-0.06279104948043823,0.09054917097091675
train2_full_CONTINUOUS,CONTINUOUS,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,1,True,,True,,32.92854309082031,0.0,18.774481077792196,0.8052675428608941,0.3191385865211487,0.5991309554822131,2.7840721242153794,0.03433289194886224,0.04987445157373083,-0.06317296624183655,0.08535738289356232
train2_full_CONTINUOUS,CONTINUOUS,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,0,False,,True,,0.0,0.0,26.363741227929843,0.8150404964666441,0.22730228304862976,0.0,0.0,0.0,0.0,0.0,0.0
train2_full_CONTINUOUS,CONTINUOUS,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,2,True,,True,,20.922300338745117,0.0,30.201269669620135,0.9105388132128028,0.13684600591659546,0.9864775700076933,2.3085933504358245,0.015681294639706245,0.01551013471497642,-0.04713061451911926,-0.014676451683044434
train2_full_CONTINUOUS,CONTINUOUS,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,0,True,,True,,20.586896896362305,0.0,30.192862054286884,0.9119145630995762,0.12915591895580292,0.7541965284894623,2.3270078628696638,0.013246691646397912,0.015146004791265377,-0.045153483748435974,-0.01564858853816986
train2_full_CONTINUOUS,CONTINUOUS,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,1,True,,True,,20.77843475341797,0.0,30.19126015758208,0.912698877783126,0.12674480676651,0.6027246939924673,2.3396799022397055,0.011235573059915738,0.016030112698731003,-0.03930966556072235,-0.016389116644859314
train2_full_CONTINUOUS,CONTINUOUS,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,0,True,,True,,20.362524032592773,0.0,30.15323875020503,0.9130290630807311,0.13152547180652618,0.6115872379928966,2.2529080133122754,0.011844804367625583,0.015044069674181815,-0.04403555393218994,-0.009514302015304565
