method,kind,video,frame,type,qp,target_available,delta,diagnostic,symbol_nonzero_fraction,residual_hat_l2,estimated_enhancement_symbol_bits,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_gain_vs_ZERO_D,ms_ssim_minus_ORIGINAL,lpips_gain_vs_ZERO_D,lpips_minus_ORIGINAL
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,False,,False,,0.0,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941,0.0,0.0,0.0,0.0,0.0,0.0
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,True,,False,,0.0,0.0,18.433447429010993,0.783766235131746,0.36778345704078674,0.052672843761445876,2.1584592683997457,-0.0005790252990474087,0.007530688332814228,-0.009958714246749878,0.13702410459518433
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,True,,False,,0.0,0.0,18.510536989314602,0.7895078995783794,0.364210844039917,0.11261095356896789,2.3370467432385382,-0.0006432802141429494,0.009970985519708542,-0.00848051905632019,0.13776740431785583
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,True,,False,,0.0,0.0,18.536025181739177,0.7918422667018622,0.36429721117019653,0.10084895777383807,2.3309934791330598,-0.0007273568144348097,0.010986798901769013,-0.008984684944152832,0.14116662740707397
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,True,,False,,0.0,0.0,18.420153876193556,0.7894498042331679,0.3733166754245758,0.11415605067986334,2.307198701901381,-0.0007320855204322463,0.011422497896474204,-0.009167760610580444,0.14932915568351746
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,True,,False,,0.0,0.0,18.55666067775358,0.7911719603164276,0.3631811738014221,0.11384716434508846,2.3590768062705365,-0.0008456532648173365,0.01247432582377972,-0.009175390005111694,0.1407681107521057
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,True,,False,,0.0,0.0,18.49898345453886,0.7899859653022849,0.36718738079071045,0.12487866271079184,2.350144652174315,-0.000830510086843872,0.013355868155658701,-0.008424133062362671,0.14345654845237732
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,True,,False,,0.0,0.0,18.59845017122342,0.7895178552794847,0.362723171710968,0.11895597723893303,2.4010430419009623,-0.0009918575619071168,0.014248941935828041,-0.008448749780654907,0.1387612670660019
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,True,,False,,0.0,0.0,18.367944525943592,0.7855932395945736,0.3779688775539398,0.10968865662996663,2.3240532592345957,-0.0008621238120123387,0.014315536385735683,-0.007791966199874878,0.15047824382781982
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,True,,False,,0.0,0.0,18.573642748402435,0.7863822039044704,0.3633019030094147,0.1165475318664555,2.407727147475832,-0.0008640619165678487,0.01536681016406427,-0.008269935846328735,0.13545015454292297
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,True,,False,,0.0,0.0,18.33741781383755,0.7814553640456103,0.37408941984176636,0.10617027284253666,2.328242064239202,-0.0007686530475035092,0.014890397301556835,-0.0076888203620910645,0.143282949924469
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,1,True,,False,,0.0,0.0,18.452490598235176,0.7798846566782967,0.3654539883136749,0.10956404795939534,2.3644619550843586,-0.0007739633457634065,0.014973754130237382,-0.00864669680595398,0.13657788932323456
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,0,True,,False,,0.0,0.0,18.2873338819242,0.7788179315561155,0.3853663206100464,0.0853287531409812,2.295505953555871,-0.0013064605656402106,0.013869900161420534,-0.005844473838806152,0.15513816475868225
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,1,True,,False,,0.0,0.0,18.4312639036804,0.7779593493477561,0.3729265630245209,0.11219137236048127,2.376363346693246,-0.0014107153531627281,0.014736157704951403,-0.0069151222705841064,0.1422957181930542
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,0,True,,False,,0.0,0.0,18.240490788334508,0.7726347964838457,0.38038700819015503,0.0943986687695535,2.2835420040873196,-0.0014717903987087055,0.014163015173570104,-0.006404906511306763,0.14693531394004822
train2_full_CONTROL_C,CONTROL_C,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,1,True,,False,,0.0,0.0,18.278142112698564,0.7695017737219224,0.37488749623298645,0.10279199038858167,2.287733159121748,-0.0014328771901094273,0.014108682434759157,-0.007424056529998779,0.14110629260540009
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,0,False,,False,,0.0,0.0,26.363741227929843,0.8150404964666441,0.22730228304862976,0.0,0.0,0.0,0.0,0.0,0.0
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,2,True,,False,,0.0,0.0,29.28545061216623,0.8971886803137253,0.1679004728794098,0.07065851255378774,1.392774292981919,0.002331161740628751,0.0021600018158989265,-0.01607614755630493,0.016378015279769897
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,0,True,,False,,0.0,0.0,29.57970709381921,0.9003495724905349,0.15840640664100647,0.14104156802178736,1.7138529024019888,0.0016817010373566532,0.003581014182224118,-0.015902996063232422,0.013601899147033691
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,1,True,,False,,0.0,0.0,29.60829032292967,0.9028082581395833,0.1527167111635208,0.019754859340057607,1.7567100675872958,0.0013449534163730847,0.00613949305518835,-0.013337761163711548,0.00958278775215149
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,0,True,,False,,0.0,0.0,29.493267025733605,0.9028629499566786,0.1590089201927185,-0.048384486478529,1.5929362888408498,0.001678691243573116,0.004877956550129348,-0.01655210554599762,0.017969146370887756
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,1,True,,False,,0.0,0.0,29.657279102663857,0.9061758579249605,0.15572147071361542,-0.08344576451119678,1.7587168849150032,0.001303311925683781,0.0065337490747015,-0.014292046427726746,0.015200138092041016
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,0,True,,False,,0.0,0.0,29.738735061138456,0.9053847731388105,0.1575988382101059,0.030225250739647436,1.8570639625793959,0.0013762675384949574,0.006607633309787642,-0.014869406819343567,0.016652286052703857
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,1,True,,False,,0.0,0.0,29.8316637251478,0.908088161132028,0.15255475044250488,-0.05061092150783253,1.9814763646302573,0.0008598497400189586,0.008681906836185527,-0.01339489221572876,0.010058283805847168
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,0,True,,False,,0.0,0.0,29.534161960501457,0.9039479908022153,0.16333872079849243,-0.09208746940972645,1.8226639682247665,0.0008412238137349703,0.007813579761227096,-0.01652480661869049,0.017712071537971497
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,2,True,,False,,0.0,0.0,29.75784049442787,0.9074368536619399,0.15629491209983826,-0.09841246979533835,2.0423936457156167,0.0005153036998010174,0.009721893629468181,-0.01349562406539917,0.010570794343948364
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,0,True,,False,,0.0,0.0,29.556967255919204,0.903343251354872,0.16466781497001648,-0.04231810350125187,1.9241540054621638,0.0009247664508049702,0.00787808291637171,-0.016411885619163513,0.017076432704925537
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,1,True,,False,,0.0,0.0,29.554731111834922,0.9024419997806324,0.1635437160730362,-0.0038915767409939406,2.021211472227524,0.000864718260019437,0.008255370149545582,-0.01607470214366913,0.014905616641044617
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,0,True,,False,,0.0,0.0,29.646536702241395,0.9022687014718201,0.1626293659210205,0.10568079485146242,2.1357875289151593,0.0011051416336469444,0.00842989573754882,-0.015002146363258362,0.013848617672920227
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,1,True,,False,,0.0,0.0,29.611094862964258,0.9033863908718334,0.15945565700531006,-0.016963398349759018,2.1572237730612756,0.0006429220883451547,0.01032018330823048,-0.013752579689025879,0.008708536624908447
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,0,True,,False,,0.0,0.0,29.364147314652243,0.8993722218421675,0.16631145775318146,-0.019201522933123272,2.0225850727730226,0.0008822348942915115,0.009744389838284517,-0.016231954097747803,0.01331135630607605
train2_full_CONTROL_C,CONTROL_C,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,1,True,,False,,0.0,0.0,29.36213996824972,0.8985198160255169,0.16564911603927612,0.05663384749568934,2.0814163428011874,0.0008444426164659902,0.009293953344031936,-0.01571938395500183,0.012544617056846619
