method,kind,video,frame,type,qp,target_available,delta,diagnostic,symbol_nonzero_fraction,residual_hat_l2,estimated_enhancement_symbol_bits,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_gain_vs_ZERO_D,ms_ssim_minus_ORIGINAL,lpips_gain_vs_ZERO_D,lpips_minus_ORIGINAL
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,2,False,,False,,0.0,0.0,16.217256262347405,0.7435508754228355,0.2275725156068802,0.784359504481511,0.0,0.06267764998915426,0.0,-0.045005425810813904,0.0
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,4,True,,False,,0.0,0.0,16.953377666024537,0.817460237342369,0.19879356026649475,-1.4273969192250107,-0.000795490531505294,0.0331149769115755,-7.156930180385324e-06,-0.17894861102104187,-9.253621101379395e-06
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,2,True,,False,,0.0,0.0,16.862605311854836,0.8203812717451062,0.19716723263263702,-1.5353207238907984,-0.0008133033658950239,0.03023009195258386,-1.537719580557706e-06,-0.17552413046360016,1.615285873413086e-05
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,3,True,,False,,0.0,0.0,16.87718650971768,0.8212998713725606,0.19677597284317017,-1.5579897142476575,-0.00026790536862364434,0.028730247856263547,-1.6820195204436672e-06,-0.1765059232711792,4.351139068603516e-06
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,2,True,,False,,0.0,0.0,16.79410293844203,0.819807672436364,0.19568662345409393,-1.5118948870716622,-0.0013034514365912742,0.029625782682763835,-1.52789642683393e-05,-0.18679781258106232,-5.513429641723633e-07
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,3,True,,False,,0.0,0.0,16.877409252688807,0.8204815252682899,0.19493511319160461,-1.565404260719685,-0.0009987142282810169,0.028463911687044985,-1.3771931702599716e-05,-0.1774214506149292,9.581446647644043e-06
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,2,True,,False,,0.0,0.0,16.858094675479606,0.8195126422806046,0.19550004601478577,-1.5160101163484612,9.914852926939943e-05,0.028696166891475805,-5.041258150151329e-06,-0.18011146783828735,6.616115570068359e-06
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,3,True,,False,,0.0,0.0,16.887002354606516,0.8178502780545945,0.19539545476436615,-1.5924918393779706,-0.0016059435419109036,0.027340565213202717,-1.9779197378388957e-05,-0.17577646672725677,1.4528632164001465e-05
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,2,True,,False,,0.0,0.0,16.737543592776934,0.814157200101136,0.1977441906929016,-1.5207122765366918,-0.002180168799991833,0.027701836694550064,-2.3958981285154834e-05,-0.18801665306091309,1.7136335372924805e-06
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,4,True,,False,,0.0,0.0,16.84086360104301,0.8138313891619732,0.1991911381483078,-1.6162316154929677,-0.002202964529573137,0.02658512334093488,-1.9423104002269653e-05,-0.1723807007074356,6.765127182006836e-06
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,2,True,,False,,0.0,0.0,16.68868238278249,0.8096437881239513,0.20201750099658966,-1.5425651582125255,-0.0007708726895430118,0.02741977103083748,-1.062404419693852e-05,-0.17976073920726776,-5.97536563873291e-06
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,3,True,,False,,0.0,0.0,16.754305130369435,0.8077980928869485,0.20091453194618225,-1.588621419906346,-0.00217768537317653,0.027139472862888425,-2.0328975614436473e-05,-0.17318615317344666,9.611248970031738e-06
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,2,True,,False,,0.0,0.0,16.66555870784665,0.8079708413734926,0.20118695497512817,-1.5364464209365707,-5.193141172199489e-05,0.02784644925173696,-1.0281039995119201e-05,-0.19002383947372437,-2.987682819366455e-05
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,3,True,,False,,0.0,0.0,16.73333701426019,0.8068788104098145,0.2017689049243927,-1.585735517059728,-0.001095446693305746,0.02750874570889561,-1.9377437417533727e-05,-0.17807278037071228,-1.6182661056518555e-05
train2_full_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,2,True,,False,,0.0,0.0,16.661806189414502,0.8044672404714923,0.20218533277511597,-1.4842859301504525,-0.0006637872712893511,0.030360653588937914,-1.4405480138424132e-05,-0.18460658192634583,1.1816620826721191e-05
