method,kind,video,frame,type,qp,target_available,delta,diagnostic,symbol_nonzero_fraction,residual_hat_l2,estimated_enhancement_symbol_bits,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_gain_vs_ZERO_D,ms_ssim_minus_ORIGINAL,lpips_gain_vs_ZERO_D,lpips_minus_ORIGINAL
train2_full_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,2,False,,False,,0.0,0.0,16.217256262347405,0.7435508754228355,0.2275725156068802,0.784359504481511,0.0,0.06267764998915426,0.0,-0.045005425810813904,0.0
train2_full_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,4,True,,False,,0.0,0.0,16.954173156556042,0.8174673942725493,0.19880281388759613,-1.4266014286935054,0.0,0.033122133841755885,0.0,-0.1789393573999405,0.0
train2_full_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,2,True,,False,,0.0,0.0,16.86341861522073,0.8203828094646868,0.1971510797739029,-1.5345074205249034,0.0,0.030231629672164417,0.0,-0.1755402833223343,0.0
train2_full_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,3,True,,False,,0.0,0.0,16.877454415086305,0.821301553392081,0.19677162170410156,-1.5577218088790339,0.0,0.02873192987578399,0.0,-0.1765102744102478,0.0
train2_full_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,2,True,,False,,0.0,0.0,16.79540638987862,0.8198229514006323,0.1956871747970581,-1.510591435635071,0.0,0.029641061647032174,0.0,-0.18679726123809814,0.0
train2_full_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,3,True,,False,,0.0,0.0,16.878407966917088,0.8204952971999925,0.19492553174495697,-1.564405546491404,0.0,0.028477683618747585,0.0,-0.17743103206157684,0.0
train2_full_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,2,True,,False,,0.0,0.0,16.857995526950337,0.8195176835387548,0.1954934298992157,-1.5161092648777306,0.0,0.028701208149625956,0.0,-0.18011808395385742,0.0
train2_full_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,3,True,,False,,0.0,0.0,16.888608298148426,0.8178700572519729,0.19538092613220215,-1.5908858958360597,0.0,0.027360344410581106,0.0,-0.17579099535942078,0.0
train2_full_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,2,True,,False,,0.0,0.0,16.739723761576926,0.8141811590824212,0.19774247705936432,-1.5185321077367,0.0,0.02772579567583522,0.0,-0.18801836669445038,0.0
train2_full_ORIGINAL_q2,ORIGINAL,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,4,True,,False,,0.0,0.0,16.843066565572585,0.8138508122659754,0.1991843730211258,-1.6140286509633945,0.0,0.02660454644493715,0.0,-0.17238746583461761,0.0
