method,kind,video,frame,type,qp,target_available,delta,diagnostic,symbol_nonzero_fraction,residual_hat_l2,estimated_enhancement_symbol_bits,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_gain_vs_ZERO_D,ms_ssim_minus_ORIGINAL,lpips_gain_vs_ZERO_D,lpips_minus_ORIGINAL
train2_full_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,False,4.521324634552002,True,,0.0,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941,0.0,0.0,0.0,0.0,0.0,0.0
train2_full_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,True,4.521324634552002,True,0.6240196228027344,26.909448623657227,8295.517578125,18.323868684145722,0.7960232822325354,0.3230590224266052,-0.056905901103824874,2.048880523534475,0.011678021801741933,0.01978773543360357,-0.054683148860931396,0.09229966998100281
train2_full_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,True,4.521324634552002,True,0.5906862616539001,26.695459365844727,8205.666015625,18.345894019129865,0.8018860600058891,0.32014191150665283,-0.05203201661576884,2.1724037730538015,0.011734880213366772,0.022349145947218263,-0.05254945158958435,0.09369847178459167
train2_full_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,True,4.521324634552002,True,0.5970588326454163,27.112741470336914,8235.1533203125,18.39923391690003,0.803351351865813,0.322792649269104,-0.035942307065308654,2.194202214293913,0.010781728349515962,0.022495884065719784,-0.05048924684524536,0.09966206550598145
train2_full_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,True,4.521324634552002,True,0.591176450252533,26.534637451171875,8088.673828125,18.267235715248823,0.8008289698420987,0.33114078640937805,-0.03876211026486942,2.1542805409566483,0.010647080088498573,0.022801663505405023,-0.0513436496257782,0.1071532666683197
train2_full_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,True,4.521324634552002,True,0.5928921699523926,26.92855453491211,8036.6630859375,18.406908223920794,0.8023052932126462,0.32268843054771423,-0.035905289487697445,2.2093243524377506,0.010287679631401314,0.02360765871999837,-0.04966813325881958,0.10027536749839783
train2_full_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,True,4.521324634552002,True,0.5953431129455566,26.624305725097656,8123.9453125,18.34267692309353,0.8009504875540626,0.3255941569805145,-0.031427868734535735,2.193838120728987,0.010134012164933814,0.024320390407436387,-0.050017356872558594,0.1018633246421814
train2_full_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,True,4.521324634552002,True,0.6071078181266785,26.955087661743164,8167.54736328125,18.439680889202336,0.8002579244713887,0.32162660360336304,-0.03981330478215028,2.242273759879879,0.009748211629996839,0.024989011127731997,-0.04954531788825989,0.09766469895839691
train2_full_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,True,4.521324634552002,True,0.6223039031028748,26.719257354736328,8113.2314453125,18.211710276822544,0.7964306136678626,0.3360651135444641,-0.04654559249108203,2.167819010113547,0.009975250261276658,0.02515291045902468,-0.049695730209350586,0.10857447981834412
train2_full_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,True,4.521324634552002,True,0.6098039150238037,26.991037368774414,8253.90234375,18.412218423584626,0.7965397975114499,0.32298123836517334,-0.04487679295135294,2.2463028226580235,0.009293531690411583,0.025524403771043702,-0.04859060049057007,0.09512948989868164
