sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,B6_lambda0,ZERO_START,0,0.0,False,physical prequantizer u,0.0,0.0,0.0,1.0285831657800515e-05,0.0,0.0,0.36430929601192474,,0.014518528168263446,18.380774084844518,0.7843452553097912,0.3777421712875366,0.014896270339550982,0.014896270339550982,0.0,0.0,0.0,-0.5474024993127102,-0.03462836908027034,0.06683674454689026,-0.5235052816922767,-0.03354199798344426,0.0655442476272583,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,B6_lambda0,ZERO_START,25,0.0,False,physical prequantizer u,119.0573340547382,1.8639148654229065,22.53106668196149,3.762381592986979e-06,0.0,0.0,6.939927846193314,,0.013967440434475816,18.54883172055403,0.7924489340584607,0.3694040775299072,0.014336844512005724,0.014336844512005724,0.1680576357095127,0.008103678748669574,-0.008338093757629395,-0.3793448636031975,-0.026524690331600764,0.058498650789260864,-0.355447645982764,-0.025438319234774687,0.057206153869628906,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,B6_lambda0,ZERO_START,50,0.0,False,physical prequantizer u,208.16485757597067,3.258947259108834,25.616786959603804,2.9785510198446236e-06,0.0,0.0,13.539896160364151,,0.013684569647881143,18.63768855724758,0.798099694193953,0.36073267459869385,0.014045302322479837,0.014045302322479837,0.25691447240306076,0.013754438884161835,-0.017009496688842773,-0.2904880269096495,-0.020873930196108503,0.049827247858047485,-0.26659080928921597,-0.019787559099282426,0.04853475093841553,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,B6_lambda0,ZERO_START,100,0.0,False,physical prequantizer u,361.94744423809504,5.66650704195207,30.323136381506277,2.2299400064582987e-06,0.0,0.0,25.12995497137308,,0.013276662084345133,18.769110982031766,0.8060898000218923,0.3501983880996704,0.013626860472444803,0.013626860472444803,0.38833689718724784,0.021744544712101188,-0.02754378318786621,-0.1590656021254624,-0.01288382436816915,0.03929296135902405,-0.13516838450502888,-0.011797453271343072,0.03800046443939209,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,Train2,B6_lambda0,ZERO_START,150,0.0,False,physical prequantizer u,483.20871428278457,7.564925863697583,33.28449273348778,1.6484219302500663e-06,0.0,0.0,36.733972422778606,,0.013013491911847072,18.85606153510317,0.8111488539406898,0.34279847145080566,0.013356290383297878,0.013356290383297878,0.4752874502586515,0.02680359863089865,-0.03494369983673096,-0.07211504905405874,-0.007824770449371687,0.0318930447101593,-0.048217831433625236,-0.00673839935254561,0.030600547790527344,True,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,B6_lambda0,ZERO_START,0,0.0,False,physical prequantizer u,0.0,0.0,0.0,1.2807283173664948e-05,0.0,0.0,0.43712086230516434,,0.014933942283403598,18.258255314628165,0.7864553587050874,0.3857608735561371,0.015319703156959736,0.015319703156959736,0.0,0.0,0.0,-0.6179713148808368,-0.034848638577891444,0.06409516930580139,-0.5905390812764644,-0.03359375277454313,0.06276246905326843,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,B6_lambda0,ZERO_START,25,0.0,False,physical prequantizer u,112.6633192446206,1.7638126806315602,23.44852393649109,4.180911384132926e-06,0.0,0.0,7.115335926413536,,0.014353003422230637,18.430572115975963,0.7912134376633814,0.38933491706848145,0.014742338339299119,0.014742338339299119,0.17231680134779737,0.004758078958293943,0.0035740435123443604,-0.4456545135330394,-0.0300905596195975,0.06766921281814575,-0.418222279928667,-0.028835673816249185,0.06633651256561279,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,B6_lambda0,ZERO_START,50,0.0,False,physical prequantizer u,199.77996203364052,3.1276766274383654,26.321908368380896,3.270511374053489e-06,0.0,0.0,13.840225003659725,,0.014057844733280164,18.520812577082562,0.7968572701570199,0.3794969916343689,0.014437341724914532,0.014437341724914532,0.26255726245439703,0.010401911451932477,-0.0062638819217681885,-0.35541405242643975,-0.024446727125958967,0.0578312873840332,-0.32798181882206734,-0.02319184132261065,0.056498587131500244,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,B6_lambda0,ZERO_START,100,0.0,False,physical prequantizer u,352.1885457082841,5.513725559111999,30.364371818885946,2.4016106488401704e-06,0.0,0.0,25.379085823893547,,0.013622754889129854,18.65735057462614,0.8050389815817033,0.3671807646751404,0.013989935653804995,0.013989935653804995,0.39909525999797424,0.018583622876615857,-0.018580108880996704,-0.21887605488286255,-0.016265015701275587,0.04551506042480469,-0.19144382127849013,-0.015010129897927271,0.04418236017227173,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,Train2,B6_lambda0,ZERO_START,150,0.0,False,physical prequantizer u,473.89082539440335,7.419048654609164,32.948392616015276,1.8421412488278365e-06,0.0,0.0,36.88606409728527,,0.013341994219550641,18.747792518424674,0.8100499733546562,0.35953211784362793,0.013701526337394269,0.013701526337394269,0.4895372037965089,0.0235946146495688,-0.026228755712509155,-0.1284341110843279,-0.011254023928322643,0.037866413593292236,-0.10100187747995548,-0.009999138124974327,0.03653371334075928,True,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,B6_lambda0,ZERO_START,0,0.0,False,physical prequantizer u,0.0,0.0,0.0,1.4940241411094644e-05,0.0,0.0,0.452576644718647,,0.01522176602678956,18.175349578679636,0.7709346461417427,0.38231155276298523,0.015604077579552544,0.015604077579552544,0.0,0.0,0.0,-0.5991311173577394,-0.034332893120329055,0.06317293643951416,-0.5780394240085727,-0.03326684636621435,0.06229326128959656,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,B6_lambda0,ZERO_START,25,0.0,False,physical prequantizer u,110.058457984423,1.7230319957305,25.27842898729313,4.336836216981943e-06,0.0,0.0,7.033393986523151,,0.014593103510094501,18.35852337032088,0.7748450989722354,0.39130085706710815,0.01498440436716161,0.01498440436716161,0.18317379164124503,0.003910452830492739,0.008989304304122925,-0.41595732571649435,-0.030422440289836317,0.07216224074363708,-0.39486563236732763,-0.029356393535721614,0.07128256559371948,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,B6_lambda0,ZERO_START,50,0.0,False,physical prequantizer u,194.48386620936316,3.0447630311114375,27.824090421938525,3.338488282355419e-06,0.0,0.0,13.617084048688412,,0.014303056531561269,18.445711448464223,0.7799147822489804,0.3820676803588867,0.014685124211920156,0.014685124211920156,0.2703618697845869,0.00898013610723769,-0.00024387240409851074,-0.3287692475731525,-0.025352757013091365,0.06292906403541565,-0.3076775542239858,-0.024286710258976663,0.06204938888549805,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,B6_lambda0,ZERO_START,100,0.0,False,physical prequantizer u,345.29160274948043,5.405749728736211,31.998477225899965,2.3980434947081066e-06,0.0,0.0,25.20923186838627,,0.013879814119616444,18.576163499737735,0.7880356056383175,0.36978286504745483,0.014249596984663899,0.014249596984663899,0.40081392105809854,0.017100959496574863,-0.012528687715530396,-0.19831719629964084,-0.017231933623754192,0.050644248723983765,-0.17722550295047412,-0.01616588686963949,0.04976457357406616,False,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,network_train6,Train2,B6_lambda0,ZERO_START,150,0.0,False,physical prequantizer u,468.9506616233317,7.341707390724568,34.33521036230368,1.915261703501945e-06,0.0,0.0,36.72055169194937,,0.013588399465558057,18.668316944236224,0.7934480599372766,0.3623729348182678,0.013950772400376324,0.013950772400376324,0.4929673655565878,0.022513413795533954,-0.019938617944717407,-0.10616375180115156,-0.011819479324795101,0.04323431849479675,-0.08507205845198484,-0.010753432570680399,0.04235464334487915,True,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,network_train6,Train2,B6_lambda0,ZERO_START,0,0.0,False,physical prequantizer u,0.0,0.0,0.0,8.01560914333263e-06,0.0,0.0,0.44805020838975906,,0.0011981765550642131,29.214791825806202,0.8948575140545686,0.18397662043571472,0.0013821531754999279,0.0013821531754999279,0.0,0.0,0.0,-0.9864776219152809,-0.015681296389797206,0.04713061451911926,-0.9023165740777088,-0.014307790258944353,0.044121161103248596,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,network_train6,Train2,B6_lambda0,ZERO_START,25,0.0,False,physical prequantizer u,97.50413145001147,1.5264863898789165,19.825697101410906,1.24372941450967e-06,0.0,0.0,7.140798851847649,,0.0010170027338189398,29.926778796427577,0.9038971875334294,0.1562618911266327,0.0011732646249455725,0.0011732646249455725,0.7119869706213748,0.00903967347886081,-0.02771472930908203,-0.27449065129390604,-0.0066416229109363956,0.01941588521003723,-0.19032960345633398,-0.005268116780083543,0.016406431794166565,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,network_train6,Train2,B6_lambda0,ZERO_START,50,0.0,False,physical prequantizer u,146.80518170220077,2.298324270977181,21.103594537492814,6.82056118751429e-07,0.0,0.0,13.820368304848671,,0.0009759184014439161,30.105864930752254,0.9065183748374247,0.15003448724746704,0.001125952888691383,0.001125952888691383,0.8910731049460523,0.011660860782856108,-0.03394213318824768,-0.09540451696922858,-0.004020435606941097,0.013188481330871582,-0.011243469131656525,-0.0026469294760882445,0.010179027915000916,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,network_train6,Train2,B6_lambda0,ZERO_START,100,0.0,False,physical prequantizer u,218.96901061108426,3.4280928359885703,22.437825351152465,4.102255287680453e-07,0.0,0.0,25.49524077028036,,0.0009374300674676089,30.28061120875709,0.9092425626771355,0.1447601020336151,0.001082190169501224,0.001082190169501224,1.0658193829508882,0.014385048622566954,-0.03921651840209961,0.0793417610356073,-0.001296247767230252,0.007914096117019653,0.16350280887317936,7.725836362260097e-05,0.004904642701148987,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,c227e33d-910e-4e39-a325-0fe1d1116436,1,network_train6,Train2,B6_lambda0,ZERO_START,150,0.0,False,physical prequantizer u,274.57596586356465,4.298653489298274,23.368909171911394,2.990697011872702e-07,0.0,0.0,37.18039081245661,,0.0009164954013694645,30.378697098232884,0.9106619818829258,0.14248034358024597,0.0010589757449497104,0.0010589757449497104,1.1639052724266818,0.015804467828357205,-0.04149627685546875,0.17742765051140097,0.00012317143855999912,0.005634337663650513,0.261588698348973,0.001496677569412852,0.002624884247779846,True,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,network_train6,Train2,B6_lambda0,ZERO_START,0,0.0,False,physical prequantizer u,0.0,0.0,0.0,5.320417213042593e-06,0.0,0.0,0.43860189616680145,,0.0010898709980745817,29.62624904022592,0.9031067629130028,0.17986352741718292,0.0012697345254917647,0.0012697345254917647,0.0,0.0,0.0,-0.7117764649071923,-0.012341437464498006,0.04498998820781708,-0.6351696814237435,-0.011333583115728185,0.04362154006958008,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,network_train6,Train2,B6_lambda0,ZERO_START,25,0.0,False,physical prequantizer u,89.02192611798331,1.3936923143567164,16.10721826560614,1.0414313152185592e-06,0.0,0.0,7.202138893306255,,0.0009705158101106288,30.129973853782698,0.9099274006942616,0.1572565734386444,0.0011277723835492733,0.0011277723835492733,0.5037248135567758,0.006820637781258743,-0.022606953978538513,-0.20805165135041648,-0.005520799683239264,0.022383034229278564,-0.13144486786696774,-0.004512945334469443,0.021014586091041565,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,network_train6,Train2,B6_lambda0,ZERO_START,50,0.0,False,physical prequantizer u,137.35207244887062,2.1503301049592523,18.044365306746112,5.797858071084275e-07,0.0,0.0,13.900890275835991,,0.0009363919769900078,30.28542315996232,0.9120615117967766,0.1516885757446289,0.0010880805527346367,0.0010880805527346367,0.6591741197363987,0.008954748883773789,-0.028174951672554016,-0.05260234517079354,-0.0033866885807242175,0.01681503653526306,0.024004438312655196,-0.0023788342319543965,0.015446588397026062,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,network_train6,Train2,B6_lambda0,ZERO_START,100,0.0,False,physical prequantizer u,212.57861971056352,3.3280473857026807,20.12984875094387,3.543995659983562e-07,0.0,0.0,25.58956816792488,,0.000902975748281087,30.443239136168778,0.9141456296195072,0.14653562009334564,0.0010495113683744327,0.0010495113683744327,0.816990095942856,0.011038866706504336,-0.03332790732383728,0.10521363103566372,-0.0013025707579936707,0.011662080883979797,0.18182041451911246,-0.0002947164092238497,0.010293632745742798,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,c227e33d-910e-4e39-a325-0fe1d1116436,8,network_train6,Train2,B6_lambda0,ZERO_START,150,0.0,False,physical prequantizer u,272.15023871280914,4.260677257664577,21.62551142046449,2.7295519987596614e-07,0.0,0.0,37.261449716985226,,0.0008838085279788514,30.5364181219182,0.9154100165378999,0.143396258354187,0.0010272047863330385,0.0010272047863330385,0.9101690816922776,0.012303253624897037,-0.03646726906299591,0.19839261678508535,-3.818383960096927e-05,0.008522719144821167,0.2749994002685341,0.0009696705091688518,0.0071542710065841675,True,True
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,network_train6,Train2,B6_lambda0,ZERO_START,0,0.0,False,physical prequantizer u,0.0,0.0,0.0,4.932512664082444e-06,0.0,0.0,0.46475623548030853,,0.0011734090432676113,29.30550569071717,0.8976753691216395,0.18136849999427795,0.0013547775432618892,0.0013547775432618892,0.0,0.0,0.0,-0.8283428117357623,-0.01384425138451828,0.04506118595600128,-0.7588673684382954,-0.012759738983483149,0.04375253617763519,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,network_train6,Train2,B6_lambda0,ZERO_START,25,0.0,False,physical prequantizer u,91.7113014055755,1.4357961176800746,18.248131313375914,1.0362668270719645e-06,0.0,0.0,7.167934685945511,,0.001025794264771903,29.889397334091594,0.9048503555693902,0.16254258155822754,0.0011883368463301304,0.0011883368463301304,0.5838916433744252,0.00717498644775072,-0.018825918436050415,-0.24445116836133707,-0.0066692649367675605,0.026235267519950867,-0.17497572506387016,-0.005584752535732429,0.024926617741584778,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,network_train6,Train2,B6_lambda0,ZERO_START,50,0.0,False,physical prequantizer u,142.81286040581324,2.2358220566368203,19.722445036146052,6.669340794973409e-07,0.0,0.0,13.88700184226036,,0.0009864813896270721,30.05911103476673,0.9074678775467895,0.1561892330646515,0.0011426706226917236,0.0011426706226917236,0.7536053440495607,0.009792508425150004,-0.025179266929626465,-0.0747374676862016,-0.004051742959368276,0.019881919026374817,-0.005262024388734687,-0.002967230558333145,0.018573269248008728,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,network_train6,Train2,B6_lambda0,ZERO_START,100,0.0,False,physical prequantizer u,221.89736893601778,3.47393806389044,21.80757281364902,4.124565150042999e-07,0.0,0.0,25.552371717989445,,0.0009470129052373435,30.236441026913646,0.9101701204136442,0.15013891458511353,0.001097151819822457,0.001097151819822457,0.9309353361964767,0.012494751292004724,-0.03122958540916443,0.10259252446071443,-0.0013495000925135558,0.013831600546836853,0.17206796775818134,-0.0002649876914784244,0.012522950768470764,False,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,c227e33d-910e-4e39-a325-0fe1d1116436,15,network_train6,Train2,B6_lambda0,ZERO_START,150,0.0,False,physical prequantizer u,283.4137998956437,4.437015148084948,23.270287311817302,3.114565912558938e-07,0.0,0.0,37.34787879139185,,0.0009244275470235586,30.34127121455507,0.9116271433349538,0.14715269207954407,0.0010715802391031027,0.0010715802391031027,1.0357655238379024,0.013951774213314283,-0.03421580791473389,0.20742271210214014,0.00010752282879600283,0.010845378041267395,0.27689815539960705,0.0011920352298311343,0.009536728262901306,True,True
