method,split,scope,frames,lambda,base_bits,enhancement_bits,base_kbps,enhancement_kbps,total_kbps,enhancement_fraction,diagnostic,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
A_Train2_selected,Train2,P,30.0,,197744.0,,185.29235382308846,,,,True,24.838663591726412,0.8695297309257064,0.22489156077305475,0.006885889157900855,0.8866085420931108,0.026260051883407517,-0.05217991868654887,0.2644192062839147,0.0038472531265197228,0.0010381221771240234,0.31218266274378326,0.004968083137169991,-0.00021157711744308473,2.9409156890958035,0.03637662040471703,0.03771751125653585
A_Train2_selected,Train2,IP,32.0,,197744.0,,185.29235382308846,,,,True,24.59239204884509,0.8619314264050959,0.22645709523931146,0.007437790996164244,0.8311955082122914,0.024618798640694547,-0.048918673768639565,0.24789300589117003,0.0036067998061122403,0.000973239541053772,0.2926712463222968,0.004657577941096867,-0.00019835354760289192,2.7571084585273153,0.034103081629422216,0.03536016680300236
A_Train2_step150,Train2,P,30.0,,197744.0,,185.29235382308846,,,,True,24.838663591726412,0.8695297309257064,0.22489156077305475,0.006885889157900855,0.8866085420931108,0.026260051883407517,-0.05217991868654887,0.2644192062839147,0.0038472531265197228,0.0010381221771240234,0.31218266274378326,0.004968083137169991,-0.00021157711744308473,2.9409156890958035,0.03637662040471703,0.03771751125653585
A_Train2_step150,Train2,IP,32.0,,197744.0,,185.29235382308846,,,,True,24.59239204884509,0.8619314264050959,0.22645709523931146,0.007437790996164244,0.8311955082122914,0.024618798640694547,-0.048918673768639565,0.24789300589117003,0.0036067998061122403,0.000973239541053772,0.2926712463222968,0.004657577941096867,-0.00019835354760289192,2.7571084585273153,0.034103081629422216,0.03536016680300236
A_Val6_selected,Val6,P,90.0,,470832.0,,142.3887814459584,,,,True,27.958992705334854,0.8223668714714015,0.28244759630825783,0.0037451581723146913,1.3520682891207108,0.008094983774150567,-0.027195094774166744,1.1335082902748495,0.004208055359583698,0.004515732866194513,1.108694534140337,0.004616005934031033,0.0034881502389907835,4.268419577865135,0.028395209127303832,0.047516553103923796
A_Val6_selected,Val6,IP,96.0,,470832.0,,142.3887814459584,,,,True,27.71792130153239,0.8179830649166909,0.2804877165860186,0.00393605157935688,1.2675640210506665,0.0075890472882661555,-0.02549540135078132,1.0626640221326713,0.003945051899609717,0.004233499562057356,1.0394011257565658,0.004327505563154093,0.0032701408490538597,4.001643354248564,0.026620508556847344,0.04454676853492856
A_Val6_step150,Val6,P,90.0,,470832.0,,142.3887814459584,,,,True,27.958992705334854,0.8223668714714015,0.28244759630825783,0.0037451581723146913,1.3520682891207108,0.008094983774150567,-0.027195094774166744,1.1335082902748495,0.004208055359583698,0.004515732866194513,1.108694534140337,0.004616005934031033,0.0034881502389907835,4.268419577865135,0.028395209127303832,0.047516553103923796
A_Val6_step150,Val6,IP,96.0,,470832.0,,142.3887814459584,,,,True,27.71792130153239,0.8179830649166909,0.2804877165860186,0.00393605157935688,1.2675640210506665,0.0075890472882661555,-0.02549540135078132,1.0626640221326713,0.003945051899609717,0.004233499562057356,1.0394011257565658,0.004327505563154093,0.0032701408490538597,4.001643354248564,0.026620508556847344,0.04454676853492856
B_Train2_ZERO_NO_STREAM,Train2,P,30.0,,197744.0,0.0,185.29235382308846,0.0,185.29235382308846,0.0,False,23.952055049633305,0.8432696790422988,0.27707147945960364,0.008175967959190206,0.0,0.0,0.0,-0.6221893358091961,-0.022412798756887793,0.05321804086367289,-0.5744258793493275,-0.021291968746237525,0.051968341569105785,2.0543071470026923,0.010116568521309518,0.08989742994308472
B_Train2_ZERO_NO_STREAM,Train2,IP,32.0,,197744.0,0.0,185.29235382308846,0.0,185.29235382308846,0.0,False,23.7611965406328,0.8373126277644014,0.275375769007951,0.00864723987237301,0.0,0.0,0.0,-0.5833025023211214,-0.021011998834582307,0.049891913309693336,-0.5385242618899946,-0.01996122069959768,0.04872032022103667,1.925912950315024,0.009484282988727673,0.08427884057164192
B_Train2_lambda1,Train2,P,30.0,0.011790604283044334,197744.0,169592.0,185.29235382308846,158.9130434782609,344.2053973013493,0.8576341127922971,False,24.434411261981964,0.8539314364168727,0.2528428549567858,0.007642791851259892,0.4823562123486588,0.010661757374573847,-0.024228624502817788,-0.13983312346053733,-0.011751041382313946,0.028989416360855103,-0.09206966700066879,-0.010630211371663678,0.027739717066287993,2.5366633593513512,0.020778325895883364,0.06566880544026693
B_Train2_lambda1,Train2,IP,32.0,0.011790604283044334,197744.0,169592.0,185.29235382308846,158.9130434782609,344.2053973013493,0.8576341127922971,False,24.213405489709665,0.8473080253030645,0.25266143353655934,0.00814738727118834,0.4522089490768676,0.009995397538662982,-0.022714335471391678,-0.13109355324425376,-0.011016601295919325,0.02717757783830166,-0.08631531281312699,-0.009965823160934698,0.026005984749644995,2.378121899391892,0.019479680527390655,0.061564505100250244
B_Train2_lambda1_WRONG,Train2,P,30.0,0.011790604283044334,197744.0,,185.29235382308846,,,,True,23.80821470882713,0.8462285873570363,0.2529766251643499,0.008261254251647589,-0.14384034080617844,0.002958908314737596,-0.024094854295253754,-0.7660296766153746,-0.019453890442150196,0.029123186568419137,-0.718266220155506,-0.018333060431499928,0.02787348727385203,1.9104668061965138,0.013075476836047114,0.06580257564783096
B_Train2_lambda1_WRONG,Train2,IP,32.0,0.011790604283044334,197744.0,,185.29235382308846,,,,True,23.626346221127008,0.8400866043094679,0.2527868431061506,0.008727195771551807,-0.1348503195057923,0.0027739765450664963,-0.022588925901800394,-0.7181528218269136,-0.01823802228951581,0.027302987407892942,-0.6733745813957869,-0.017187244154531184,0.02613139431923628,1.7910626308092317,0.012258259533794169,0.06168991466984153
B_Train2_lambda1_ZERO,Train2,P,30.0,0.011790604283044334,197744.0,,185.29235382308846,,,,True,23.952055049633305,0.8432696790422988,0.27707147945960364,0.008175967959190206,0.0,0.0,0.0,-0.6221893358091961,-0.022412798756887793,0.05321804086367289,-0.5744258793493275,-0.021291968746237525,0.051968341569105785,2.0543071470026923,0.010116568521309518,0.08989742994308472
B_Train2_lambda1_ZERO,Train2,IP,32.0,0.011790604283044334,197744.0,,185.29235382308846,,,,True,23.7611965406328,0.8373126277644014,0.275375769007951,0.00864723987237301,0.0,0.0,0.0,-0.5833025023211214,-0.021011998834582307,0.049891913309693336,-0.5385242618899946,-0.01996122069959768,0.04872032022103667,1.925912950315024,0.009484282988727673,0.08427884057164192
B_Train2_lambda3,Train2,P,30.0,0.18864966852870935,197744.0,69248.0,185.29235382308846,64.88755622188906,250.17991004497753,0.3501901448337244,False,24.06887019193015,0.84800858732582,0.27341764817635217,0.00778759049164986,0.11681514229684045,0.0047389082835212855,-0.0036538312832514446,-0.5053741935123557,-0.017673890473366507,0.049564209580421445,-0.4576107370524871,-0.01655306046271624,0.04831451028585434,2.1711222892995323,0.014855476804830802,0.08624359865983328
B_Train2_lambda3,Train2,IP,32.0,0.18864966852870935,197744.0,69248.0,185.29235382308846,64.88755622188906,250.17991004497753,0.3501901448337244,False,23.870710736536086,0.8417553542802025,0.2719503021799028,0.008283135996553935,0.10951419590328793,0.004442726515801205,-0.0034254668280482292,-0.4737883064178334,-0.0165692723187811,0.04646644648164511,-0.42901006598670666,-0.015518494183796475,0.04529485339298844,2.035427146218312,0.013927009504528878,0.08085337374359369
B_Train2_lambda3_WRONG,Train2,P,30.0,0.18864966852870935,197744.0,,185.29235382308846,,,,True,23.853361850602187,0.8423459238513028,0.2761979108055433,0.008200792694181438,-0.09869319903111914,-0.0009237551909960562,-0.0008735686540603637,-0.7208825348403153,-0.02333655394788385,0.05234447220961253,-0.6731190783804467,-0.022215723937233582,0.05109477291504542,1.9556139479715733,0.009192813330313462,0.08902386128902436
B_Train2_lambda3_WRONG,Train2,IP,32.0,0.18864966852870935,197744.0,,185.29235382308846,,,,True,23.668671666541123,0.8364466072728425,0.27455679839476943,0.008670513061427292,-0.0925248740916742,-0.0008660204915588027,-0.000818970613181591,-0.6758273764127956,-0.02187801932614111,0.049072942696511745,-0.6310491359816688,-0.020827241191156483,0.04790134960785508,1.8333880762233499,0.00861826249716887,0.08345986995846033
B_Train2_lambda3_ZERO,Train2,P,30.0,0.18864966852870935,197744.0,,185.29235382308846,,,,True,23.952055049633305,0.8432696790422988,0.27707147945960364,0.008175967959190206,0.0,0.0,0.0,-0.6221893358091961,-0.022412798756887793,0.05321804086367289,-0.5744258793493275,-0.021291968746237525,0.051968341569105785,2.0543071470026923,0.010116568521309518,0.08989742994308472
B_Train2_lambda3_ZERO,Train2,IP,32.0,0.18864966852870935,197744.0,,185.29235382308846,,,,True,23.7611965406328,0.8373126277644014,0.275375769007951,0.00864723987237301,0.0,0.0,0.0,-0.5833025023211214,-0.021011998834582307,0.049891913309693336,-0.5385242618899946,-0.01996122069959768,0.04872032022103667,1.925912950315024,0.009484282988727673,0.08427884057164192
B_Train2_lambda5,Train2,P,30.0,3.0183946964593495,197744.0,1632.0,185.29235382308846,1.5292353823088456,186.82158920539732,0.008253094910591471,False,23.952055049633305,0.8432696790422988,0.27707147945960364,0.008175967959190206,0.0,0.0,0.0,-0.6221893358091961,-0.022412798756887793,0.05321804086367289,-0.5744258793493275,-0.021291968746237525,0.051968341569105785,2.0543071470026923,0.010116568521309518,0.08989742994308472
B_Train2_lambda5,Train2,IP,32.0,3.0183946964593495,197744.0,1632.0,185.29235382308846,1.5292353823088456,186.82158920539732,0.008253094910591471,False,23.7611965406328,0.8373126277644014,0.275375769007951,0.00864723987237301,0.0,0.0,0.0,-0.5833025023211214,-0.021011998834582307,0.049891913309693336,-0.5385242618899946,-0.01996122069959768,0.04872032022103667,1.925912950315024,0.009484282988727673,0.08427884057164192
B_Train2_lambda5_WRONG,Train2,P,30.0,3.0183946964593495,197744.0,,185.29235382308846,,,,True,23.952055049633305,0.8432696790422988,0.27707147945960364,0.008175967959190206,0.0,0.0,0.0,-0.6221893358091961,-0.022412798756887793,0.05321804086367289,-0.5744258793493275,-0.021291968746237525,0.051968341569105785,2.0543071470026923,0.010116568521309518,0.08989742994308472
B_Train2_lambda5_WRONG,Train2,IP,32.0,3.0183946964593495,197744.0,,185.29235382308846,,,,True,23.7611965406328,0.8373126277644014,0.275375769007951,0.00864723987237301,0.0,0.0,0.0,-0.5833025023211214,-0.021011998834582307,0.049891913309693336,-0.5385242618899946,-0.01996122069959768,0.04872032022103667,1.925912950315024,0.009484282988727673,0.08427884057164192
B_Train2_lambda5_ZERO,Train2,P,30.0,3.0183946964593495,197744.0,,185.29235382308846,,,,True,23.952055049633305,0.8432696790422988,0.27707147945960364,0.008175967959190206,0.0,0.0,0.0,-0.6221893358091961,-0.022412798756887793,0.05321804086367289,-0.5744258793493275,-0.021291968746237525,0.051968341569105785,2.0543071470026923,0.010116568521309518,0.08989742994308472
