method,split,video,frame,group,type,lambda,diagnostic,zero_no_stream_fallback,symbol_nonzero_fraction,nonzero_enhancement_frame,u_l2,residual_l2,actual_packet_bits,selected_step,mse,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_TEACHER,ms_ssim_minus_TEACHER,lpips_minus_TEACHER,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,I,I,,True,False,,False,0.0,0.0,,,0.028622682989285473,15.432896594361738,0.6808732237864273,0.2725779414176941,0.028895260930703166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1.0,network_train6,P,,True,False,,True,871.0966816373955,38.19149398803711,,150.0,0.012416550842785385,19.05999028795656,0.823483776237755,0.31586605310440063,0.012732416895889786,0.6792162031120412,0.03913852092796388,-0.061876118183135986,0.131813703799331,0.004510151847693544,0.0049606263637542725,0.1557109214197645,0.005596522944519622,0.0036681294441223145,-0.9638497131952057,-0.04668003965359091,0.04609400033950806,2.785002179709032,0.04724822927578798,0.08510671555995941
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2.0,Train2_rest24,P,,True,False,,True,846.8819261757894,37.347347259521484,,150.0,0.012370259308710677,19.076211964774433,0.8273955338194651,0.3128601908683777,0.012683119499579055,0.6782865005526837,0.03724435933840409,-0.059831202030181885,0.1770979145862519,0.0055409746135230975,0.003931552171707153,0.2022040457252139,0.006791590992182406,0.0033143162727355957,-1.0270497032563526,-0.04813046250993791,0.049131155014038086,2.902721813255763,0.04785861951508319,0.08641675114631653
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3.0,Train2_rest24,P,,True,False,,True,842.5592436742905,37.76924514770508,,150.0,0.012293989820296367,19.103071508207368,0.8283953145722714,0.31379079818725586,0.012607780618483623,0.6678958268134281,0.035825695743574415,-0.059491127729415894,0.16460202698256055,0.004899471026072577,0.003524482250213623,0.18635686226084758,0.006189915698038284,0.0031239986419677734,-0.9734972631537637,-0.0460132939968565,0.04854828119277954,2.898039884364511,0.04753984590487925,0.0906602144241333
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4.0,Train2_rest24,P,,True,False,,True,856.0607389055374,37.726566314697266,,150.0,0.012642133212953066,18.981796377271593,0.8268809073273697,0.3208683133125305,0.012963001526265597,0.6757991373104026,0.03669902267050007,-0.06161612272262573,0.15980008619146702,0.005195058906389161,0.002556711435317993,0.18230967582590907,0.00648593068309522,0.0019440650939941406,-0.9693699599744683,-0.04690257086038507,0.04966294765472412,2.868841306167429,0.048853600479557,0.09688079357147217
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5.0,Train2_rest24,P,,True,False,,True,860.8104328385554,38.00920486450195,,150.0,0.012180930492034968,19.143195350101127,0.8283359847657072,0.31134873628616333,0.012492279228321131,0.7003824032747943,0.0363183759479101,-0.06100788712501526,0.15384446758800507,0.0046727439873185395,0.002651005983352661,0.17931033633698235,0.005850352662929104,0.0020273327827453613,-0.9619608801725548,-0.04589084078541017,0.04794818162918091,2.945611566918611,0.049638349491124445,0.08893564343452454
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6.0,Train2_rest24,P,,True,False,,True,879.4133097064697,38.1727180480957,,150.0,0.012293933029199814,19.103091570137774,0.8283870759039945,0.31461411714553833,0.012608547146345352,0.728987370009289,0.03757060516052624,-0.06099739670753479,0.14889796667049993,0.004903049240630453,0.0028721988201141357,0.17720397109314945,0.006020790615582916,0.0021423697471618652,-0.9455180782252022,-0.04560906263210329,0.04783451557159424,2.9542528691489203,0.051756977859075626,0.090883269906044
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7.0,Train2_rest24,P,,True,False,,True,881.8723966880593,38.366920471191406,,150.0,0.011927113755472774,19.234646386200442,0.8283337853771199,0.31015196442604065,0.012237265719898815,0.7551527565638239,0.037824077080469976,-0.061019957065582275,0.14322417944084975,0.0043722499191422015,0.003103971481323242,0.16952943804156106,0.005601621350620589,0.0017921030521392822,-0.9372872086923074,-0.0448285378219222,0.04653918743133545,3.037239343508105,0.053064871117129764,0.08619004487991333
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8.0,network_train6,P,,True,False,,True,899.4632736345537,38.65388107299805,,150.0,0.012578813586963349,19.003603189013383,0.8254459959111897,0.3250162601470947,0.012903829847110443,0.7453478743852173,0.0389906372061023,-0.06074461340904236,0.12737655950438054,0.004141998628210852,0.003350555896759033,0.15480879310875295,0.005396884431559168,0.0020178556442260742,-0.8782248256408813,-0.04400979067219535,0.04697135090827942,2.959712012413462,0.05416829197869111,0.09752559661865234
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9.0,Train2_rest24,P,,True,False,,True,895.7038592963431,38.77668380737305,,150.0,0.011967312313563343,19.22003374944651,0.8252607651923477,0.3127366602420807,0.012280048973805423,0.762939085841321,0.03801450398119055,-0.05883520841598511,0.15097318877404575,0.00444996920776175,0.003935754299163818,0.17941912470962507,0.005782585293124476,0.002205461263656616,-0.9181229145535497,-0.044764961588017904,0.04575344920158386,3.054118233054158,0.05424537069502855,0.08488491177558899
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10.0,Train2_rest24,P,,True,False,,True,893.6165740293154,38.800411224365234,,150.0,0.012723955259517009,18.953778666457055,0.8203716920954615,0.32425573468208313,0.013048210994199092,0.7225316543166613,0.03814767963768961,-0.05752250552177429,0.16526106887331693,0.00524731693079894,0.004454612731933594,0.19269962092238302,0.00658536825006828,0.0036123991012573242,-0.9020969371162835,-0.04614180754835484,0.046407341957092285,2.9446029983481417,0.05380672472769843,0.09344926476478577
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11.0,Train2_rest24,P,,True,False,,True,895.6605550252651,38.81934356689453,,150.0,0.012354618992961813,19.081706433663694,0.818671361936914,0.31700626015663147,0.012671625253118445,0.738780427308015,0.038012746675790354,-0.057094424962997437,0.180242782627964,0.005352966711961393,0.0041310787200927734,0.2046614892632057,0.006562490708399982,0.00316813588142395,-0.9410317139813849,-0.0473586234301856,0.0446297824382782,2.9936778775666113,0.053760458937950784,0.0881301611661911
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12.0,Train2_rest24,P,,True,False,,True,880.4344142073089,38.25509262084961,,150.0,0.012931173203925063,18.883620711848245,0.8171392416813607,0.33397752046585083,0.013265150724390913,0.6816160979767005,0.03701485422307538,-0.05723327398300171,0.1776322974740019,0.005338320844074929,0.004964917898178101,0.20075617514240562,0.006507091327567216,0.004040360450744629,-0.9285254631861903,-0.04827745326513633,0.048625290393829346,2.8917928592611215,0.05219120972151026,0.1037493497133255
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13.0,Train2_rest24,P,,True,False,,True,891.4387992859092,38.2688102722168,,150.0,0.012427503672984919,19.05616099831945,0.8171242560835825,0.3218545615673065,0.012749358234552225,0.7370890204203313,0.037754196058472744,-0.05798712372779846,0.18060478852134665,0.00531676106254908,0.004842102527618408,0.20578937456754076,0.006447586845425568,0.003988534212112427,-0.9686511166540726,-0.049399031413487116,0.048646897077560425,3.0012605324125943,0.053901063818796335,0.09122370183467865
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14.0,Train2_rest24,P,,True,False,,True,909.1636943860386,38.87352752685547,,150.0,0.01296044632592728,18.87380042173012,0.8128491621020025,0.3292886018753052,0.013289734927802586,0.7277088207911007,0.03874257984194984,-0.057503312826156616,0.17146819627159005,0.0055807763663559,0.005287736654281616,0.19741684082655553,0.006859337012607325,0.00510677695274353,-0.9192179654171824,-0.04910919291887905,0.046233177185058594,2.916851719126507,0.05437738024770111,0.09583689272403717
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15.0,network_train6,P,,True,False,,True,928.2139067308913,39.0446662902832,,150.0,0.012782616979905667,18.933802241445463,0.8101013639291704,0.3241235613822937,0.013106740541287961,0.7584526627658263,0.03916671778742775,-0.05818799138069153,0.15932154540808696,0.004833824667098696,0.004984945058822632,0.18041323875725368,0.0058998714212133985,0.004105269908905029,-0.9433578437933505,-0.05011883264520289,0.043918341398239136,2.9433933848420892,0.05470827221800256,0.09034234285354614
A_Train2_selected,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,0.0,I,I,,True,False,,False,0.0,0.0,,,0.0023100739264783543,26.363741216888563,0.8150404934054553,0.22730228304862976,0.002537376209526984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_Train2_selected,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,1.0,network_train6,P,,True,False,,True,454.99605861493217,24.603422164916992,,150.0,0.0008820272615537435,30.545179915582146,0.9133310301483074,0.13392603397369385,0.0010159532955274374,1.3303880897759441,0.018473516093738818,-0.050050586462020874,0.34391046786066326,0.002792219703941612,-0.0029199719429016113,0.4280715156982353,0.004165725834794465,-0.005929425358772278,-2.2125022978094577,-0.0310336823127475,0.04208734631538391,2.6525035420722745,0.018302353150712714,-0.01759640872478485
A_Train2_selected,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,2.0,Train2_rest24,P,,True,False,,True,435.09789721541046,23.670059204101562,,150.0,0.0008756704947575134,30.576592833628684,0.9146694481316304,0.12663331627845764,0.001002303811035971,1.1379277130035668,0.01600158103806726,-0.04767608642578125,0.38373110334963556,0.002754887707238751,-0.002522602677345276,0.45600545168025164,0.0038735456385047273,-0.004059433937072754,-2.526542497022181,-0.03385845473084714,0.04280337691307068,2.7107386870317676,0.01790089100915393,-0.018171191215515137
