method,group,frames,lambda,actual_packet_bits,rate_note,psnr,ms_ssim,lpips,symbol_nonzero_fraction,nonzero_enhancement_frame,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED
A_Train2_selected,Train2_rest24,24.0,,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",24.851447835740903,0.870046822135694,0.22417289577424526,,1.0,0.8680842543201678,0.02585034442639689,-0.0517071516563495,0.2691434941465694,0.003904216231008164,0.0010117894659439723,0.3162367972550526,0.005018871388698211,-0.0001673586666584015
A_Train2_selected,network_train6,6.0,,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",24.787526615668483,0.8674613660857554,0.22776622076829275,,1.0,0.9607056931848827,0.027898881711450014,-0.054070986807346344,0.24552205483329578,0.00361940070856596,0.001143453021844228,0.2959661246987058,0.00476493013105711,-0.0003884509205818176
A_Train2_step150,Train2_rest24,24.0,,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",24.851447835740903,0.870046822135694,0.22417289577424526,,1.0,0.8680842543201678,0.02585034442639689,-0.0517071516563495,0.2691434941465694,0.003904216231008164,0.0010117894659439723,0.3162367972550526,0.005018871388698211,-0.0001673586666584015
A_Train2_step150,network_train6,6.0,,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",24.787526615668483,0.8674613660857554,0.22776622076829275,,1.0,0.9607056931848827,0.027898881711450014,-0.054070986807346344,0.24552205483329578,0.00361940070856596,0.001143453021844228,0.2959661246987058,0.00476493013105711,-0.0003884509205818176
A_Val6_selected,Val6_90P,90.0,,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",27.958992705334857,0.8223668714714015,0.28244759630825783,,1.0,1.352068289120711,0.008094983774150565,-0.027195094774166744,1.1335082902748495,0.004208055359583698,0.004515732866194513,1.108694534140337,0.004616005934031033,0.0034881502389907835
A_Val6_step150,Val6_90P,90.0,,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",27.958992705334857,0.8223668714714015,0.28244759630825783,,1.0,1.352068289120711,0.008094983774150565,-0.027195094774166744,1.1335082902748495,0.004208055359583698,0.004515732866194513,1.108694534140337,0.004616005934031033,0.0034881502389907835
B_Train2_ZERO_NO_STREAM,Train2_rest24,24.0,,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",23.983363581420733,0.8441964777092971,0.27588004743059474,0.0,0.0,0.0,0.0,0.0,-0.5989407601735984,-0.02194612819538873,0.05271894112229347,-0.5518474570651152,-0.02083147303769868,0.0515397929896911
B_Train2_ZERO_NO_STREAM,network_train6,6.0,,,"group packet cost only, shared headers charged in complete sequence; not a group RD point",23.826820922483602,0.8395624843743055,0.28183720757563907,0.0,0.0,0.0,0.0,0.0,-0.7151836383515869,-0.024279481002884056,0.055214439829190574,-0.6647395684861769,-0.023133951580392904,0.053682535886764526
B_Train2_lambda1,Train2_rest24,24.0,0.011790604283044334,133608.0,"group packet cost only, shared headers charged in complete sequence; not a group RD point",24.45249745146076,0.8545654794337518,0.2522545500348012,0.335426880667607,1.0,0.4691338700400302,0.01036900172445479,-0.023625497395793598,-0.1298068901335682,-0.011577126470933938,0.029093443726499874,-0.08271358702508502,-0.01046247131324389,0.027914295593897503
B_Train2_lambda1,network_train6,6.0,0.011790604283044334,34592.0,"group packet cost only, shared headers charged in complete sequence; not a group RD point",24.362066504066778,0.8513952643493555,0.25519607464472455,0.3496323625246684,1.0,0.535245581583173,0.011832779975050075,-0.026641132930914562,-0.1799380567684139,-0.012446701027833981,0.028573306898276012,-0.12949398690300384,-0.01130117160534283,0.027041402955849964
