sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips,diagnostic_container_bits,actual_frame_packet_bits,actual_frame_share_bits,R_actual_bpp,zero_grid_skip,roundtrip_exact,diagnostic_stream
026aa77c-d036-41b7-a998-83c1911fe2bf_f0001,026aa77c-d036-41b7-a998-83c1911fe2bf,1.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,499.75089383932595,7.8239037303425425,31.97809875032622,1.9663233685942817e-07,0.0,0.0,36.40521267801523,,0.00030623295316388135,35.139480774940715,0.9699184336802643,0.058869875967502594,0.00036510282913138395,0.00036510282913138395,2.5824614625409694,0.0040547100798628,-0.015220090746879578,1.5250194794303695,0.0036375939659956114,-0.006672754883766174,1.5501153533138208,0.0036604555321895216,-0.006583519279956818,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0002,026aa77c-d036-41b7-a998-83c1911fe2bf,2.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,474.7799297802633,7.432968123702561,31.655982268521868,1.7692647822889071e-07,0.0,0.0,36.58801702409983,,0.0002835834208348258,35.47319162947433,0.9713484144467107,0.05537257343530655,0.00033895599427013237,0.00033895599427013237,2.1671808447965617,0.0038340644812560054,-0.015129901468753815,1.498724393418918,0.002871377531037167,-0.006400406360626221,1.5246140771591143,0.0031680936544729033,-0.006836630403995514,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0003,026aa77c-d036-41b7-a998-83c1911fe2bf,3.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,468.3294709648021,7.331982273730408,31.90416549643812,1.8178891178349228e-07,0.0,0.0,36.673505157232285,,0.00028321082185399463,35.478901557079794,0.971741501663459,0.053534816950559616,0.00033674563880455423,0.00033674563880455423,2.1896754684873656,0.0037841637580081633,-0.01377970352768898,1.4410153334063125,0.002784822231475026,-0.006675928831100464,1.488233908709148,0.003104780698327647,-0.007035311311483383,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0004,026aa77c-d036-41b7-a998-83c1911fe2bf,4.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,459.9092696814791,7.200158909244326,31.305196571850495,1.8953122002616327e-07,0.0,0.0,36.68784373998642,,0.00029144125513019185,35.35448971415665,0.9711105507138154,0.056109219789505005,0.00034755047491969685,0.00034755047491969685,1.8503009092350027,0.003301180176462082,-0.012612760066986084,1.4763951452331838,0.0027020549308365283,-0.0066155120730400085,1.4410260201568263,0.0030150537169509883,-0.006814852356910706,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0005,026aa77c-d036-41b7-a998-83c1911fe2bf,5.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,459.1975586781691,7.189016641281694,31.870919027301262,1.720168296383023e-07,0.0,0.0,36.61001759022474,,0.00025755385817661483,35.89131939969914,0.9735467740049201,0.05198147892951965,0.0003095353371061345,0.0003095353371061345,2.2961844037627017,0.003370024556386131,-0.011502198874950409,1.5075888627336482,0.0026597585816638958,-0.006683960556983948,1.560284033871305,0.0029231261611062376,-0.006846912205219269,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0006,026aa77c-d036-41b7-a998-83c1911fe2bf,6.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,459.4111648566277,7.1923607757236105,31.593612363649143,1.7867137312693302e-07,0.0,0.0,36.76020257920027,,0.00025724081089803866,35.8966013006428,0.9735260036625158,0.05377282574772835,0.000311013636645767,0.000311013636645767,2.132546479914076,0.003470441537744451,-0.012166302651166916,1.5793401887745588,0.0029078596892829767,-0.006725769490003586,1.5963569647828422,0.0033066740115823556,-0.00705280527472496,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0007,026aa77c-d036-41b7-a998-83c1911fe2bf,7.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,460.9889088122475,7.217061315476657,31.82908450075677,1.7201663240302292e-07,0.0,0.0,36.69515568763018,,0.00024879978200841626,36.04150004498033,0.9740872291846986,0.052570030093193054,0.00030136981210160933,0.00030136981210160933,2.279292599767075,0.0034281660251189727,-0.011932745575904846,1.5123005115334252,0.00282484627423496,-0.0067106857895851135,1.4769091492530322,0.003147639232864874,-0.0067734494805336,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0008,026aa77c-d036-41b7-a998-83c1911fe2bf,8.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,473.32149806214557,7.410135489483201,32.4863441965791,1.8072884646734858e-07,0.0,0.0,36.72068352252245,,0.00027132256015997385,35.665140936485024,0.9722106747790763,0.056128617376089096,0.000327451177536063,0.000327451177536063,2.2219480695402893,0.004468909387235875,-0.014156099408864975,1.4621875403982116,0.0033094847595754873,-0.0076956190168857574,1.4931386153721533,0.003654530738701034,-0.007975880056619644,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0009,026aa77c-d036-41b7-a998-83c1911fe2bf,9.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,462.1033424289489,7.234508450516165,32.41030964395895,1.6414978592917798e-07,0.0,0.0,36.713050462305546,,0.00024199463582671467,36.16194260700054,0.9746821990472072,0.05287974327802658,0.00029487437910474123,0.00029487437910474123,2.367932923489448,0.0037956416485326328,-0.012315340340137482,1.5237422830144425,0.003198376514278234,-0.006811916828155518,1.573388949760755,0.0035526313615709126,-0.007081992924213409,True,True,,,,,,,
026aa77c-d036-41b7-a998-83c1911fe2bf_f0010,026aa77c-d036-41b7-a998-83c1911fe2bf,10.0,Val6_90P,Val6,Aext_ENCODER_START,ENCODER_START,150.0,0.0,False,physical prequantizer u,485.6970352971479,7.603882040277882,33.03216215526184,1.8541477434900044e-07,0.0,0.0,36.734984420239925,,0.0002767909437458881,35.57848123556066,0.9712661252334401,0.05721019580960274,0.0003340011395554908,0.0003340011395554908,2.37462667252224,0.004853660440476526,-0.01444413885474205,1.4959030994370366,0.003345688479118647,-0.007216762751340866,1.5433544379940614,0.003743060972505874,-0.0075917355716228485,True,True,,,,,,,
