stage,sample,network_updates,code_updates,free_scalars,network_hashes_unchanged,ell_c_q_unchanged,optimization_seconds,peak_allocated_bytes,hard_gradient_cache_hits,unique_hard_states,cache_equivalence_check,zero_start_no_skip_branch,selected_step,teacher_required_for_coding
A6_ENCODER_START,c227e33d-910e-4e39-a325-0fe1d1116436_f0001,0,150,4080,True,True,39.67703691869974,9263864832,0,0,,True,150,True
A6_ENCODER_START,c227e33d-910e-4e39-a325-0fe1d1116436_f0008,0,150,4080,True,True,39.62714114040136,9263864832,0,0,,True,150,True
A6_ENCODER_START,c227e33d-910e-4e39-a325-0fe1d1116436_f0015,0,150,4080,True,True,39.931727826595306,9263864832,0,0,,True,150,True
A6_ENCODER_START,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,0,150,4080,True,True,38.30621747672558,9260945408,0,0,,True,150,True
A6_ENCODER_START,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,0,150,4080,True,True,38.35913076251745,9263864832,0,0,,True,150,True
A6_ENCODER_START,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,0,150,4080,True,True,38.55717220157385,9263864832,0,0,,True,150,True
A6_ZERO_START,c227e33d-910e-4e39-a325-0fe1d1116436_f0001,0,150,4080,True,True,40.52342074364424,9265283584,0,0,,True,150,False
A6_ZERO_START,c227e33d-910e-4e39-a325-0fe1d1116436_f0008,0,150,4080,True,True,40.22807605564594,9265283584,0,0,,True,150,False
A6_ZERO_START,c227e33d-910e-4e39-a325-0fe1d1116436_f0015,0,150,4080,True,True,40.36453142762184,9265283584,0,0,,True,150,False
A6_ZERO_START,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,0,150,4080,True,True,42.18518280237913,9265283584,0,0,,True,150,False
A6_ZERO_START,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,0,150,4080,True,True,41.85895133763552,9265283584,0,0,,True,150,False
A6_ZERO_START,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,0,150,4080,True,True,40.00632304698229,9265283584,0,0,,True,150,False
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0001,0,150,4080,True,True,39.26186630874872,9261386752,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0002,0,150,4080,True,True,39.56523880362511,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0003,0,150,4080,True,True,39.458949200809,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0004,0,150,4080,True,True,39.65934894233942,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0005,0,150,4080,True,True,39.475475274026394,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0006,0,150,4080,True,True,39.71508573740721,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0007,0,150,4080,True,True,39.44199651479721,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0008,0,150,4080,True,True,39.757721066474915,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0009,0,150,4080,True,True,39.56163043528795,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0010,0,150,4080,True,True,39.78367272019386,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0011,0,150,4080,True,True,39.50021503865719,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0012,0,150,4080,True,True,39.68341879546642,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0013,0,150,4080,True,True,39.49130582809448,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0014,0,150,4080,True,True,39.70816323161125,9263864832,0,0,,True,150,True
Aext_ENCODER_START,026aa77c-d036-41b7-a998-83c1911fe2bf_f0015,0,150,4080,True,True,39.33781158179045,9263864832,0,0,,True,150,True
