method,split,video,frame,group,type,lambda,diagnostic,zero_no_stream_fallback,symbol_nonzero_fraction,nonzero_enhancement_frame,u_l2,residual_l2,actual_packet_bits,selected_step,mse,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_TEACHER,ms_ssim_minus_TEACHER,lpips_minus_TEACHER,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,I,0.011790604283044334,False,False,,False,0.0,0.0,8,,0.028622682989285473,15.432896594361738,0.6808732237864273,0.2725779414176941,0.028895260930703166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,network_train6,P,0.011790604283044334,False,False,0.3710784316062927,True,383.2206054272562,29.07769012451172,6656,150.0,0.013610046732990377,18.66140383551625,0.8008358660295926,0.35106372833251953,0.013961110461322897,0.2806297506717321,0.016490610719801402,-0.02667844295501709,-0.2667727486409781,-0.018137758360468936,0.04015830159187317,-0.2428755310205446,-0.01705138726364286,0.03886580467224121,-1.3624361656355148,-0.06932794986175339,0.08129167556762695,2.386415727268723,0.024600319067625498,0.12030439078807831
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,P,0.011790604283044334,False,False,0.29901960492134094,True,325.4097571005135,27.10347557067871,5424,150.0,0.013633879784831967,18.653805396623603,0.8023156701003687,0.35986411571502686,0.013993743900546994,0.2558799324018537,0.012164495619307769,-0.012827277183532715,-0.2453086535645781,-0.01953888910557322,0.05093547701835632,-0.2202025224256161,-0.018288272726913912,0.050318241119384766,-1.4494562714071826,-0.07321032622903423,0.09613507986068726,2.480315245104933,0.02277875579598687,0.1334206759929657
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,Train2_rest24,P,0.011790604283044334,False,False,0.3129901885986328,True,341.2327303541304,28.277122497558594,5752,150.0,0.0134895088743227,18.700038618221143,0.8044893310863973,0.35878071188926697,0.013848289586211968,0.2648629368272033,0.011919712257700277,-0.014501214027404785,-0.23843086300366423,-0.01900651245980156,0.04851439595222473,-0.2166760277253772,-0.017716067787835854,0.04811391234397888,-1.3765301531399885,-0.06991927748273064,0.09353819489479065,2.4950069943782864,0.023633862419005114,0.1356501281261444
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,Train2_rest24,P,0.011790604283044334,False,False,0.32573530077934265,True,349.16805861046987,27.845903396606445,5896,150.0,0.013870444799066177,18.579096116965346,0.8038171341402206,0.36316731572151184,0.01423361211478769,0.2730988770041556,0.01363524948335093,-0.01931712031364441,-0.24290017411478004,-0.01786871428075998,0.044855713844299316,-0.220390584480338,-0.01657784250405392,0.044243067502975464,-1.3720702202807153,-0.06996634404753421,0.09196195006370544,2.466141045861182,0.025789827292407863,0.1391797959804535
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,Train2_rest24,P,0.011790604283044334,False,False,0.3029411733150482,True,330.0257288924065,30.24346923828125,5512,150.0,0.013491805735816202,18.699299207047783,0.8021883320540866,0.3601019084453583,0.013851907644261561,0.2564862602214504,0.010170723236289425,-0.012254714965820312,-0.29005167546533883,-0.021474908724302133,0.05140417814254761,-0.26458580671636156,-0.02029730004869157,0.05078050494194031,-1.4058570232258987,-0.07203849349703084,0.09670135378837585,2.5017154238652672,0.023490696779503772,0.13768881559371948
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,Train2_rest24,P,0.011790604283044334,False,False,0.2921568751335144,True,325.66094182112664,27.77113151550293,5432,150.0,0.013697653721959566,18.63353816994791,0.8015267170892834,0.3643604516983032,0.014062014173657869,0.2594339698194261,0.010710246345815078,-0.011251062154769897,-0.320655433519363,-0.021957309574080708,0.05261853337287903,-0.29234942909671346,-0.020839568199128244,0.05188870429992676,-1.415071478415065,-0.07246942144681445,0.09758085012435913,2.4846994689590574,0.024896619044364465,0.1406296044588089
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,Train2_rest24,P,0.011790604283044334,False,False,0.2808823585510254,True,316.7509804586899,26.490571975708008,5240,150.0,0.013360632237371906,18.74172990160986,0.8008620275837773,0.3615152835845947,0.0137221475209565,0.2622362719732436,0.010352319287127432,-0.009656637907028198,-0.3496923051497305,-0.023099507874200342,0.05446729063987732,-0.3233870465490192,-0.021870136442721955,0.05315542221069336,-1.4302036932828877,-0.07230029561526474,0.09790250658988953,2.544322858917525,0.02559311332378722,0.1375533640384674
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,network_train6,P,0.011790604283044334,False,False,0.28823530673980713,True,319.06587834805185,27.448352813720703,5312,150.0,0.014086550248876065,18.511953511997458,0.7969062282280293,0.37590301036834717,0.014462453259244413,0.25369819736929244,0.01045086952294183,-0.009857863187789917,-0.36427311751154434,-0.024397769054949614,0.054237306118011475,-0.33684088390717193,-0.0231428832516013,0.052904605865478516,-1.3698745026568062,-0.07254955835535581,0.09785810112953186,2.468062335397537,0.02562852429553064,0.14841234683990479
B_Train2_lambda1,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,Train2_rest24,P,0.011790604283044334,False,False,0.2713235318660736,True,310.4935544306001,26.64552879333496,5152,150.0,0.013445995483433039,18.714070389626308,0.7965085328243378,0.365664541721344,0.013811660025154384,0.2569757260211176,0.009262271613180606,-0.005907326936721802,-0.3549901710461576,-0.024302263160248194,0.056863635778427124,-0.3265442351105783,-0.02296964707488547,0.05513334274291992,-1.424086274373753,-0.07351719395602785,0.09868133068084717,2.5481548732339547,0.025493138327018605,0.1378127932548523
