sample,group,teacher_optimizer_seconds_if_required,encoder_forward_seconds,teacher_and_E_required_for_A_ENCODER_START,teacher_and_E_required_for_B_ZERO_START
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,network_train6,49.03155907988548,0.010971292853355408,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,Train2_rest24,42.84139095246792,0.007994689047336578,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,Train2_rest24,43.005312502384186,0.00704338401556015,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0004,Train2_rest24,43.08776468783617,0.004869729280471802,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0005,Train2_rest24,42.98672793060541,0.004831328988075256,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0006,Train2_rest24,42.77803549915552,0.005017988383769989,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0007,Train2_rest24,43.170474492013454,0.004802338778972626,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,network_train6,48.828122451901436,0.0009490549564361572,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0009,Train2_rest24,42.826077029109,0.004243180155754089,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0010,Train2_rest24,42.954258888959885,0.004863135516643524,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0011,Train2_rest24,42.84506577253342,0.004769876599311829,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0012,Train2_rest24,42.74075520038605,0.004736073315143585,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0013,Train2_rest24,42.95090966671705,0.004363588988780975,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0014,Train2_rest24,42.89790400862694,0.0047625526785850525,True,False
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,network_train6,48.79562097042799,0.0008970201015472412,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,network_train6,49.736684024333954,0.0009512752294540405,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0002,Train2_rest24,42.88984280824661,0.004007332026958466,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0003,Train2_rest24,42.945574559271336,0.004991814494132996,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0004,Train2_rest24,42.866641633212566,0.004246525466442108,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0005,Train2_rest24,42.82162160426378,0.004631668329238892,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0006,Train2_rest24,42.90654902160168,0.00922241061925888,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0007,Train2_rest24,43.00789063423872,0.004026547074317932,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,network_train6,49.66009932011366,0.0008786618709564209,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0009,Train2_rest24,43.06952467560768,0.003988996148109436,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0010,Train2_rest24,42.85842549800873,0.004518233239650726,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0011,Train2_rest24,42.85432457178831,0.004274927079677582,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0012,Train2_rest24,42.89211142063141,0.004043295979499817,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0013,Train2_rest24,42.80051290988922,0.004259072244167328,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0014,Train2_rest24,42.8632310628891,0.004613019526004791,True,False
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,network_train6,49.810531340539455,0.0008834004402160645,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0001,Val6_90P,42.44001208990812,0.001378387212753296,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0002,Val6_90P,42.51213525980711,0.00494818389415741,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0003,Val6_90P,42.60246240347624,0.0029558688402175903,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0004,Val6_90P,42.881321743130684,0.005027070641517639,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0005,Val6_90P,42.52889908105135,0.0034021660685539246,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0006,Val6_90P,42.67904829978943,0.004725903272628784,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0007,Val6_90P,42.86752609908581,0.004842527210712433,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0008,Val6_90P,42.88685363531113,0.004846036434173584,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0009,Val6_90P,42.78121808171272,0.007718496024608612,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0010,Val6_90P,42.918815441429615,0.004832170903682709,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0011,Val6_90P,42.833427138626575,0.004861414432525635,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0012,Val6_90P,42.772195264697075,0.003696747124195099,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0013,Val6_90P,42.74571351706982,0.004882238805294037,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0014,Val6_90P,42.788908533751965,0.004812449216842651,True,False
026aa77c-d036-41b7-a998-83c1911fe2bf_f0015,Val6_90P,42.78436937183142,0.003812268376350403,True,False
30884276-8cb2-485e-b0ca-a22605c1801f_f0001,Val6_90P,42.795144982635975,0.004948154091835022,True,False
30884276-8cb2-485e-b0ca-a22605c1801f_f0002,Val6_90P,42.87823065370321,0.004988573491573334,True,False
30884276-8cb2-485e-b0ca-a22605c1801f_f0003,Val6_90P,42.78655678778887,0.004614144563674927,True,False
30884276-8cb2-485e-b0ca-a22605c1801f_f0004,Val6_90P,42.60753161460161,0.004842706024646759,True,False
30884276-8cb2-485e-b0ca-a22605c1801f_f0005,Val6_90P,42.710978016257286,0.004867278039455414,True,False
30884276-8cb2-485e-b0ca-a22605c1801f_f0006,Val6_90P,43.18422891944647,0.0067998990416526794,True,False
30884276-8cb2-485e-b0ca-a22605c1801f_f0007,Val6_90P,42.83721083402634,0.004771031439304352,True,False
30884276-8cb2-485e-b0ca-a22605c1801f_f0008,Val6_90P,42.7056107968092,0.004833497107028961,True,False
30884276-8cb2-485e-b0ca-a22605c1801f_f0009,Val6_90P,42.92173504829407,0.004845701158046722,True,False
30884276-8cb2-485e-b0ca-a22605c1801f_f0010,Val6_90P,42.80076648294926,0.0048226043581962585,True,False
