group,format,budget,video,candidate,lambda,base_bits,enhancement_bits,enhancement_fraction,nonzero_enhancement_frame_fraction_P,psnr,ms_ssim,lpips,psnr_minus_ZERO,lpips_minus_ZERO,whole_sequence_no_frame_mixing
current_encoder_old,old,0.1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
current_encoder_old,old,0.1,c227e33d-910e-4e39-a325-0fe1d1116436,ZERO_NO_STREAM,,104784.0,0,0.0,0.0,29.373566793172266,0.8963387012512345,0.17879619169980288,0.0,0.0,True
current_encoder_old,old,0.25,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
current_encoder_old,old,0.25,c227e33d-910e-4e39-a325-0fe1d1116436,ZERO_NO_STREAM,,104784.0,0,0.0,0.0,29.373566793172266,0.8963387012512345,0.17879619169980288,0.0,0.0,True
current_encoder_old,old,0.5,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
current_encoder_old,old,0.5,c227e33d-910e-4e39-a325-0fe1d1116436,ZERO_NO_STREAM,,104784.0,0,0.0,0.0,29.373566793172266,0.8963387012512345,0.17879619169980288,0.0,0.0,True
current_encoder_new,new,0.1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
current_encoder_new,new,0.1,c227e33d-910e-4e39-a325-0fe1d1116436,ZERO_NO_STREAM,,104784.0,0,0.0,0.0,29.373566793172266,0.8963387012512345,0.17879619169980288,0.0,0.0,True
current_encoder_new,new,0.25,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
current_encoder_new,new,0.25,c227e33d-910e-4e39-a325-0fe1d1116436,ZERO_NO_STREAM,,104784.0,0,0.0,0.0,29.373566793172266,0.8963387012512345,0.17879619169980288,0.0,0.0,True
current_encoder_new,new,0.5,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
current_encoder_new,new,0.5,c227e33d-910e-4e39-a325-0fe1d1116436,ZERO_NO_STREAM,,104784.0,0,0.0,0.0,29.373566793172266,0.8963387012512345,0.17879619169980288,0.0,0.0,True
optimized_old,old,0.1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
optimized_old,old,0.1,c227e33d-910e-4e39-a325-0fe1d1116436,ZERO_NO_STREAM,,104784.0,0,0.0,0.0,29.373566793172266,0.8963387012512345,0.17879619169980288,0.0,0.0,True
optimized_old,old,0.25,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
optimized_old,old,0.25,c227e33d-910e-4e39-a325-0fe1d1116436,ZERO_NO_STREAM,,104784.0,0,0.0,0.0,29.373566793172266,0.8963387012512345,0.17879619169980288,0.0,0.0,True
optimized_old,old,0.5,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
optimized_old,old,0.5,c227e33d-910e-4e39-a325-0fe1d1116436,adaptive_lambda1,0.09432483426435467,104784.0,27512.0,0.26255916933883033,0.4666666666666667,29.66122156456504,0.900570780502129,0.16382078919559717,0.28765477139277373,-0.014975402504205704,True
optimized_new,new,0.1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
optimized_new,new,0.1,c227e33d-910e-4e39-a325-0fe1d1116436,ZERO_NO_STREAM,,104784.0,0,0.0,0.0,29.373566793172266,0.8963387012512345,0.17879619169980288,0.0,0.0,True
optimized_new,new,0.25,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
optimized_new,new,0.25,c227e33d-910e-4e39-a325-0fe1d1116436,ZERO_NO_STREAM,,104784.0,0,0.0,0.0,29.373566793172266,0.8963387012512345,0.17879619169980288,0.0,0.0,True
optimized_new,new,0.5,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,ZERO_NO_STREAM,,92960.0,0,0.0,0.0,18.148826288093332,0.7782865542775682,0.37195534631609917,0.0,0.0,True
optimized_new,new,0.5,c227e33d-910e-4e39-a325-0fe1d1116436,adaptive_lambda1,0.09432483426435467,104784.0,27512.0,0.26255916933883033,0.4666666666666667,29.66122156456504,0.900570780502129,0.16382078919559717,0.28765477139277373,-0.014975402504205704,True
