source,lambda,selected,video,frame,sample,step,psnr,ms_ssim,lpips,psnr_minus_ZERO,lpips_minus_ZERO,symbol_count,nonzero_count,nonzero_fraction,nonzero_min,nonzero_max,nonzero_mean,nonzero_mean_abs,sparsity_class,shape,estimated_differentiable_bits,cdf_zero_self_information_bits,cdf_nonzero_self_information_bits,cdf_total_self_information_bits,old_actual_packet_bits,old_frame_header_bits,old_payload_bits,arithmetic_body_and_finalization_bits,explicit_termination_lookahead_bits,byte_alignment_bits,payload_bits,actual_payload_minus_cdf_information_bits,new_dense_candidate_packet_bits,new_sparse_candidate_packet_bits,new_chosen_mode,new_actual_packet_bits,packet_bits_saved
ENCODER_l3,,True,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,,18.904279739431175,0.8178872572377184,0.3121979236602783,0.5235051541816276,-0.0655442476272583,4080,2174,0.532843137254902,-4,5,-0.16375344986200552,1.3100275988960441,HIGH_NONZERO,1x8x17x30,10158.6669921875,907.7234066606447,10530.067291791689,11437.790698452334,11544,72,11472,11439,32,1,11472,34.209301547665746,11544,34872,DENSE,11544,0
ENCODER_l3,,True,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,,18.87400831779102,0.8206039467668717,0.3095458745956421,0.47608228204538605,-0.06314548850059509,4080,2235,0.5477941176470589,-4,4,-0.17718120805369128,1.312751677852349,HIGH_NONZERO,1x8x17x30,10358.767578125,869.8234762042558,10797.016906681301,11666.840382885557,11776,72,11704,11668,32,4,11704,37.15961711444288,11776,35848,DENSE,11776,0
ENCODER_l3,,True,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,,18.916715028221667,0.8222054022363151,0.3106668293476105,0.4815388042563278,-0.06261506676673889,4080,2202,0.5397058823529411,-4,4,-0.1684831970935513,1.3310626702997275,HIGH_NONZERO,1x8x17x30,10421.974609375,884.7133873288818,10807.219505828962,11691.932893157844,11800,72,11728,11693,32,3,11728,36.067106842156136,11800,35320,DENSE,11800,0
ENCODER_l3,,True,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0004,,18.799487110251096,0.820394980512026,0.3189241886138916,0.4934892847374037,-0.06356024742126465,4080,2299,0.5634803921568627,-4,4,-0.13875598086124402,1.3114397564158329,HIGH_NONZERO,1x8x17x30,10572.4072265625,840.1891053626306,10975.238914692725,11815.428020055357,11920,72,11848,11816,32,0,11848,32.57197994464332,11920,36872,DENSE,11920,0
ENCODER_l3,,True,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0005,,18.963885407460424,0.8224856357212849,0.3093213737010956,0.5210718940519321,-0.06303519010543823,4080,2237,0.5482843137254902,-4,4,-0.1662941439427805,1.3330353151542245,HIGH_NONZERO,1x8x17x30,10556.2890625,868.6339101790882,10939.978309284326,11808.612219463415,11920,72,11848,11809,32,7,11848,39.38778053658643,11920,35880,DENSE,11920,0
ENCODER_l3,,True,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0006,,18.92588800873163,0.822366288772268,0.31247174739837646,0.5517832169035621,-0.06313976645469666,4080,2269,0.5561274509803922,-4,4,-0.1494050242397532,1.3428823270163068,HIGH_NONZERO,1x8x17x30,10769.64453125,855.3675889077002,11275.42181547044,12130.78940437814,12240,72,12168,12132,32,4,12168,37.21059562186019,12240,36392,DENSE,12240,0
ENCODER_l3,,True,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0007,,19.06511733607467,0.8227321675886844,0.308359831571579,0.585623142090185,-0.06281208992004395,4080,2250,0.5514705882352942,-4,4,-0.1768888888888889,1.3573333333333333,HIGH_NONZERO,1x8x17x30,10869.958984375,863.6730995893356,11488.443199532041,12352.116299121377,12464,72,12392,12353,32,7,12392,39.88370087862313,12464,36088,DENSE,12464,0
ENCODER_l3,,True,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,,18.84879478205433,0.8200491150690404,0.32299840450286865,0.5905389127407048,-0.06276243925094604,4080,2256,0.5529411764705883,-4,4,-0.1374113475177305,1.351063829787234,HIGH_NONZERO,1x8x17x30,10807.302734375,858.0117556130999,11288.024539858527,12146.036295471626,12256,72,12184,12148,32,4,12184,37.963704528372546,12256,36184,DENSE,12256,0
ENCODER_l3,,True,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0009,,19.04061501407941,0.8194781835214365,0.3105311989784241,0.5835197975434312,-0.061040639877319336,4080,2268,0.5558823529411765,-4,4,-0.18342151675485008,1.3589065255731922,HIGH_NONZERO,1x8x17x30,10952.337890625,854.5542480904205,11479.366492510087,12333.920740600508,12440,72,12368,12335,32,1,12368,34.079259399492,12440,36376,DENSE,12440,0
ENCODER_l3,,True,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0010,,18.761079420692987,0.8137863273091538,0.3206433355808258,0.5298318796979729,-0.061134904623031616,4080,2269,0.5561274509803922,-4,4,-0.17011899515204937,1.3486117232260908,HIGH_NONZERO,1x8x17x30,10831.08984375,850.5186328489874,11399.361060263605,12249.879693112593,12360,72,12288,12251,32,5,12288,38.12030688740742,12360,36392,DENSE,12360,0
ENCODER_l3,,True,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0011,,18.877045328692972,0.8121088748550154,0.3138381242752075,0.5341187784171915,-0.06026256084442139,4080,2299,0.5634803921568627,-5,4,-0.1839930404523706,1.3471074380165289,HIGH_NONZERO,1x8x17x30,10964.1162109375,838.7465618177059,11625.044978883343,12463.79154070105,12568,72,12496,12464,32,0,12496,32.2084592989504,12568,36872,DENSE,12568,0
