candidate,lambda,video,frame,type,nonzero_enhancement_frame,old_packet_bits,new_packet_bits,new_mode,mse,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
midpoint_lambda2,0.04716241713217734,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,False,8,8,I,0.028622682989285473,15.432896594361738,0.6808732237864273,0.2725779414176941,0.028895260930703166,,,,,,,,,
midpoint_lambda2,0.04716241713217734,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,True,6112,6112,DENSE,0.013594662341309197,18.666315747721264,0.8002438239349106,0.35403013229370117,0.013948692473602899,0.28554166287674576,0.015898568625119402,-0.02371203899383545,-0.23796361881553096,-0.017643429358324858,0.04183220863342285,2.3913276394737366,0.0240082769729435,0.12327079474925995
midpoint_lambda2,0.04716241713217734,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,True,5248,5248,DENSE,0.013634952616702403,18.65346366951573,0.8015589712400911,0.36340123414993286,0.013998353850852336,0.2555382052939805,0.011407796759030142,-0.009290158748626709,-0.22054424953348928,-0.01904497158719154,0.05385535955429077,2.4799735179970597,0.022022056935709244,0.1369577944278717
midpoint_lambda2,0.04716241713217734,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,True,5448,5448,DENSE,0.013501810397354206,18.696079949963604,0.8041034591237716,0.3592207133769989,0.013861031110731205,0.2609042685696643,0.011533840295074538,-0.014061212539672852,-0.22063469598291618,-0.018101939750461593,0.048553913831710815,2.4910483261207474,0.023247990456379375,0.13609012961387634
midpoint_lambda2,0.04716241713217734,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,True,5712,5712,DENSE,0.013890124159423683,18.572938722241133,0.8025114506329217,0.3669769763946533,0.014257101135818337,0.2669414822799432,0.01232956597605206,-0.01550745964050293,-0.2265479792045504,-0.01788352601135279,0.04805272817611694,2.4599836511369695,0.02448414378510899,0.14298945665359497
midpoint_lambda2,0.04716241713217734,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,True,5176,5176,DENSE,0.013504148850509943,18.6953278364801,0.802984051735527,0.3589538335800171,0.01386310268408996,0.2525148896537672,0.010966442917729857,-0.013402789831161499,-0.2685571772840447,-0.019501580367251137,0.04963243007659912,2.497744053297584,0.024286416460944205,0.1365407407283783
midpoint_lambda2,0.04716241713217734,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,True,5248,5248,DENSE,0.013700123114990036,18.632755300756685,0.8014607003700652,0.36442628502845764,0.014064549400018495,0.2586511006281995,0.010644229626596946,-0.011185228824615479,-0.2931322982879401,-0.020905584918346376,0.05195453763008118,2.4839165997678307,0.024830602325146334,0.14069543778896332
midpoint_lambda2,0.04716241713217734,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,True,5000,5000,DENSE,0.013375643553342552,18.73685313236329,0.8007410348281422,0.36047467589378357,0.013736118229236335,0.25735950272667196,0.01023132653149228,-0.010697245597839355,-0.32826381579559083,-0.021991129198357107,0.0521148145198822,2.539446089670953,0.025472120568152068,0.13651275634765625
midpoint_lambda2,0.04716241713217734,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,True,5160,5160,DENSE,0.014092494487186127,18.510121263985045,0.7959893550615756,0.38029003143310547,0.014472784518619233,0.2518659493568798,0.009533996356488217,-0.005470842123031616,-0.3386731319195846,-0.02405975641805491,0.057291626930236816,2.4662300873851244,0.024711651129077028,0.15279936790466309
midpoint_lambda2,0.04716241713217734,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,True,5064,5064,DENSE,0.013448927185410652,18.713123577462405,0.7963577695138574,0.36557498574256897,0.013814502171153221,0.2560289138572145,0.009111508302700244,-0.005996882915496826,-0.3274910472744814,-0.02312041038536583,0.0550437867641449,2.5472080610700516,0.025342375016538243,0.13772323727607727
