sample,base_cache_and_context_seconds
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,0.27357447147369385
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,0.0013546720147132874
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,0.0012132227420806885
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0004,0.0017836540937423706
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0005,0.0017756372690200806
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0006,0.001396365463733673
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0007,0.001598849892616272
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,0.0016482695937156677
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0009,0.0010773763060569763
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0010,0.001404881477355957
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0011,0.0013440698385238647
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0012,0.0015554800629615784
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0013,0.0012261494994163513
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0014,0.0010791122913360596
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,0.001578114926815033
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,0.11292289942502975
c227e33d-910e-4e39-a325-0fe1d1116436_f0002,0.0014529973268508911
c227e33d-910e-4e39-a325-0fe1d1116436_f0003,0.001707315444946289
c227e33d-910e-4e39-a325-0fe1d1116436_f0004,0.0012568086385726929
c227e33d-910e-4e39-a325-0fe1d1116436_f0005,0.0017940998077392578
c227e33d-910e-4e39-a325-0fe1d1116436_f0006,0.002009175717830658
c227e33d-910e-4e39-a325-0fe1d1116436_f0007,0.003488190472126007
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,0.0013967826962471008
c227e33d-910e-4e39-a325-0fe1d1116436_f0009,0.0014343932271003723
c227e33d-910e-4e39-a325-0fe1d1116436_f0010,0.002123139798641205
c227e33d-910e-4e39-a325-0fe1d1116436_f0011,0.001366645097732544
c227e33d-910e-4e39-a325-0fe1d1116436_f0012,0.0013461709022521973
c227e33d-910e-4e39-a325-0fe1d1116436_f0013,0.0031959041953086853
c227e33d-910e-4e39-a325-0fe1d1116436_f0014,0.0013895779848098755
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,0.0012780874967575073
