sample,base_cache_and_context_seconds
026aa77c-d036-41b7-a998-83c1911fe2bf_f0001,0.33170086145401
026aa77c-d036-41b7-a998-83c1911fe2bf_f0002,0.002312682569026947
026aa77c-d036-41b7-a998-83c1911fe2bf_f0003,0.002314537763595581
026aa77c-d036-41b7-a998-83c1911fe2bf_f0004,0.0024073198437690735
026aa77c-d036-41b7-a998-83c1911fe2bf_f0005,0.0021618157625198364
026aa77c-d036-41b7-a998-83c1911fe2bf_f0006,0.0025499239563941956
026aa77c-d036-41b7-a998-83c1911fe2bf_f0007,0.0016346350312232971
026aa77c-d036-41b7-a998-83c1911fe2bf_f0008,0.0018088147044181824
026aa77c-d036-41b7-a998-83c1911fe2bf_f0009,0.00455087423324585
026aa77c-d036-41b7-a998-83c1911fe2bf_f0010,0.0019113868474960327
026aa77c-d036-41b7-a998-83c1911fe2bf_f0011,0.0023754462599754333
026aa77c-d036-41b7-a998-83c1911fe2bf_f0012,0.002508021891117096
026aa77c-d036-41b7-a998-83c1911fe2bf_f0013,0.00963813066482544
026aa77c-d036-41b7-a998-83c1911fe2bf_f0014,0.0021083056926727295
026aa77c-d036-41b7-a998-83c1911fe2bf_f0015,0.002753637731075287
30884276-8cb2-485e-b0ca-a22605c1801f_f0001,0.08444385230541229
30884276-8cb2-485e-b0ca-a22605c1801f_f0002,0.002639397978782654
30884276-8cb2-485e-b0ca-a22605c1801f_f0003,0.00205308198928833
30884276-8cb2-485e-b0ca-a22605c1801f_f0004,0.0022463202476501465
30884276-8cb2-485e-b0ca-a22605c1801f_f0005,0.001568324863910675
30884276-8cb2-485e-b0ca-a22605c1801f_f0006,0.0016344860196113586
30884276-8cb2-485e-b0ca-a22605c1801f_f0007,0.00194646418094635
30884276-8cb2-485e-b0ca-a22605c1801f_f0008,0.0016278550028800964
30884276-8cb2-485e-b0ca-a22605c1801f_f0009,0.0016373246908187866
30884276-8cb2-485e-b0ca-a22605c1801f_f0010,0.002326376736164093
30884276-8cb2-485e-b0ca-a22605c1801f_f0011,0.0021288320422172546
30884276-8cb2-485e-b0ca-a22605c1801f_f0012,0.0028050020337104797
30884276-8cb2-485e-b0ca-a22605c1801f_f0013,0.002251066267490387
30884276-8cb2-485e-b0ca-a22605c1801f_f0014,0.0026962384581565857
30884276-8cb2-485e-b0ca-a22605c1801f_f0015,0.0016984567046165466
66d34721-a96d-4a92-9042-0847e057f3ba_f0001,0.12886814773082733
66d34721-a96d-4a92-9042-0847e057f3ba_f0002,0.0016437619924545288
66d34721-a96d-4a92-9042-0847e057f3ba_f0003,0.0017437487840652466
66d34721-a96d-4a92-9042-0847e057f3ba_f0004,0.0024834349751472473
66d34721-a96d-4a92-9042-0847e057f3ba_f0005,0.001994110643863678
66d34721-a96d-4a92-9042-0847e057f3ba_f0006,0.002069525420665741
66d34721-a96d-4a92-9042-0847e057f3ba_f0007,0.002669878304004669
66d34721-a96d-4a92-9042-0847e057f3ba_f0008,0.002168424427509308
66d34721-a96d-4a92-9042-0847e057f3ba_f0009,0.0017621442675590515
66d34721-a96d-4a92-9042-0847e057f3ba_f0010,0.001624174416065216
66d34721-a96d-4a92-9042-0847e057f3ba_f0011,0.001670844852924347
66d34721-a96d-4a92-9042-0847e057f3ba_f0012,0.0022109821438789368
66d34721-a96d-4a92-9042-0847e057f3ba_f0013,0.002538628876209259
66d34721-a96d-4a92-9042-0847e057f3ba_f0014,0.0021069422364234924
