split,video,method,alpha,base_bytes,enhancement_bytes,total_bytes,budget_bytes,budget_slack_bytes,enhancement_over_base,total_bpp,total_kbps,objective_sum_P,stream_sent,stream,stream_sha256,selected_label_nonzero_frames,Z_count,E_count,O1_count,O2_count
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,11620,0,11620,0,0,0.0,0.0028018904320987656,174.3001089375681,0.2260862833949702,False,,,0,15,0,0,0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,11620,0,11620,1162,1162,0.0,0.0028018904320987656,174.3001089375681,0.2260862833949702,False,,,0,15,0,0,0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.25,11620,1633,13253,2905,1272,0.14053356282271945,0.0031956500771604937,198.79512424695267,0.2241248645280261,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_GUARD_a0p25.orc2,cb710859f5b1f0efd88253e490f580d0b41b1f5c62737ae3290ebedcc9523d7d,1,14,1,0,0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.5,11620,4766,16386,5810,1044,0.4101549053356282,0.003951099537037037,245.79015361884603,0.22031103066448496,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_GUARD_a0p5.orc2,f4c31a575db5fba747b5058d080998ddaf8734ba038df6cd5cd8d0830c6b049a,3,12,3,0,0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0,11620,0,11620,0,0,0.0,0.0028018904320987656,174.3001089375681,0.2260862833949702,False,,,0,15,0,0,0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.1,11620,734,12354,1162,428,0.06316695352839931,0.002978877314814815,185.3101158188224,0.2252018720894427,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p1.orc2,6879f8ef23c7c459066e155bd54b0f46d2216fcfb9c656969569d980922cd218,1,14,0,1,0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.25,11620,2897,14517,2905,8,0.24931153184165233,0.0035004340277777777,217.7551360969601,0.2220991399194538,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p25.orc2,ddce4a4c3a1f96e95e706bb592057bedcfac9c762e4138d85224e2382f71c88a,5,10,0,0,5
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.5,11620,5807,17427,5810,3,0.4997418244406196,0.004202112268518518,261.40516337822714,0.21814174905917685,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p5.orc2,7e03320d743c891dd262ebb7d128fb4d04097325610882c622a454e05be2f581,10,5,0,1,9
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME_GUARD,0,13098,0,13098,0,0,0.0,0.003158275462962963,196.2736037252724,0.019192755380735973,False,,,0,15,0,0,0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME_GUARD,0.1,13098,1281,14379,1309,28,0.09780119102153001,0.003467158564814815,215.46939593569186,0.018714874781606442,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_GUARD_a0p1.orc2,c525f375825e13734651d5aaa2a5d2c3f5669f0df347a03ca345d6f159a8807d,2,13,2,0,0
