split,video,method,alpha,base_bytes,enhancement_bytes,total_bytes,budget_bytes,budget_slack_bytes,enhancement_over_base,total_bpp,total_kbps,objective_sum_P,stream_sent,stream,stream_sha256,selected_label_nonzero_frames,Z_count,E_count,O1_count,O2_count,scope,frames,actual_nonzero_frames,mse,mse_minus_ZERO,psnr,psnr_minus_ZERO,ms_ssim,ms_ssim_minus_ZERO,lpips,lpips_minus_ZERO,d,d_minus_ZERO
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.0,11620.0,0.0,11620.0,0.0,0.0,0.0,0.0028018904320987656,174.3001089375681,0.2260862833949702,False,,,0.0,15.0,0.0,0.0,0.0,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.0,11620.0,0.0,11620.0,0.0,0.0,0.0,0.0028018904320987656,174.3001089375681,0.2260862833949702,False,,,0.0,15.0,0.0,0.0,0.0,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,11620.0,0.0,11620.0,1162.0,1162.0,0.0,0.0028018904320987656,174.3001089375681,0.2260862833949702,False,,,0.0,15.0,0.0,0.0,0.0,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,11620.0,0.0,11620.0,1162.0,1162.0,0.0,0.0028018904320987656,174.3001089375681,0.2260862833949702,False,,,0.0,15.0,0.0,0.0,0.0,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.25,11620.0,1633.0,13253.0,2905.0,1272.0,0.14053356282271945,0.0031956500771604937,198.79512424695267,0.2241248645280261,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_GUARD_a0p25.orc2,cb710859f5b1f0efd88253e490f580d0b41b1f5c62737ae3290ebedcc9523d7d,1.0,14.0,1.0,0.0,0.0,P,15,1,0.014567261293162635,-0.00012657709319272188,18.369257539760536,0.03936927208509999,0.7870203598286138,0.002239583518302779,0.37439634203910827,-0.004184164603551255,0.014941657635201742,-0.00013076125779627051
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.25,11620.0,1633.0,13253.0,2905.0,1272.0,0.14053356282271945,0.0031956500771604937,198.79512424695267,0.2241248645280261,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_GUARD_a0p25.orc2,cb710859f5b1f0efd88253e490f580d0b41b1f5c62737ae3290ebedcc9523d7d,1.0,14.0,1.0,0.0,0.0,IP,16,1,0.01544572514917031,-0.00011866602486817687,18.18573498067311,0.0369086925797788,0.7803861638259773,0.0020996095484089317,0.3680326920002699,-0.003922654315829277,0.015813757841170582,-0.00012258867918400404
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.5,11620.0,4766.0,16386.0,5810.0,1044.0,0.4101549053356282,0.003951099537037037,245.79015361884603,0.22031103066448496,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_GUARD_a0p5.orc2,f4c31a575db5fba747b5058d080998ddaf8734ba038df6cd5cd8d0830c6b049a,3.0,12.0,3.0,0.0,0.0,P,15,3,0.014321227964324506,-0.00037261042203085015,18.44669483210322,0.11680656442778314,0.791386944165566,0.0066061678552549186,0.3661740799744924,-0.012406426668167103,0.014687402044298997,-0.00038501684869901576
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.5,11620.0,4766.0,16386.0,5810.0,1044.0,0.4101549053356282,0.003951099537037037,245.79015361884603,0.22031103066448496,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_GUARD_a0p5.orc2,f4c31a575db5fba747b5058d080998ddaf8734ba038df6cd5cd8d0830c6b049a,3.0,12.0,3.0,0.0,0.0,IP,16,3,0.015215068903384565,-0.000349322270653922,18.258332442244377,0.10950615415104537,0.7844798366418698,0.0061932823643015,0.3603243213146925,-0.01163102500140667,0.015575393224699259,-0.00036095329565532727
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.0,11620.0,0.0,11620.0,0.0,0.0,0.0,0.0028018904320987656,174.3001089375681,0.2260862833949702,False,,,0.0,15.0,0.0,0.0,0.0,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.0,11620.0,0.0,11620.0,0.0,0.0,0.0,0.0028018904320987656,174.3001089375681,0.2260862833949702,False,,,0.0,15.0,0.0,0.0,0.0,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.1,11620.0,734.0,12354.0,1162.0,428.0,0.06316695352839931,0.002978877314814815,185.3101158188224,0.2252018720894427,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p1.orc2,6879f8ef23c7c459066e155bd54b0f46d2216fcfb9c656969569d980922cd218,1.0,14.0,0.0,1.0,0.0,P,15,1,0.014635386968250879,-5.845141810447742e-05,18.34694590773652,0.01705764006108268,0.7854787192311072,0.0006979429207961685,0.37807117104530336,-0.0005093355973561642,0.01501345813929618,-5.896075370183211e-05
