split,comparison,method_a,method_b,alpha,scope,video,a_enhancement_bytes,b_enhancement_bytes,enhancement_bytes_delta,a_total_bytes,b_total_bytes,mse_a_minus_b,psnr_a_minus_b,ms_ssim_a_minus_b,lpips_a_minus_b,d_a_minus_b
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,0,0.0,11620,11620,0.0,0.0,0.0,0.0,0.0
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0,P,c227e33d-910e-4e39-a325-0fe1d1116436,0,0,0.0,13098,13098,0.0,0.0,0.0,0.0,0.0
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,0,0.0,11620,11620,0.0,0.0,0.0,0.0,0.0
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0,IP,c227e33d-910e-4e39-a325-0fe1d1116436,0,0,0.0,13098,13098,0.0,0.0,0.0,0.0,0.0
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.1,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,0,0.0,11620,11620,0.0,0.0,0.0,0.0,0.0
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.1,P,c227e33d-910e-4e39-a325-0fe1d1116436,1281,0,1281.0,14379,13098,-2.6009519035838195e-05,0.10561592236006945,0.0017623883772338589,-0.005849187572797121,-3.185870660863538e-05
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.1,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,0,0.0,11620,11620,0.0,0.0,0.0,0.0,0.0
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.1,IP,c227e33d-910e-4e39-a325-0fe1d1116436,1281,0,1281.0,14379,13098,-2.438392409609847e-05,0.09901492721256133,0.0016522391036566386,-0.005483613349497318,-2.9867537445595668e-05
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.25,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1633,0,1633.0,13253,11620,-0.00012657709319272188,0.03936927208509999,0.002239583518302779,-0.004184164603551255,-0.00013076125779627051
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.25,P,c227e33d-910e-4e39-a325-0fe1d1116436,3105,0,3105.0,16203,13098,-5.947479265803156e-05,0.2434514528485856,0.004152879501913231,-0.014516665538152035,-7.399145819618307e-05
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.25,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1633,0,1633.0,13253,11620,-0.00011866602486817687,0.0369086925797788,0.0020996095484089317,-0.003922654315829277,-0.0001225886791840075
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.25,IP,c227e33d-910e-4e39-a325-0fe1d1116436,3105,0,3105.0,16203,13098,-5.575761811690448e-05,0.2282357370455408,0.003893324533043474,-0.013609373942017555,-6.936699205892195e-05
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.5,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4766,0,4766.0,16386,11620,-0.00037261042203085015,0.11680656442778314,0.0066061678552549186,-0.012406426668167103,-0.00038501684869901576
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.5,P,c227e33d-910e-4e39-a325-0fe1d1116436,6104,0,6104.0,19202,13098,-0.00010449592344658528,0.4325673129426697,0.007646736221897488,-0.028426483273506165,-0.00013292240672009093
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.5,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4766,0,4766.0,16386,11620,-0.000349322270653922,0.10950615415104537,0.006193282364301389,-0.01163102500140667,-0.000360953295655329
Train2,M2_MINUS_M1,M2_E_FRAME,M1_E_SEQUENCE,0.5,IP,c227e33d-910e-4e39-a325-0fe1d1116436,6104,0,6104.0,19202,13098,-9.796492823117365e-05,0.4055318558837513,0.0071688152080287,-0.02664982806891203,-0.0001246147563000856
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,0,0.0,11620,11620,0.0,0.0,0.0,0.0,0.0
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0,P,c227e33d-910e-4e39-a325-0fe1d1116436,0,0,0.0,13098,13098,0.0,0.0,0.0,0.0,0.0
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,0,0.0,11620,11620,0.0,0.0,0.0,0.0,0.0
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0,IP,c227e33d-910e-4e39-a325-0fe1d1116436,0,0,0.0,13098,13098,0.0,0.0,0.0,0.0,0.0
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0.1,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,734,0,734.0,12354,11620,-5.845141810447742e-05,0.01705764006108268,0.0006979429207961685,-0.0005093355973561642,-5.896075370183211e-05
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0.1,P,c227e33d-910e-4e39-a325-0fe1d1116436,1236,0,1236.0,14334,13098,-2.6726929216092446e-05,0.10719819412231146,0.0016221259593008908,-0.005406520764032974,-3.213344998012494e-05
