split,video,stream,stream_sha256,frame_count,all_rgb_hashes_exact,zero_exact_frames,base_state_unchanged,source_guard_active_negative_test,receiver_output,receiver_output_sha256
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_GUARD_a0p25.orc2,cb710859f5b1f0efd88253e490f580d0b41b1f5c62737ae3290ebedcc9523d7d,16,True,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_cb710859f5b1f0ef.json,01a5ceebc181dc747d51036b7d9576c1d3897588458e62e42e220c9aede60341
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_GUARD_a0p5.orc2,f4c31a575db5fba747b5058d080998ddaf8734ba038df6cd5cd8d0830c6b049a,16,True,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f4c31a575db5fba7.json,c71bfaa51dd7ac42a77e1a4795b50a17b15a6a1652410d93c0c2e981c366963e
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p1.orc2,6879f8ef23c7c459066e155bd54b0f46d2216fcfb9c656969569d980922cd218,16,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_6879f8ef23c7c459.json,d064d8d192e9b0f59f4f3c4408d8136354e4021293aa5d3c22f5f08db2c52a34
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p25.orc2,ddce4a4c3a1f96e95e706bb592057bedcfac9c762e4138d85224e2382f71c88a,16,True,"[1, 2, 3, 5, 7, 8, 9, 10, 11, 12]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_ddce4a4c3a1f96e9.json,617ad268a6a823d4e8f53ff8c26ba48e51d16723bdc2331b571e5f9218d78a09
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p5.orc2,7e03320d743c891dd262ebb7d128fb4d04097325610882c622a454e05be2f581,16,True,"[2, 3, 5, 9, 10]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_7e03320d743c891d.json,98c926e4f272f08a3a681fa06ffaf0d8f7220e236cff6c08af4670234604f523
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_GUARD_a0p1.orc2,c525f375825e13734651d5aaa2a5d2c3f5669f0df347a03ca345d6f159a8807d,16,True,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_c525f375825e1373.json,df7018c2c9f37f4c188be7178c5072f714984027a765449340b6250e1d69cc59
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_GUARD_a0p25.orc2,373bc099c6da9f2c9f44a7ada9f97f9824890d5e2634066814e72add3724376b,16,True,"[3, 4, 5, 6, 7, 9, 10, 11, 12, 13]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_373bc099c6da9f2c.json,dc291a4ec1ddd752d04a7da82d89e980610193353e5fdd1ecac28280b8c7c0ab
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_GUARD_a0p5.orc2,3b3734d990e3c1718c9ae0053b98fb22ccd797aa023bfe7d0d6de5a5cdb27c2b,16,True,"[3, 5, 6, 7, 9]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_3b3734d990e3c171.json,334c88dcc07372d31af13083b0e2d58b2b3a506314af10aae8a8b46e95f05854
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M4_O_FRAME_GUARD_a0p1.orc2,69bb970c239d919922ed27c39674bce1741af6e35528f90ae14beb8691a1d7c6,16,True,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_69bb970c239d9199.json,64172351781b42c25ca7a7fc9e70b13c040159b5bfd16be04724a86bc207ab5e
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M4_O_FRAME_GUARD_a0p25.orc2,02c55a5bc1827302dcd057cefc182fab989fec69fde0291ea20cb224b2a637f3,16,True,"[3, 5, 6, 7, 9, 10, 11, 12, 13]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_02c55a5bc1827302.json,592f285e1654c732d3f6079876e2df7369bfd4619e420a3ec33031c63451819e
