scope,dataset,video,method,qp,bitstream_path,bitstream_bytes,bitstream_sha256,real_rans
validation,validation,validation_0,beta_low,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_final_qp1.bin,12534,06f205a1479e3248ad48de1367e70e48a335d4fb48f041ead1dab2939c2b15d3,True
validation,validation,validation_0,beta_low,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_final_qp3.bin,21012,a82fc5ff3b9d072e457af39afc6c919a0019abaf97a4efc790b464356a112de0,True
validation,validation,validation_0,beta_low,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_0000_qp1.bin,12183,73e2ddbbe1d975c2a8d4de12b6b525f190aa6dbe9792387f37eeb0f74ddfcd66,True
validation,validation,validation_0,beta_low,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_0000_qp3.bin,20176,7f279930f89e078ae837e2ef1672e01b24120eaa770ab9362f69ee3ebd952c8d,True
validation,validation,validation_0,beta_low,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_0500_qp1.bin,12397,01eda6a2b0b3b196601a02c5716af8da43959f051d0951a6692d20a9b6341ed8,True
validation,validation,validation_0,beta_low,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_0500_qp3.bin,20344,20e97eff142f0a46508a08fae9314ef0350ae67f4fc2dc784ec400f5ffc7b381,True
validation,validation,validation_0,beta_low,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_1000_qp1.bin,12442,ca62c6f8d019d3940646711dc5b9b69618320d294e02245dfe16a2b89e878756,True
validation,validation,validation_0,beta_low,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_1000_qp3.bin,20715,f3d31af8859839ecc8a2cae10e3381262253552b72f82e4b4e29f24def7dfba0,True
validation,validation,validation_0,beta_low,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_2000_qp1.bin,12501,2c6503c9f2390d7a0eee3001ff30b1ce0edadc38a87db2e86acdafa2472d96d3,True
validation,validation,validation_0,beta_low,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_2000_qp3.bin,20757,83478ddc6a3131bad722323e37156360071538309bede1e733ea7ca075566472,True
validation,validation,validation_0,beta_low,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_5000_qp1.bin,12534,06f205a1479e3248ad48de1367e70e48a335d4fb48f041ead1dab2939c2b15d3,True
validation,validation,validation_0,beta_low,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_low_step_5000_qp3.bin,21012,a82fc5ff3b9d072e457af39afc6c919a0019abaf97a4efc790b464356a112de0,True
validation,validation,validation_0,beta_mid,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_final_qp1.bin,12429,07f81e7cbc091559cf9f70918cd8e69f3d30a38153643077f679d1793c4681f8,True
validation,validation,validation_0,beta_mid,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_final_qp3.bin,20743,56409c6eb4736053e67f4bdd7f13ac48c13a6172f2e8e74ac4e0d7db17b55455,True
validation,validation,validation_0,beta_mid,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_0000_qp1.bin,12183,73e2ddbbe1d975c2a8d4de12b6b525f190aa6dbe9792387f37eeb0f74ddfcd66,True
validation,validation,validation_0,beta_mid,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_0000_qp3.bin,20176,7f279930f89e078ae837e2ef1672e01b24120eaa770ab9362f69ee3ebd952c8d,True
validation,validation,validation_0,beta_mid,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_0500_qp1.bin,12283,6ce3d41f833c99751316cff4f8e9bc124c55d30926545b6854935ab91197cedc,True
validation,validation,validation_0,beta_mid,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_0500_qp3.bin,20517,e10a93bfe065f23a08eb1892af2f7badf1957d71bdb394fca46dd97e17eb3d05,True
validation,validation,validation_0,beta_mid,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_1000_qp1.bin,12454,67a9acdbdb293940e3f7ba39b9a9282c86d6075ef5bf25b041b0cc235acf212a,True
validation,validation,validation_0,beta_mid,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_1000_qp3.bin,20791,82d4fd682c55b6b00688c6986f1d89973b3bffec4f44a3dbdc6ba1c001fcc392,True
validation,validation,validation_0,beta_mid,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_2000_qp1.bin,12344,a574035719b9fda3d3a31122a20c8a58e72a8df74ab8cd24b2c0838465670d14,True
validation,validation,validation_0,beta_mid,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/validation/beta_mid_step_2000_qp3.bin,20671,b77ff00e91954e2057bff0917bb0e54c510cef562f4b69e0ae86ad5e878454ee,True
