dataset,video,video_id,video_tag,method,qp,num_frames,fps,checkpoint,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,sequence_PSNR,mean_PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,model_hash_before,model_hash_after,independent_decode_pass,bytes_consumed,finite
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,0,64,30.0,,47024,376192,0.0028346836419753086,176.34,2160712.4921875,0.00542713681366218,22.65429230075288,22.927000567459846,0.9679370699450374,0.8605545097962022,0.16652561782393605,0.09301046747714281,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/original_qp0.bin,5cc416a794a5e1045149867084a2d698d060296238df212bbe2cc05171c6961f,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,47024,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,1,64,30.0,,57653,461224,0.003475417148919753,216.19875,1924817.673828125,0.0048346315833276195,23.15636615153688,23.3931136129444,0.971456041559577,0.8729848386719823,0.15376342937815934,0.08793372195214033,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/original_qp1.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,57653,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,2,64,30.0,,76829,614632,0.004631377797067901,288.10875,1614713.5146484375,0.004055732167306751,23.919307326937993,24.173003372312415,0.9761974522843957,0.893662822432816,0.1305051976814866,0.07781535759568214,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/original_qp2.bin,8803aa44de557839d7f6f3261007e8c5e0919f7bf1a25e1f86abac81ae8c9e83,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,76829,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,original,3,64,30.0,,96549,772392,0.005820131655092592,362.05875,1422782.962890625,0.003573653516455442,24.46887556806852,24.711729744258577,0.9791335090994835,0.9062660690397024,0.11635798751376569,0.07021369971334934,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/original_qp3.bin,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,96549,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_low,0,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_low/step_0000.pt,47024,376192,0.0028346836419753086,176.34,2160712.4921875,0.00542713681366218,22.65429230075288,22.927000567459846,0.9679370699450374,0.8605545097962022,0.16652561782393605,0.09301046747714281,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_low_qp0.bin,5cc416a794a5e1045149867084a2d698d060296238df212bbe2cc05171c6961f,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,47024,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_low,1,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_low/step_0000.pt,57653,461224,0.003475417148919753,216.19875,1924817.673828125,0.0048346315833276195,23.15636615153688,23.3931136129444,0.971456041559577,0.8729848386719823,0.15376342937815934,0.08793372195214033,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_low_qp1.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,57653,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_low,2,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_low/step_0000.pt,76829,614632,0.004631377797067901,288.10875,1614713.5146484375,0.004055732167306751,23.919307326937993,24.173003372312415,0.9761974522843957,0.893662822432816,0.1305051976814866,0.07781535759568214,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_low_qp2.bin,8803aa44de557839d7f6f3261007e8c5e0919f7bf1a25e1f86abac81ae8c9e83,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,76829,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_low,3,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_low/step_0000.pt,96549,772392,0.005820131655092592,362.05875,1422782.962890625,0.003573653516455442,24.46887556806852,24.711729744258577,0.9791335090994835,0.9062660690397024,0.11635798751376569,0.07021369971334934,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_low_qp3.bin,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,96549,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_mid,0,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/step_0000.pt,47024,376192,0.0028346836419753086,176.34,2160712.4921875,0.00542713681366218,22.65429230075288,22.927000567459846,0.9679370699450374,0.8605545097962022,0.16652561782393605,0.09301046747714281,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_mid_qp0.bin,5cc416a794a5e1045149867084a2d698d060296238df212bbe2cc05171c6961f,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,47024,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,beta_mid,1,64,30.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/checkpoints/beta_mid/step_0000.pt,57653,461224,0.003475417148919753,216.19875,1924817.673828125,0.0048346315833276195,23.15636615153688,23.3931136129444,0.971456041559577,0.8729848386719823,0.15376342937815934,0.08793372195214033,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v1/bitstreams/test/fresh_ulong_00/beta_mid_qp1.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,True,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,dc801029e38d414bbd3c80f536431e082aac67ce7dc7c411c41e5e8b7151d384,True,57653,True
