dataset,video,video_id,metric,original_qp,original_kbps,original_metric,wrapper_beta,wrapper_qp,wrapper_kbps,wrapper_metric,rate_saving_percent
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,LPIPS,0,176.34,0.16652561782393605,beta_low,0,176.34,0.16652561782393605,0.0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,DISTS,0,176.34,0.09301046747714281,beta_low,0,176.34,0.09301046747714281,0.0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,LPIPS,1,216.19875,0.15376342937815934,beta_low,1,216.19875,0.15376342937815934,0.0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,DISTS,1,216.19875,0.08793372195214033,beta_low,1,216.19875,0.08793372195214033,0.0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,LPIPS,2,288.10875,0.1305051976814866,beta_low,2,288.10875,0.1305051976814866,0.0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,DISTS,2,288.10875,0.07781535759568214,beta_low,2,288.10875,0.07781535759568214,0.0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,LPIPS,3,362.05875,0.11635798751376569,beta_low,3,362.05875,0.11635798751376569,0.0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,DISTS,3,362.05875,0.07021369971334934,beta_low,3,362.05875,0.07021369971334934,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,LPIPS,0,157.1103896103896,0.15226008952595294,beta_low,0,157.1103896103896,0.15226008952595294,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,DISTS,0,157.1103896103896,0.104271843098104,beta_low,0,157.1103896103896,0.104271843098104,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,LPIPS,1,195.0974025974026,0.13170657213777304,beta_low,1,195.0974025974026,0.13170657213777304,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,DISTS,1,195.0974025974026,0.09059106092900038,beta_low,1,195.0974025974026,0.09059106092900038,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,LPIPS,2,239.97002997002997,0.11544713017065078,beta_low,2,239.97002997002997,0.11544713017065078,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,DISTS,2,239.97002997002997,0.0836072014644742,beta_low,2,239.97002997002997,0.0836072014644742,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,LPIPS,3,295.9015984015984,0.10236039548180997,beta_low,3,295.9015984015984,0.10236039548180997,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,DISTS,3,295.9015984015984,0.07474138494580984,beta_low,3,295.9015984015984,0.07474138494580984,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,0,103.50899100899102,0.08790032682009041,beta_low,0,103.50899100899102,0.08790032682009041,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,0,103.50899100899102,0.08626880310475826,beta_low,0,103.50899100899102,0.08626880310475826,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,1,132.28771228771228,0.07801714935339987,beta_low,1,132.28771228771228,0.07801714935339987,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,1,132.28771228771228,0.07741482742130756,beta_low,1,132.28771228771228,0.07741482742130756,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,2,170.96403596403596,0.07108415098628029,beta_low,2,170.96403596403596,0.07108415098628029,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,2,170.96403596403596,0.07177437469363213,beta_low,2,170.96403596403596,0.07177437469363213,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,3,226.52472527472526,0.06322736787842587,beta_low,3,226.52472527472526,0.06322736787842587,0.0
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,3,226.52472527472526,0.06645642593502998,beta_low,3,226.52472527472526,0.06645642593502998,0.0
uvg,Beauty,0,LPIPS,0,243.39,0.2069778407458216,beta_low,0,243.39,0.2069778407458216,0.0
uvg,Beauty,0,DISTS,0,243.39,0.15467291325330734,beta_low,0,243.39,0.15467291325330734,0.0
uvg,Beauty,0,LPIPS,1,330.855,0.16401762492023408,beta_low,1,330.855,0.16401762492023408,0.0
