scope,dataset,video,method,stage,qp,bitstream_path,bitstream_bytes,bitstream_sha256,real_rans
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_0000_qp1.bin,12183,73e2ddbbe1d975c2a8d4de12b6b525f190aa6dbe9792387f37eeb0f74ddfcd66,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_0000_qp3.bin,20176,7f279930f89e078ae837e2ef1672e01b24120eaa770ab9362f69ee3ebd952c8d,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_1000_qp1.bin,12411,ca0e6b698b30bd7a5193c1f4e8265296a0e63c6ef1fcd53a384a6703119d2459,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_1000_qp3.bin,20556,508a54fe000214eaf8d3d189078908d4fc3a7f59eb8078799039f3b4c1c9c92a,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_2000_qp1.bin,12768,7b9a26eb39330df0629c97ced0f523ea3b20540a6c37a34ab56b18d48c5c41b6,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_2000_qp3.bin,20854,c3e2179ee2854aa1f857e6ffe0029bd90a034a38f760d16d288d203cb1909126,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_0000_qp1.bin,12768,7b9a26eb39330df0629c97ced0f523ea3b20540a6c37a34ab56b18d48c5c41b6,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_0000_qp3.bin,20854,c3e2179ee2854aa1f857e6ffe0029bd90a034a38f760d16d288d203cb1909126,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_0500_qp1.bin,11899,447c9dd4326ede7aae45c722e1ffc9f2c75519bb806666ddb83e8f7af6a53cc6,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_0500_qp3.bin,19774,f04a1ee85bdcaabfe14231abc80f470f450c6ba96449f925a6108fa5e0b0b608,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_1000_qp1.bin,11985,3ee3173027b3300b10991747cd1f05a6de6eaa82bd0a390249c75e8f7136b464,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_1000_qp3.bin,19867,ff97371b74921b6a4286d059b600d94f345abce09354269bf2558316002e4d2a,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_2000_qp1.bin,11892,8f6ed65d8b1741e2acafb00d86707929e2c3e8c2f1789b090b9a380ca39111b5,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_2000_qp3.bin,19712,8a76f407a1f8349f88dd63d69dbea868740b9cd17f432d3c380b90717ccd237b,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_5000_qp1.bin,11374,9d6c306d285d0cefc1169573f2513017ee8b1c36a2fd28c91742130f6c3851ed,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_5000_qp3.bin,18900,9b7cbce3a3d412c9111f1601698c6309a80af8cf477562bdd1ba7f904dd829e0,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_0000_qp1.bin,12768,7b9a26eb39330df0629c97ced0f523ea3b20540a6c37a34ab56b18d48c5c41b6,True
