stage,beta,beta_value,step,video,qp,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,compression_hash_before,compression_hash_after,bytes_consumed,decode_status,independent_decode_pass,finite
A,none,0.0,0,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,12183,97464,0.005875289351851852,365.49,340472.87109375,0.006841420538631487,21.648537128946074,0.9212493896484375,0.7346656918525696,0.27775608003139496,0.15123480558395386,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_0000_qp1.bin,73e2ddbbe1d975c2a8d4de12b6b525f190aa6dbe9792387f37eeb0f74ddfcd66,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,12183,PASS,True,True
A,none,0.0,0,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,20176,161408,0.009729938271604939,605.28,289370.3681640625,0.005814573048564141,22.354821690628,0.9329980462789536,0.793661579489708,0.2393733114004135,0.12848497182130814,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_0000_qp3.bin,7f279930f89e078ae837e2ef1672e01b24120eaa770ab9362f69ee3ebd952c8d,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,20176,PASS,True,True
A,none,0.0,1000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,12411,99288,0.005985243055555555,372.33,357327.66796875,0.007180098780879268,21.43869580869722,0.9203527197241783,0.7375243455171585,0.25271741673350334,0.14503474533557892,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_1000_qp1.bin,ca0e6b698b30bd7a5193c1f4e8265296a0e63c6ef1fcd53a384a6703119d2459,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,12411,PASS,True,True
A,none,0.0,1000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,20556,164448,0.009913194444444445,616.68,302450.146484375,0.006077396526258178,22.162824267187116,0.9327608346939087,0.7971221506595612,0.22110264748334885,0.1270049661397934,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_1000_qp3.bin,508a54fe000214eaf8d3d189078908d4fc3a7f59eb8078799039f3b4c1c9c92a,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,20556,PASS,True,True
A,none,0.0,2000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,12768,102144,0.0061574074074074074,383.04,393659.875,0.007910153738265174,21.018150756639685,0.9134660065174103,0.7267123237252235,0.25278439559042454,0.16803347319364548,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_2000_qp1.bin,7b9a26eb39330df0629c97ced0f523ea3b20540a6c37a34ab56b18d48c5c41b6,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,12768,PASS,True,True
A,none,0.0,2000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,20854,166832,0.010056905864197531,625.62,334576.375,0.006722937061953447,21.72440954456159,0.9265279173851013,0.7882126495242119,0.218875702470541,0.1405101865530014,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/joint_warmup/step_2000_qp3.bin,c3e2179ee2854aa1f857e6ffe0029bd90a034a38f760d16d288d203cb1909126,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,20854,PASS,True,True
B,beta_low,11.535188183693629,0,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,12768,102144,0.0061574074074074074,383.04,393659.875,0.007910153738265174,21.018150756639685,0.9134660065174103,0.7267123237252235,0.25278439559042454,0.16803347319364548,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_0000_qp1.bin,7b9a26eb39330df0629c97ced0f523ea3b20540a6c37a34ab56b18d48c5c41b6,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,12768,PASS,True,True
B,beta_low,11.535188183693629,0,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,20854,166832,0.010056905864197531,625.62,334576.375,0.006722937061953447,21.72440954456159,0.9265279173851013,0.7882126495242119,0.218875702470541,0.1405101865530014,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_0000_qp3.bin,c3e2179ee2854aa1f857e6ffe0029bd90a034a38f760d16d288d203cb1909126,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,20854,PASS,True,True
B,beta_low,11.535188183693629,500,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,11899,95192,0.005738329475308642,356.97,415818.837890625,0.008355413248509537,20.780320655660354,0.9129850193858147,0.7200687751173973,0.26141047291457653,0.16319503635168076,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_0500_qp1.bin,447c9dd4326ede7aae45c722e1ffc9f2c75519bb806666ddb83e8f7af6a53cc6,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,11899,PASS,True,True
B,beta_low,11.535188183693629,500,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,19774,158192,0.009536072530864198,593.22,356219.947265625,0.007157840375547056,21.45217990884834,0.9263943955302238,0.7820842042565346,0.22560719773173332,0.1467972844839096,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_0500_qp3.bin,f04a1ee85bdcaabfe14231abc80f470f450c6ba96449f925a6108fa5e0b0b608,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,19774,PASS,True,True
