dataset,video,video_id,method,stage,beta,num_frames,PSNR,LPIPS,DISTS,mean_absolute_difference,source_high_frequency_energy,proxy_high_frequency_energy,high_frequency_energy_difference
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,v2_stage_a,A,none,64,34.149191853868274,0.017652729264227673,0.012546590529382229,0.01582184863218572,0.0009351752223665244,0.001254499643437157,0.0003193244210706325
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,v2_beta_low,B,beta_low,64,23.41283554837528,0.0338881692441646,0.030594421550631523,0.060545960965100676,0.0009351752223665244,0.0007960441357681702,-0.00013913108659835416
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,v2_beta_mid,B,beta_mid,64,13.069910084313467,0.4214937877841294,0.21364174596965313,0.1771671841852367,0.0009351752223665244,0.00046114690826470905,-0.00047402831410181534
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,v2_beta_high,B,beta_high,64,7.168933763110366,0.5488540250808001,0.4656058605760336,0.3555695852264762,0.0009351752223665244,0.00013782672886009095,-0.0007973484935064334
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,v2_stage_a,A,none,64,36.43808173244964,0.01455635909223929,0.010094511322677135,0.012043433715007268,0.00021806149811709474,0.00024886891469577677,3.080741657868202e-05
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,v2_beta_low,B,beta_low,64,27.19891176699846,0.057381574471946806,0.053366661071777344,0.038475374691188335,0.00021806149811709474,0.0001591712693880254,-5.889022872906935e-05
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,v2_beta_mid,B,beta_mid,64,9.201937342935958,0.634226287715137,0.29895444586873055,0.3126496593467891,0.00021806149811709474,0.00013268114878428605,-8.538034933280869e-05
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,v2_beta_high,B,beta_high,64,2.9597690271226664,0.8577193068340421,0.4961701687425375,0.6969353528693318,0.00021806149811709474,8.98631997188204e-05,-0.00012819829839827435
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,v2_stage_a,A,none,64,37.028308057349385,0.012899439650936984,0.01584700681269169,0.011681187301292084,0.0003497074626466201,0.0004751533328999358,0.00012544587025331566
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,v2_beta_low,B,beta_low,64,24.64778599763617,0.031790652574272826,0.033130478113889694,0.05321069061756134,0.0003497074626466201,0.00029444195774885884,-5.5265504897761275e-05
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,v2_beta_mid,B,beta_mid,64,14.751857299663776,0.4213965800590813,0.21706809010356665,0.15740844467654824,0.0003497074626466201,0.00014606252170779044,-0.00020364494093882968
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,v2_beta_high,B,beta_high,64,8.697893781102325,0.40843182569369674,0.4117030967026949,0.3358845766633749,0.0003497074626466201,3.479730830235894e-05,-0.00031491015434426117
uvg,Beauty,0,v2_stage_a,A,none,64,34.36861369225083,0.013996297886478715,0.010571603663265705,0.017445754288928583,0.00011410404579237365,0.00011980650947407412,5.702463681700465e-06
uvg,Beauty,0,v2_beta_low,B,beta_low,64,29.8077322345629,0.024780719075351954,0.06477967090904713,0.0299303148931358,0.00011410404579237365,0.00011158515349052323,-2.5188923018504283e-06
uvg,Beauty,0,v2_beta_mid,B,beta_mid,64,11.727944669233752,0.3902609618380666,0.20129455160349607,0.21881115343421698,0.00011410404579237365,0.00011960836457092228,5.5043187785486225e-06
uvg,Beauty,0,v2_beta_high,B,beta_high,64,5.949636821264408,0.4967575636692345,0.30149516370147467,0.49040440982207656,0.00011410404579237365,9.442336090614845e-05,-1.9680684886225208e-05
uvg,Bosphorus,1,v2_stage_a,A,none,64,36.134509157178165,0.009534661934594624,0.00992108229547739,0.012797800125554204,9.679206834789511e-05,0.00011140620597416273,1.461413762626762e-05
uvg,Bosphorus,1,v2_beta_low,B,beta_low,64,28.655280950175563,0.025332715100375935,0.038562784902751446,0.035028357815463096,9.679206834789511e-05,9.390496518335567e-05,-2.8871031645394396e-06
uvg,Bosphorus,1,v2_beta_mid,B,beta_mid,64,13.93421319432929,0.5081020714715123,0.20038058143109083,0.1741455653682351,9.679206834789511e-05,9.519343791453139e-05,-1.5986304333637236e-06
uvg,Bosphorus,1,v2_beta_high,B,beta_high,64,7.615143236795582,0.594443691894412,0.33338179625570774,0.40787019953131676,9.679206834789511e-05,3.712559009727556e-05,-5.966647825061955e-05
uvg,HoneyBee,2,v2_stage_a,A,none,64,36.32487829461104,0.008326159586431459,0.009133786894381046,0.013343735699891113,0.00011224969182421773,0.00012226750254740182,1.0017810723184084e-05
uvg,HoneyBee,2,v2_beta_low,B,beta_low,64,28.197046211616648,0.030176767410011962,0.05711942072957754,0.03409691387787461,0.00011224969182421773,0.00010064727814551588,-1.160241367870185e-05
uvg,HoneyBee,2,v2_beta_mid,B,beta_mid,64,13.032721815081583,0.5657807318493724,0.24179860576987267,0.18545914837159216,0.00011224969182421773,9.187791636122711e-05,-2.0371775462990627e-05
uvg,HoneyBee,2,v2_beta_high,B,beta_high,64,6.54461482790881,0.7216789443045855,0.39109173510223627,0.4594038217328489,0.00011224969182421773,6.747272902885015e-05,-4.477696279536758e-05
