dataset,video,video_id,video_tag,method,qp,bytes,bitstream_path,bitstream_sha256,real_rans
uvg,Beauty,0,uvg_00,original,0,21904,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/original_qp0.bin,1d905f588d49c5773b0f1c5476b84649a02197ba000e60c77125ee7cf6ccf81f,True
uvg,Beauty,0,uvg_00,original,1,29642,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/original_qp1.bin,18902889a39c9b50551761a48f4f0ebfabddfa1643eb9952a0cf7734992ee880,True
uvg,Beauty,0,uvg_00,original,2,40313,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/original_qp2.bin,41093be04843561c2824f09de50739922cf78e720f8c0b548eb31143d4d59160,True
uvg,Beauty,0,uvg_00,original,3,56589,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/original_qp3.bin,b38df4e4fb834299ab30907b936cb3a734eaa90ec0480c6d7d9608481cb5e727,True
uvg,Beauty,0,uvg_00,stage_a,0,23804,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/stage_a_qp0.bin,b0ea34f8eaabb84dd4937327118a95ee9ef40f3425c1cd95845dd66a4eb50591,True
uvg,Beauty,0,uvg_00,stage_a,1,31559,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/stage_a_qp1.bin,c22b18f76ac3fe46fe8fdf7c74d2bd0e87983bb8d0162fd8cb5301781fcb875c,True
uvg,Beauty,0,uvg_00,stage_a,2,44687,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/stage_a_qp2.bin,40d59a411c96919783ff958a8435f1b70af38865fbbf891b349a525fff162dfd,True
uvg,Beauty,0,uvg_00,stage_a,3,64156,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/stage_a_qp3.bin,df7d8c5b292fea5d6ceac651011b75e8a2f2afe1c616cceea9c573983fe7fd72,True
uvg,Beauty,0,uvg_00,beta_low,0,18550,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_low_qp0.bin,27c8e6aac2c50b3031f4e1e590611e89328716fe55d9529540146ee1e059a111,True
uvg,Beauty,0,uvg_00,beta_low,1,24760,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_low_qp1.bin,e961198166da2f3dd988b518ca596c8496ba78d92dd2b7e174bc780695fceaee,True
uvg,Beauty,0,uvg_00,beta_low,2,32955,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_low_qp2.bin,146a68c6acf6228597c8b16c015c0153b79f5dcbc57ad02d5becc5e7bf8a46d0,True
uvg,Beauty,0,uvg_00,beta_low,3,44799,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_low_qp3.bin,85daca55858435bc523e05863de056d6dcf25526006e81da2726cfc53dcc974b,True
uvg,Beauty,0,uvg_00,beta_mid,0,15371,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_mid_qp0.bin,847d3e5780b0e0eab870e760020bca59e557e2caa665e9ec5f9ab537b0ecc56a,True
uvg,Beauty,0,uvg_00,beta_mid,1,19468,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_mid_qp1.bin,a00e24545ba23ac7388d42d50bb1803ec39e8ab669cf999791ed441349c7edd6,True
uvg,Beauty,0,uvg_00,beta_mid,2,26455,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_mid_qp2.bin,907f3c994fa3ebe5f7ee8e92f940a00f35b1f6f1c99255fe9dcfa40c743a774a,True
uvg,Beauty,0,uvg_00,beta_mid,3,34801,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_mid_qp3.bin,dc659114eebe9735fda6ceab1cb37d44ab22b68ad5308b0521e1946c4acba8f2,True
uvg,Beauty,0,uvg_00,beta_high,0,9364,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_high_qp0.bin,eb0f8c65688e6c8e3d81e6b1949374548e0c0cfe388d21deb25c2f1c839094eb,True
uvg,Beauty,0,uvg_00,beta_high,1,11591,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_high_qp1.bin,2fa807c92cb30552e6142b1a55ebd1728c0a9b0a96cb76eff2bd0ef00ff236c2,True
uvg,Beauty,0,uvg_00,beta_high,2,15860,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_high_qp2.bin,ca9e61838aa8aa89501e3b8e2fc23ca0d38741af9fe479a180761afb7121d368,True
uvg,Beauty,0,uvg_00,beta_high,3,21007,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_high_qp3.bin,c455f327cd815c8035e5d7c09efdd675477bdb4a03555c4779a0901f62510c9a,True
uvg,Bosphorus,1,uvg_01,original,0,26465,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/original_qp0.bin,20e438748adacbe30e028e0a581f3e4ecd55448af272ba5306a603e3cc4fcba3,True
uvg,Bosphorus,1,uvg_01,original,1,34338,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/original_qp1.bin,559e8568c4c4da6ccecf1f50949a530162944e4cf4a5a98df1fa17423386b086,True
uvg,Bosphorus,1,uvg_01,original,2,46098,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/original_qp2.bin,ef147669689553f61856fefe9f67fb9f9fa3d959f3cf43c27b7e2b74df8b6dc7,True
uvg,Bosphorus,1,uvg_01,original,3,60395,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/original_qp3.bin,34875667fe01b1b2403d786948c1cdbbcf3d598bae2d15be7afc1b04f8af0586,True
uvg,Bosphorus,1,uvg_01,stage_a,0,27237,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/stage_a_qp0.bin,59e0c0e778644f49ff76d6f415c9fbfdbb5e92cc747dc0ca269abaa5d8141347,True
uvg,Bosphorus,1,uvg_01,stage_a,1,34898,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/stage_a_qp1.bin,0ceabedd88351aa8b5afc0177ab44962a97ceeb9edcd8d6224c93b69957b0b7e,True
uvg,Bosphorus,1,uvg_01,stage_a,2,47730,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/stage_a_qp2.bin,91312e4a898b6ebc5ac83277429155c375aff3e8270a997a691d12fc553a0bba,True
uvg,Bosphorus,1,uvg_01,stage_a,3,62710,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/stage_a_qp3.bin,fbc9af9a44cbc81e324e801c29f541399e0b9720f26dd6909e8ac164a1d549b5,True
uvg,Bosphorus,1,uvg_01,beta_low,0,24977,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_low_qp0.bin,37aadb856d481b0d1afc95baf1cf47f84602893d35d3f756078a943ee685f086,True
uvg,Bosphorus,1,uvg_01,beta_low,1,32517,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_low_qp1.bin,9211d08ca20a55e43fa61a9a37eac6beca5092ecbfb603cc25149f7ca7eff738,True
uvg,Bosphorus,1,uvg_01,beta_low,2,42877,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_low_qp2.bin,0af8c94b711f7ae9d3e8b2ed6dffaf5341262678f65a58cbc629d345efd204c8,True
uvg,Bosphorus,1,uvg_01,beta_low,3,56838,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_low_qp3.bin,53e95a791abb43b825f37be227c03915537acb782a62edbdc725a207e5f8e6ee,True
uvg,Bosphorus,1,uvg_01,beta_mid,0,22837,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_01/beta_mid_qp0.bin,2cc8e671017fc4b51d11617938ee2b1151f793c2361cf23ec8df58e4a24c5f90,True
