dataset,video,video_id,video_tag,test_group,method,stage,beta,checkpoint,checkpoint_sha256,qp,num_frames,fps,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,compression_hash_before,compression_hash_after,bytes_consumed,decode_status,independent_decode_pass,finite
uvg,Beauty,0,uvg_00,original_v2_test,original,original,none,,,0,64,120.0,21904,175232,0.001320408950617284,328.56,843687.265625,0.002119118686566137,26.738447188544384,0.9782766960561275,0.8197846682742238,0.27794505283236504,0.1660209707915783,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/original_qp0.bin,1d905f588d49c5773b0f1c5476b84649a02197ba000e60c77125ee7cf6ccf81f,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,21904,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,original,original,none,,,1,64,120.0,29642,237136,0.0017868682484567901,444.63,764725.025390625,0.0019207864779013175,27.165209103195803,0.9802539944648743,0.83133399579674,0.2685878658667207,0.15844292100518942,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/original_qp1.bin,18902889a39c9b50551761a48f4f0ebfabddfa1643eb9952a0cf7734992ee880,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,29642,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,original,original,none,,,2,64,120.0,40313,322504,0.002430133584104938,604.695,692783.150390625,0.0017400875650806192,27.594288965021985,0.9820586489513516,0.8412406854331493,0.2635465713683516,0.15148985385894775,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/original_qp2.bin,41093be04843561c2824f09de50739922cf78e720f8c0b548eb31143d4d59160,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,40313,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,original,original,none,,,3,64,120.0,56589,452712,0.003411277488425926,848.835,647210.7158203125,0.0016256216941056428,27.889805136484487,0.9832150768488646,0.8483447013422847,0.25653645931743085,0.14546181913465261,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/original_qp3.bin,b38df4e4fb834299ab30907b936cb3a734eaa90ec0480c6d7d9608481cb5e727,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,56589,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,stage_a,stage_a,none,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/joint_warmup/step_2000.pt,cd6fe50847ad17772a65966216317bbab203b97f13626150fc6f9dc1c4ecf949,0,64,120.0,23804,190432,0.0014349440586419752,357.06,1011583.0576171875,0.0025408283943011436,25.950246658920875,0.9748722184449434,0.8205607682466507,0.30766843305900693,0.17988536041229963,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/stage_a_qp0.bin,b0ea34f8eaabb84dd4937327118a95ee9ef40f3425c1cd95845dd66a4eb50591,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,23804,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,stage_a,stage_a,none,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/joint_warmup/step_2000.pt,cd6fe50847ad17772a65966216317bbab203b97f13626150fc6f9dc1c4ecf949,1,64,120.0,31559,252472,0.0019024281442901235,473.385,972212.2861328125,0.0024419394564726715,26.12265107813652,0.9759218068793416,0.8289922308176756,0.29689215612597764,0.17253882810473442,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/stage_a_qp1.bin,c22b18f76ac3fe46fe8fdf7c74d2bd0e87983bb8d0162fd8cb5301781fcb875c,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,31559,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,stage_a,stage_a,none,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/joint_warmup/step_2000.pt,cd6fe50847ad17772a65966216317bbab203b97f13626150fc6f9dc1c4ecf949,2,64,120.0,44687,357496,0.002693805459104938,670.305,879201.9560546875,0.002208322171321131,26.559375672561263,0.9780774777755141,0.8385259425267577,0.29133311053738,0.16297823283821344,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/stage_a_qp2.bin,40d59a411c96919783ff958a8435f1b70af38865fbbf891b349a525fff162dfd,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,44687,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,stage_a,stage_a,none,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/joint_warmup/step_2000.pt,cd6fe50847ad17772a65966216317bbab203b97f13626150fc6f9dc1c4ecf949,3,64,120.0,64156,513248,0.0038674286265432097,962.34,815266.435546875,0.002047733097900579,26.887266500706197,0.9795947782695293,0.8448183694854379,0.29819344403222203,0.1613081470131874,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/stage_a_qp3.bin,df7d8c5b292fea5d6ceac651011b75e8a2f2afe1c616cceea9c573983fe7fd72,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,64156,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_low,rate,beta_low,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_low/step_5000.pt,df342823a9a3952b2784fd8665032eb195834ba52a6cec8ebe6bf1595a7c1241,0,64,120.0,18550,148400,0.0011182243441358024,278.25,1279894.443359375,0.0032147554458414086,24.9285205930625,0.9690050166100264,0.7904456257820129,0.34434194676578045,0.2075722236186266,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_low_qp0.bin,27c8e6aac2c50b3031f4e1e590611e89328716fe55d9529540146ee1e059a111,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,18550,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_low,rate,beta_low,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_low/step_5000.pt,df342823a9a3952b2784fd8665032eb195834ba52a6cec8ebe6bf1595a7c1241,1,64,120.0,24760,198080,0.0014925733024691358,371.4,1185061.763671875,0.002976560901712488,25.262852271699842,0.971175235696137,0.8025875715538859,0.33598575089126825,0.1919332556426525,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_low_qp1.bin,e961198166da2f3dd988b518ca596c8496ba78d92dd2b7e174bc780695fceaee,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,24760,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_low,rate,beta_low,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_low/step_5000.pt,df342823a9a3952b2784fd8665032eb195834ba52a6cec8ebe6bf1595a7c1241,2,64,120.0,32955,263640,0.0019865813078703705,494.325,1074425.802734375,0.0026986727057170474,25.68849783365,0.9736869689077139,0.8152149617671967,0.3052205047570169,0.18090372253209352,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_low_qp2.bin,146a68c6acf6228597c8b16c015c0153b79f5dcbc57ad02d5becc5e7bf8a46d0,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,32955,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_low,rate,beta_low,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_low/step_5000.pt,df342823a9a3952b2784fd8665032eb195834ba52a6cec8ebe6bf1595a7c1241,3,64,120.0,44799,358392,0.0027005570023148147,671.985,1000002.9697265625,0.002511742284268509,26.000249231601053,0.9754130179062486,0.8249987196177244,0.29302857420407236,0.17302879504859447,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_low_qp3.bin,85daca55858435bc523e05863de056d6dcf25526006e81da2726cfc53dcc974b,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,44799,PASS,True,True
uvg,Beauty,0,uvg_00,original_v2_test,beta_mid,rate,beta_mid,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_mid/step_5000.pt,c8d76305920bc51d37bccd644481767e4876e59aec827cc92354942fd25902ac,0,64,120.0,15371,122968,0.0009265890239197531,230.565,3861666.24609375,0.009699481593237982,20.132514767865967,0.9269760800525546,0.739337645471096,0.5210474720224738,0.2602019142359495,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/uvg_00/beta_mid_qp0.bin,847d3e5780b0e0eab870e760020bca59e557e2caa665e9ec5f9ab537b0ecc56a,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,15371,PASS,True,True
