dataset,video,video_id,metric,original_qp,original_kbps,original_metric,candidate_method,candidate_beta,candidate_qp,candidate_kbps,candidate_metric,rate_saving_percent,metric_difference
uvg,Beauty,0,LPIPS,0,328.56,0.27794505283236504,stage_a,none,2,670.305,0.29133311053738,-104.01296566837105,0.013388057705014944
uvg,Beauty,0,DISTS,0,328.56,0.1660209707915783,stage_a,none,2,670.305,0.16297823283821344,-104.01296566837105,-0.003042737953364849
uvg,Beauty,0,LPIPS,1,444.63,0.2685878658667207,stage_a,none,2,670.305,0.29133311053738,-50.75568450172052,0.022745244670659304
uvg,Beauty,0,DISTS,1,444.63,0.15844292100518942,stage_a,none,3,962.34,0.1613081470131874,-116.43613791242157,0.0028652260079979897
uvg,Beauty,0,LPIPS,2,604.695,0.2635465713683516,stage_a,none,2,670.305,0.29133311053738,-10.85009798328081,0.0277865391690284
uvg,Beauty,0,DISTS,2,604.695,0.15148985385894775,stage_a,none,3,962.34,0.1613081470131874,-59.14469277900429,0.009818293154239655
uvg,Beauty,0,LPIPS,3,848.835,0.25653645931743085,stage_a,none,2,670.305,0.29133311053738,21.032356111611804,0.034796651219949126
uvg,Beauty,0,DISTS,3,848.835,0.14546181913465261,stage_a,none,3,962.34,0.1613081470131874,-13.371856721270918,0.015846327878534794
uvg,Bosphorus,1,LPIPS,0,396.975,0.16794015024788678,stage_a,none,1,523.47,0.16974432743154466,-31.86472699792178,0.0018041771836578846
uvg,Bosphorus,1,DISTS,0,396.975,0.09777263924479485,stage_a,none,2,715.95,0.09642473794519901,-80.35140751936521,-0.0013479012995958328
uvg,Bosphorus,1,LPIPS,1,515.07,0.146963975392282,stage_a,none,2,715.95,0.14625211735256016,-39.00052420059409,-0.0007118580397218466
uvg,Bosphorus,1,DISTS,1,515.07,0.09024877566844225,stage_a,none,3,940.65,0.09074398316442966,-82.6256625313064,0.0004952074959874153
uvg,Bosphorus,1,LPIPS,2,691.47,0.12621307105291635,beta_low,beta_low,3,852.57,0.1254960331134498,-23.298190810881167,-0.000717037939466536
uvg,Bosphorus,1,DISTS,2,691.47,0.08265662007033825,stage_a,none,3,940.65,0.09074398316442966,-36.036270554037046,0.008087363094091415
uvg,Bosphorus,1,LPIPS,3,905.925,0.11266664904542267,beta_low,beta_low,3,852.57,0.1254960331134498,5.8895603940723475,0.012829384068027139
uvg,Bosphorus,1,DISTS,3,905.925,0.0789403673261404,stage_a,none,3,940.65,0.09074398316442966,-3.8330987664541794,0.01180361583828926
uvg,HoneyBee,2,LPIPS,0,401.7,0.16822499502450228,beta_low,beta_low,1,476.685,0.16939818230457604,-18.666915608663185,0.001173187280073762
uvg,HoneyBee,2,DISTS,0,401.7,0.15075011737644672,beta_low,beta_low,1,476.685,0.1525138271972537,-18.666915608663185,0.0017637098208069801
uvg,HoneyBee,2,LPIPS,1,494.385,0.15264945873059332,beta_low,beta_low,2,589.245,0.15210987906903028,-19.18747534815984,-0.0005395796615630388
