method,qp,video_count,mean_kbps,mean_bpp,mean_LPIPS,mean_DISTS,mean_PSNR,mean_MS_SSIM
original,0,8,124.11726632742258,0.0019957215108989197,0.1726776454161154,0.11719290935434401,25.412601664062084,0.8720583562972024
original,1,8,159.79251436063936,0.00256933895158179,0.1559411571943201,0.10616687417495996,25.89104327992064,0.8863860692363232
original,2,8,209.23988324175824,0.0033643783757716047,0.1402431687383796,0.09782015322707593,26.401448442182478,0.9003563290461898
original,3,8,270.80047795954044,0.0043541953004436725,0.1280411916304729,0.09106145438272506,26.829907517628286,0.9112893702695146
stage_a,0,8,127.16374281968032,0.002044700339988426,0.15482017047179397,0.1131496021989733,24.719891041041855,0.8689871579408646
stage_a,1,8,164.41429991883118,0.002643651138117284,0.13922257717058528,0.10442837793380022,25.16548369009135,0.8836475370917469
stage_a,2,8,213.81293706293707,0.0034379069010416667,0.12564540859602857,0.09724575711879879,25.59543601552301,0.897745338617824
stage_a,3,8,276.0038043206793,0.0044378586757330245,0.11482645879004849,0.09109097172040492,25.946443644841803,0.9085256498074159
beta_low,0,8,112.5125359015984,0.001809134777681327,0.15866716399614234,0.11648095631971955,24.19470103666416,0.8561587983276695
beta_low,1,8,144.9408397852148,0.0023305483217592594,0.14174120797542855,0.10686200170312077,24.68973433372433,0.8734110649675131
beta_low,2,8,185.4712883991009,0.0029822154103973765,0.12875991992041236,0.09833345876540989,25.152639350815868,0.8872672081924975
beta_low,3,8,237.64066230644357,0.003821026837384259,0.11704014139104402,0.09267759113572538,25.56795654062762,0.8992407785262913
beta_mid,0,8,93.23761082667333,0.0014992193528163581,0.23031075501057785,0.16474406886845827,20.44239725289838,0.8057659571059048
beta_mid,1,8,119.47119052822177,0.0019210250289351852,0.20369000083883293,0.1457922188565135,20.884254596139503,0.8318954854039475
beta_mid,2,8,149.3614552634865,0.0024016203703703704,0.18588851361710113,0.13415587111376226,21.214117516940295,0.8481139047071338
beta_mid,3,8,192.87076657717282,0.0031011962890625,0.16811167770356406,0.12507488927803934,21.514337171812244,0.8650172296911478
beta_high,0,8,74.55219296328671,0.0011987606095679012,0.40677656812476926,0.24343913595657796,13.637748451096417,0.6816423593554646
beta_high,1,8,96.22496862512487,0.0015472487461419754,0.36642457943526097,0.2232179018901661,14.075525603684913,0.70938380836742
beta_high,2,8,122.60054773351648,0.0019713526596257715,0.33058737151441164,0.21095063199754804,14.840714072158542,0.7337270013522357
beta_high,3,8,157.00181006493506,0.002524489414544753,0.29938698175828904,0.19709018513094634,15.431274844180265,0.7573907532496378
