video_tag,method,qp,bytes_consumed,expected_bytes,decode_status,state_sync_pass
fresh_ulong_00,original,0,47024,47024,PASS,True
fresh_ulong_00,original,1,57653,57653,PASS,True
fresh_ulong_00,original,2,76829,76829,PASS,True
fresh_ulong_00,original,3,96549,96549,PASS,True
fresh_ulong_00,beta_low,0,43541,43541,PASS,True
fresh_ulong_00,beta_low,1,54841,54841,PASS,True
fresh_ulong_00,beta_low,2,70972,70972,PASS,True
fresh_ulong_00,beta_low,3,88562,88562,PASS,True
fresh_ulong_00,v3_beta_low,0,46668,46668,PASS,True
fresh_ulong_00,v3_beta_low,1,57329,57329,PASS,True
fresh_ulong_00,v3_beta_low,2,75419,75419,PASS,True
fresh_ulong_00,v3_beta_low,3,93699,93699,PASS,True
fresh_ulong_01,original,0,41938,41938,PASS,True
fresh_ulong_01,original,1,52078,52078,PASS,True
fresh_ulong_01,original,2,64056,64056,PASS,True
fresh_ulong_01,original,3,78986,78986,PASS,True
fresh_ulong_01,beta_low,0,39032,39032,PASS,True
fresh_ulong_01,beta_low,1,48977,48977,PASS,True
fresh_ulong_01,beta_low,2,58554,58554,PASS,True
fresh_ulong_01,beta_low,3,72520,72520,PASS,True
fresh_ulong_01,v3_beta_low,0,39679,39679,PASS,True
fresh_ulong_01,v3_beta_low,1,50025,50025,PASS,True
fresh_ulong_01,v3_beta_low,2,59838,59838,PASS,True
fresh_ulong_01,v3_beta_low,3,74631,74631,PASS,True
fresh_ulong_10,original,0,27630,27630,PASS,True
fresh_ulong_10,original,1,35312,35312,PASS,True
fresh_ulong_10,original,2,45636,45636,PASS,True
fresh_ulong_10,original,3,60467,60467,PASS,True
fresh_ulong_10,beta_low,0,25289,25289,PASS,True
fresh_ulong_10,beta_low,1,31979,31979,PASS,True
fresh_ulong_10,beta_low,2,40463,40463,PASS,True
fresh_ulong_10,beta_low,3,50857,50857,PASS,True
fresh_ulong_10,v3_beta_low,0,26920,26920,PASS,True
fresh_ulong_10,v3_beta_low,1,34463,34463,PASS,True
fresh_ulong_10,v3_beta_low,2,43527,43527,PASS,True
fresh_ulong_10,v3_beta_low,3,56347,56347,PASS,True
fresh_ulong_100,original,0,21158,21158,PASS,True
fresh_ulong_100,original,1,27743,27743,PASS,True
fresh_ulong_100,original,2,36185,36185,PASS,True
fresh_ulong_100,original,3,47609,47609,PASS,True
fresh_ulong_100,beta_low,0,19670,19670,PASS,True
fresh_ulong_100,beta_low,1,25889,25889,PASS,True
fresh_ulong_100,beta_low,2,33396,33396,PASS,True
fresh_ulong_100,beta_low,3,43617,43617,PASS,True
