candidate,reference,qp,video_count,mean_bitrate_change_percent,mean_LPIPS_change,mean_DISTS_change,mean_PSNR_change,mean_MS_SSIM_change,rate_lower_count,LPIPS_nonworse_count,DISTS_nonworse_count,LPIPS_and_DISTS_nonworse_count
beta_low,original,0,8,-9.219491138860864,-0.014010481419973075,-0.0007119530346244574,-1.2179006273979223,-0.015899557969532907,8,8,4,4
beta_low,original,1,8,-9.097982399713421,-0.014199949218891561,0.0006951275281608105,-1.2013089461963085,-0.012975004268810153,8,8,4,4
beta_low,original,2,8,-10.954745596511296,-0.011483248817967251,0.0005133055383339524,-1.24880909136661,-0.013089120853692293,8,7,4,4
beta_low,original,3,8,-11.853214012298688,-0.011001050239428878,0.001616136753000319,-1.261950977000664,-0.012048591743223369,8,6,3,3
v3_beta_low,original,0,8,-4.550236778110893,-0.014754408126464114,-0.010497536743059754,-0.06250127772723069,-0.006437055882997811,8,8,7,7
v3_beta_low,original,1,8,-4.614769331974822,-0.014925894516636617,-0.010403221589513123,-0.05711356491417652,-0.005223145009949803,8,8,7,7
v3_beta_low,original,2,8,-5.910331544139245,-0.012399507701047696,-0.010446729836985469,-0.08850242673527786,-0.005357454996556044,8,8,7,7
v3_beta_low,original,3,8,-6.498537325484299,-0.011513928533531725,-0.009662290685810149,-0.1191124604376883,-0.004982377402484417,8,7,7,7
v3_beta_low,beta_low,0,8,5.2049640732185045,-0.0007439267064910382,-0.009785583708435297,1.1553993496706916,0.009462502086535096,0,6,8,6
v3_beta_low,beta_low,1,8,4.983070011917845,-0.0007259452977450565,-0.011098349117673934,1.144195381282132,0.00775185925886035,0,6,8,6
v3_beta_low,beta_low,2,8,5.693336136671784,-0.0009162588830804452,-0.010960035375319421,1.160306664631332,0.0077316658571362495,0,6,8,6
v3_beta_low,beta_low,3,8,6.120359712726697,-0.0005128782941028476,-0.011278427438810468,1.1428385165629757,0.007066214340738952,0,6,8,6
