anchor,method,metric,rate_axis,interpolation,common_rate_min_kbps,common_rate_max_kbps,status,reason,grid_points,grid_spacing,mean_equal_rate_delta,fraction_of_common_rate_range_better,anchor_monotone,candidate_monotone,nonmonotone_policy
original,v3,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,271.1022939560441,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.020049380102425768,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v3,DISTS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,271.1022939560441,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.007249902649344855,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v3,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,271.1022939560441,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.019666280603794342,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v4_10000,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,244.53881493506498,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.030875102430038426,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v4_10000,DISTS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,244.53881493506498,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.004830622815474927,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v4_10000,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,244.53881493506498,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.030088867195129872,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v4_15000,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,243.45071928071928,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.03406471487936384,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v4_15000,DISTS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,243.45071928071928,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.006627233381690048,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v4_15000,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,243.45071928071928,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.03505274113025105,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v4_20000,LPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,238.6199762737263,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.03706155506184149,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v4_20000,DISTS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,238.6199762737263,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.00521525319682266,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
original,v4_20000,FloLPIPS,natural log(kbps),"PCHIP, extrapolate=False",122.20230144855141,238.6199762737263,valid,,100,"uniform natural log(kbps), inclusive endpoints",-0.03806354270478746,1.0,True,True,preserve measured local shape; no sorting of metric values or smoothing
