from_frame,to_frame,FloLPIPS
0,1,0.02738974429666996
1,2,0.19443035125732422
2,3,0.27225321531295776
3,4,0.24216219782829285
4,5,0.2305740863084793
5,6,0.21257643401622772
6,7,0.2151663899421692
7,8,0.21780648827552795
8,9,0.20805978775024414
9,10,0.21785417199134827
10,11,0.2147282361984253
11,12,0.20096968114376068
12,13,0.20346753299236298
13,14,0.21598728001117706
14,15,0.23596863448619843
15,16,0.20444554090499878
16,17,0.12968336045742035
17,18,0.1547664999961853
18,19,0.23671239614486694
19,20,0.22526082396507263
20,21,0.2078211009502411
21,22,0.26304638385772705
22,23,0.2432960420846939
23,24,0.24551257491111755
24,25,0.19092777371406555
25,26,0.2484217882156372
26,27,0.23230285942554474
27,28,0.23037615418434143
28,29,0.22370997071266174
29,30,0.2582823634147644
30,31,0.22090929746627808
31,32,0.1319931149482727
32,33,0.17804741859436035
33,34,0.25956130027770996
34,35,0.24088504910469055
35,36,0.24183455109596252
36,37,0.2270338088274002
37,38,0.2689439654350281
38,39,0.23214906454086304
39,40,0.26771700382232666
40,41,0.21615231037139893
41,42,0.24987509846687317
42,43,0.2420121133327484
43,44,0.25310492515563965
44,45,0.2245326042175293
45,46,0.2541537582874298
46,47,0.2431088387966156
47,48,0.2541065216064453
48,49,0.2424919754266739
49,50,0.2750941812992096
50,51,0.2562200129032135
51,52,0.25077304244041443
52,53,0.22448039054870605
53,54,0.27414149045944214
54,55,0.2577162981033325
55,56,0.2676044702529907
56,57,0.22827397286891937
57,58,0.25487396121025085
58,59,0.2499265968799591
59,60,0.22963911294937134
60,61,0.21931198239326477
61,62,0.23419737815856934
62,63,0.24513661861419678
