from_frame,to_frame,FloLPIPS
0,1,0.18749882280826569
1,2,0.08087483048439026
2,3,0.0958157628774643
3,4,0.0751415342092514
4,5,0.12265649437904358
5,6,0.0745437741279602
6,7,0.0646420568227768
7,8,0.05993494391441345
8,9,0.06381520628929138
9,10,0.05460970103740692
10,11,0.10493221879005432
11,12,0.07251507043838501
12,13,0.06786031275987625
13,14,0.062251366674900055
14,15,0.06838767230510712
15,16,0.06748172640800476
16,17,0.10113777220249176
17,18,0.07123629748821259
18,19,0.0788450762629509
19,20,0.0821598470211029
20,21,0.08974626660346985
21,22,0.08397505432367325
22,23,0.13810253143310547
23,24,0.09646280854940414
24,25,0.0947350561618805
25,26,0.07666540145874023
26,27,0.11127503216266632
27,28,0.10776069760322571
28,29,0.11788937449455261
29,30,0.10311713814735413
30,31,0.12123049795627594
31,32,0.10390037298202515
32,33,0.10599926114082336
33,34,0.0984015166759491
34,35,0.11870801448822021
35,36,0.10965059697628021
36,37,0.11668404936790466
37,38,0.09383799135684967
38,39,0.10226637870073318
39,40,0.09987933933734894
40,41,0.11513356864452362
41,42,0.09764230996370316
42,43,0.09730657935142517
43,44,0.09563350677490234
44,45,0.10064881294965744
45,46,0.08496607095003128
46,47,0.12024839967489243
47,48,0.10062671452760696
48,49,0.09401477128267288
49,50,0.0866299644112587
50,51,0.09041649103164673
51,52,0.08953772485256195
52,53,0.10675425082445145
53,54,0.0924222469329834
54,55,0.0937698483467102
55,56,0.09044411778450012
56,57,0.09534952044487
57,58,0.08537056297063828
58,59,0.10452783107757568
59,60,0.09976989030838013
60,61,0.09004069864749908
61,62,0.08675438910722733
62,63,0.09124380350112915
