method,checkpoint,qp,num_real_samples,num_reconstruction_samples,FID,mean_real_kbps,pooling
original,,0,512,512,41.18660894717641,124.11726632742258,"all videos in fixed manifest, single QP"
original,,1,512,512,35.30613450456519,159.79251436063936,"all videos in fixed manifest, single QP"
original,,2,512,512,29.66906023035915,209.23988324175824,"all videos in fixed manifest, single QP"
original,,3,512,512,24.940435658964645,270.80047795954044,"all videos in fixed manifest, single QP"
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,0,512,512,40.57821690589435,118.26350040584416,"all videos in fixed manifest, single QP"
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,1,512,512,34.238533686568246,151.8640295641858,"all videos in fixed manifest, single QP"
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,2,512,512,28.17022125623373,195.7119085601898,"all videos in fixed manifest, single QP"
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,3,512,512,24.040674094913754,251.42163414710288,"all videos in fixed manifest, single QP"
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,0,512,512,45.658072096018486,107.52758663211787,"all videos in fixed manifest, single QP"
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,1,512,512,35.76379350927681,137.96576954295705,"all videos in fixed manifest, single QP"
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,2,512,512,30.753454812573352,175.96981112637366,"all videos in fixed manifest, single QP"
v4_10000,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_10000.pt,3,512,512,27.050203403547982,227.678670236014,"all videos in fixed manifest, single QP"
selected,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_20000.pt,0,512,512,46.383916134989136,104.77093390984015,"all videos in fixed manifest, single QP"
selected,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_20000.pt,1,512,512,37.25501400498621,134.01758382242755,"all videos in fixed manifest, single QP"
selected,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_20000.pt,2,512,512,31.11324761155896,168.98238573926074,"all videos in fixed manifest, single QP"
selected,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/checkpoints/beta_high/step_20000.pt,3,512,512,25.953159896901127,215.84877965784216,"all videos in fixed manifest, single QP"
