method,qp,num_videos,kbps,bpp,LPIPS,DISTS,FloLPIPS,PSNR,SSIM,MS_SSIM
original,0,8,124.11726632742258,0.0019957215108989197,0.1726776454161154,0.11719290935434401,0.1735074701718986,25.41260166406208,0.9576351345749572,0.8720583562972024
original,1,8,159.79251436063936,0.00256933895158179,0.1559411571943201,0.10616687417495996,0.1522278481103953,25.891043279920645,0.9615250988863409,0.8863860692363232
original,2,8,209.23988324175824,0.003364378375771605,0.1402431687383796,0.09782015322707593,0.13444232407750356,26.401448442182478,0.9654000077862293,0.9003563290461898
original,3,8,270.80047795954044,0.004354195300443673,0.1280411916304729,0.09106145438272506,0.121210414217785,26.829907517628286,0.9683541354024783,0.9112893702695146
v3,0,8,118.26350040584416,0.0019015992717978394,0.1579232372896513,0.10669537261128426,0.16162943748372888,25.35010038633485,0.9575237744720653,0.8656213004142046
v3,1,8,151.8640295641858,0.002441865897472994,0.1410152626776835,0.09576365258544683,0.1420530303573561,25.833929715006466,0.9615642686840147,0.8811629242263734
v3,2,8,195.7119085601898,0.0031468671633873456,0.1278436610373319,0.08737342339009047,0.12669835802877233,26.312946015447203,0.9652278628200293,0.8949988740496337
v3,3,8,251.42163414710288,0.004042614595389661,0.11652726309694117,0.08139916369691491,0.11383811475354291,26.710795057190595,0.9680549894692376,0.9063069928670302
v4_10000,0,8,107.52758663211787,0.0017289828076774692,0.16090565043850802,0.11291984061244875,0.16475452442047378,24.455306141825965,0.951136993477121,0.8568465487333015
v4_10000,1,8,137.96576954295705,0.002218401873553241,0.1442158320423914,0.10425636207219213,0.1470022443016725,24.95054143683061,0.9559842251474038,0.8738378309644759
v4_10000,2,8,175.96981112637366,0.0028294466748649692,0.1314283600950148,0.09624095668550581,0.13239417677479132,25.37869256247008,0.9597311930265278,0.8864575088955462
v4_10000,3,8,227.678670236014,0.003660866066261574,0.11957683276705211,0.09191132849082351,0.11905886409508568,25.778298143129152,0.9629607604583725,0.8983866770286113
selected,0,8,104.77093390984015,0.0016846607349537035,0.15931138655287214,0.11374259588774294,0.1584742419229495,24.31922692455734,0.9498377778800204,0.8561524304095656
selected,1,8,134.01758382242755,0.0021549177758487656,0.14184630833915435,0.10482841404154897,0.13905692070219963,24.854732652088725,0.9549840468680486,0.873484362848103
selected,2,8,168.98238573926074,0.002717096776138117,0.12922560565493768,0.0985202562296763,0.12735369332903435,25.29409765293835,0.9587632323382422,0.8863099757581949
selected,3,8,215.84877965784216,0.003470647364486883,0.11711679331347113,0.09330244094599038,0.11449325515607756,25.72501396577418,0.9622837881324813,0.898750699008815
