anchor,method,qp,mean_real_kbps,mean_rate_change_percent,aggregation,LPIPS_change,DISTS_change,FloLPIPS_change
original,v3,0,118.26350040584416,-4.716318764333838,ratio of arithmetic mean real kbps across matched video/QP points,-0.014754408126464114,-0.010497536743059754,-0.011878032688169726
original,v3,1,151.8640295641858,-4.961737305515812,ratio of arithmetic mean real kbps across matched video/QP points,-0.014925894516636617,-0.010403221589513123,-0.01017481775303919
original,v3,2,195.7119085601898,-6.465294508857111,ratio of arithmetic mean real kbps across matched video/QP points,-0.012399507701047696,-0.010446729836985469,-0.007743966048731232
original,v3,3,251.42163414710288,-7.156133533609532,ratio of arithmetic mean real kbps across matched video/QP points,-0.011513928533531725,-0.009662290685810149,-0.007372299464242088
original,v3,all,179.3152681693307,-6.111533548062297,ratio of arithmetic mean real kbps across matched video/QP points,-0.013398434719420038,-0.010252444713842124,-0.009292278988545566
original,v4_10000,0,107.52758663211787,-13.36613364617697,ratio of arithmetic mean real kbps across matched video/QP points,-0.011771994977607392,-0.004273068741895258,-0.008752945751424823
original,v4_10000,1,137.96576954295705,-13.659428856861865,ratio of arithmetic mean real kbps across matched video/QP points,-0.0117253251519287,-0.0019105121027678251,-0.005225603808722806
original,v4_10000,2,175.96981112637366,-15.90044479089292,ratio of arithmetic mean real kbps across matched video/QP points,-0.008814808643364813,-0.001579196541570127,-0.0020481473027122443
original,v4_10000,3,227.678670236014,-15.923829990421645,ratio of arithmetic mean real kbps across matched video/QP points,-0.008464358863420784,0.0008498741080984473,-0.002151550122699325
original,v4_10000,all,162.28545938436562,-15.028245700427556,ratio of arithmetic mean real kbps across matched video/QP points,-0.010194121909080422,-0.0017282258195336908,-0.004544561746389786
original,selected,0,104.77093390984015,-15.587140282760192,ratio of arithmetic mean real kbps across matched video/QP points,-0.013366258863243274,-0.0034503134666010737,-0.015033228248949093
original,selected,1,134.01758382242755,-16.13024905537176,ratio of arithmetic mean real kbps across matched video/QP points,-0.014094848855165765,-0.0013384601334109902,-0.01317092740819567
original,selected,2,168.98238573926074,-19.23987763651326,ratio of arithmetic mean real kbps across matched video/QP points,-0.011017563083441928,0.0007001030026003718,-0.007088630748469216
original,selected,3,215.84877965784216,-20.292319539372627,ratio of arithmetic mean real kbps across matched video/QP points,-0.01092439831700176,0.0022409865632653236,-0.006717159061707445
original,selected,all,155.90492078234266,-18.369059846357537,ratio of arithmetic mean real kbps across matched video/QP points,-0.012350767279713182,-0.0004619210085365921,-0.01050248636683035
