method,checkpoint,scope,video_index,qp,num_transitions,FloLPIPS
original,,video,0,0,63,0.1614584911555525
original,,video,0,1,63,0.14516027254008113
original,,video,0,2,63,0.12449440862687808
original,,video,0,3,63,0.11185353024611397
original,,video,1,0,63,0.16554855779995994
original,,video,1,1,63,0.14214420034771874
original,,video,1,2,63,0.12461736656370617
original,,video,1,3,63,0.11061231437183562
original,,video,2,0,63,0.06978044097149183
original,,video,2,1,63,0.06119585995163236
original,,video,2,2,63,0.05559617771752297
original,,video,2,3,63,0.04913221879137887
original,,video,3,0,63,0.32024859577890424
original,,video,3,1,63,0.27357889108714606
original,,video,3,2,63,0.24219509385644444
original,,video,3,3,63,0.22730098561280304
original,,video,4,0,63,0.12029401094667495
original,,video,4,1,63,0.10697216623359257
original,,video,4,2,63,0.09360870127640074
original,,video,4,3,63,0.08153981951967118
original,,video,5,0,63,0.27923062727564857
original,,video,5,1,63,0.2558454435969156
original,,video,5,2,63,0.23422431827537596
original,,video,5,3,63,0.2142296460649324
original,,video,6,0,63,0.13101064242304317
original,,video,6,1,63,0.11493728309869766
original,,video,6,2,63,0.10063283902312083
original,,video,6,3,63,0.08664991901743979
original,,video,7,0,63,0.1404883950239136
original,,video,7,1,63,0.11798866802737826
original,,video,7,2,63,0.10016968728057922
original,,video,7,3,63,0.08836488011810514
original,,pooled_qp,,0,504,0.1735074701718986
original,,pooled_qp,,1,504,0.1522278481103953
original,,pooled_qp,,2,504,0.13444232407750356
original,,pooled_qp,,3,504,0.121210414217785
original,,all_qp,,all,2016,0.1453470141443956
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,video,0,0,63,0.15116924053383252
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,video,0,1,63,0.14446076514228942
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,video,0,2,63,0.1214126247971777
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,video,0,3,63,0.10833126365665406
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,video,1,0,63,0.15545261095440577
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,video,1,1,63,0.13301118829893688
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,video,1,2,63,0.12045430947863867
v3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/checkpoints/stage_b/step_20000.pt,video,1,3,63,0.10582719778730756
